missing_rate,seed,single_view_test_f1,dual_view_test_f1,paired_delta,single_best_validation_f1,single_best_epoch
0.0,66,62.7526,63.2197,-0.4671,62.7526,89
0.0,67,62.7246,60.7967,1.9279,62.7246,75
0.0,68,62.4264,63.6510,-1.2246,62.4264,58
0.0,69,63.1580,62.6250,0.5330,63.1580,73
0.0,70,65.7930,65.2694,0.5236,65.7930,97
0.5,66,60.5374,61.6275,-1.0901,63.7566,77
0.5,67,66.2155,63.5966,2.6189,64.9375,100
0.5,68,63.6756,62.6678,1.0078,64.0675,83
0.5,69,64.7124,61.7943,2.9181,64.3745,90
0.5,70,63.2852,66.1941,-2.9089,66.0389,96
0.7,66,61.9687,61.9966,-0.0279,63.5123,100
0.7,67,64.5335,63.7218,0.8117,65.0845,84
0.7,68,59.9930,61.8678,-1.8748,64.3301,100
0.7,69,61.7328,63.6237,-1.8909,63.7252,99
0.7,70,60.0668,62.4341,-2.3673,62.4573,75
