dataset,route,seed66,seed67,seed68,seed69,seed70,mean,sd
CMUMOSI,A->T,0.215973,0.208365,0.170505,0.137637,0.167034,0.179883,0.032232
CMUMOSI,V->T,0.015660,0.044882,0.100797,0.064236,0.011588,0.047433,0.036862
CMUMOSI,AV->T,0.178995,0.157934,0.118061,0.121024,0.168327,0.148868,0.027788
CMUMOSI,T->A,0.180906,0.168871,0.165948,0.202225,0.168260,0.177442,0.014949
CMUMOSI,T->V,0.060035,0.060615,0.035302,0.023724,0.001911,0.036299,0.024989
CMUMOSI,A->V,0.151823,0.172707,0.116900,0.145122,0.119286,0.141158,0.023397
CMUMOSI,V->A,0.145277,0.108606,0.191266,0.192865,0.188143,0.165238,0.037333
CMUMOSI,AT->V,0.158803,0.113501,0.166979,0.153810,0.103377,0.139294,0.028804
CMUMOSI,TV->A,0.251940,0.254002,0.184483,0.290315,0.290225,0.254193,0.043216
CMUMOSEI,A->T,0.286296,0.289266,0.295974,0.286058,0.269645,0.285468,0.009727
CMUMOSEI,V->T,0.198289,0.196420,0.209982,0.211168,0.174325,0.198045,0.014843
CMUMOSEI,AV->T,0.292719,0.327201,0.295683,0.282812,0.280591,0.295801,0.018706
CMUMOSEI,T->A,0.277910,0.276604,0.288539,0.262198,0.259101,0.272862,0.012112
CMUMOSEI,T->V,0.165718,0.197273,0.185402,0.179109,0.171963,0.179893,0.012238
CMUMOSEI,A->V,0.256181,0.282746,0.283717,0.278483,0.299534,0.280112,0.015549
CMUMOSEI,V->A,0.300205,0.297927,0.313935,0.307292,0.304279,0.304728,0.006288
CMUMOSEI,AT->V,0.296504,0.302111,0.286093,0.295663,0.283282,0.292731,0.007780
CMUMOSEI,TV->A,0.371963,0.356587,0.360393,0.364494,0.354322,0.361540,0.007014
IEMOCAPSix,A->T,0.372423,0.343832,0.320077,0.323529,0.289099,0.329790,0.030832
IEMOCAPSix,V->T,0.192986,0.205146,0.155308,0.185128,0.173203,0.182316,0.019054
IEMOCAPSix,AV->T,0.287639,0.294211,0.311111,0.313480,0.279664,0.297221,0.014705
IEMOCAPSix,T->A,0.336721,0.346524,0.349817,0.335830,0.355523,0.344883,0.008505
IEMOCAPSix,T->V,0.166026,0.144111,0.156373,0.151994,0.163629,0.156427,0.008880
IEMOCAPSix,A->V,0.325529,0.331875,0.283411,0.321952,0.329359,0.318425,0.019938
IEMOCAPSix,V->A,0.333855,0.353816,0.318327,0.289332,0.315211,0.322108,0.023877
IEMOCAPSix,AT->V,0.288820,0.296398,0.261899,0.305278,0.313146,0.293110,0.019695
IEMOCAPSix,TV->A,0.378687,0.401272,0.432698,0.398407,0.401793,0.402565,0.019376
