audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1829 validation_wf1=0.0396 cls=1.8370 jepa=3.1029
epoch=002 train_wf1=0.2083 validation_wf1=0.1352 cls=1.7261 jepa=3.0735
epoch=003 train_wf1=0.2375 validation_wf1=0.1451 cls=1.6957 jepa=3.0841
epoch=004 train_wf1=0.1818 validation_wf1=0.2070 cls=1.7364 jepa=3.0768
epoch=005 train_wf1=0.2068 validation_wf1=0.3270 cls=1.5649 jepa=3.0632
epoch=006 train_wf1=0.2500 validation_wf1=0.2801 cls=1.5838 jepa=3.0635
epoch=007 train_wf1=0.2785 validation_wf1=0.3593 cls=1.5106 jepa=3.0459
epoch=008 train_wf1=0.2810 validation_wf1=0.3062 cls=1.4440 jepa=3.0458
epoch=009 train_wf1=0.3381 validation_wf1=0.3608 cls=1.4034 jepa=3.0222
epoch=010 train_wf1=0.3041 validation_wf1=0.3797 cls=1.3813 jepa=3.0191
epoch=011 train_wf1=0.3573 validation_wf1=0.3889 cls=1.3602 jepa=3.0064
epoch=012 train_wf1=0.3265 validation_wf1=0.3813 cls=1.3165 jepa=2.9988
epoch=013 train_wf1=0.3498 validation_wf1=0.4305 cls=1.2839 jepa=2.9917
epoch=014 train_wf1=0.3961 validation_wf1=0.4183 cls=1.2405 jepa=2.9833
epoch=015 train_wf1=0.4186 validation_wf1=0.4182 cls=1.2692 jepa=2.9744
epoch=016 train_wf1=0.4185 validation_wf1=0.4620 cls=1.2111 jepa=2.9768
epoch=017 train_wf1=0.4173 validation_wf1=0.4606 cls=1.1864 jepa=2.9705
epoch=018 train_wf1=0.4722 validation_wf1=0.4715 cls=1.1590 jepa=2.9670
epoch=019 train_wf1=0.4532 validation_wf1=0.4058 cls=1.1334 jepa=2.9714
epoch=020 train_wf1=0.4780 validation_wf1=0.4844 cls=1.1573 jepa=2.9743
epoch=021 train_wf1=0.4935 validation_wf1=0.4511 cls=1.0762 jepa=2.9812
epoch=022 train_wf1=0.4832 validation_wf1=0.4955 cls=1.0935 jepa=2.9888
epoch=023 train_wf1=0.5147 validation_wf1=0.4911 cls=1.0887 jepa=2.9986
epoch=024 train_wf1=0.5073 validation_wf1=0.5404 cls=1.0637 jepa=3.0168
epoch=025 train_wf1=0.5369 validation_wf1=0.5074 cls=1.0350 jepa=3.0275
epoch=026 train_wf1=0.5203 validation_wf1=0.4941 cls=1.0408 jepa=3.0639
epoch=027 train_wf1=0.5215 validation_wf1=0.5334 cls=1.0291 jepa=3.0943
epoch=028 train_wf1=0.5539 validation_wf1=0.5256 cls=0.9932 jepa=3.1284
epoch=029 train_wf1=0.5577 validation_wf1=0.5770 cls=0.9781 jepa=3.1564
epoch=030 train_wf1=0.5546 validation_wf1=0.5785 cls=0.9863 jepa=3.2036
epoch=031 train_wf1=0.5671 validation_wf1=0.5584 cls=0.9469 jepa=3.2344
epoch=032 train_wf1=0.5728 validation_wf1=0.5662 cls=0.9439 jepa=3.2256
epoch=033 train_wf1=0.5842 validation_wf1=0.5576 cls=0.9137 jepa=3.1863
epoch=034 train_wf1=0.6004 validation_wf1=0.5165 cls=0.9218 jepa=3.1335
epoch=035 train_wf1=0.5977 validation_wf1=0.5414 cls=0.9184 jepa=3.0737
epoch=036 train_wf1=0.5854 validation_wf1=0.5688 cls=0.9241 jepa=3.0457
