audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1695 validation_wf1=0.0937 cls=1.9509 jepa=3.6027
epoch=002 train_wf1=0.1457 validation_wf1=0.0961 cls=1.7405 jepa=3.6453
epoch=003 train_wf1=0.1615 validation_wf1=0.2807 cls=1.7156 jepa=3.6925
epoch=004 train_wf1=0.2785 validation_wf1=0.3126 cls=1.5391 jepa=3.7270
epoch=005 train_wf1=0.3213 validation_wf1=0.2959 cls=1.5111 jepa=3.7130
epoch=006 train_wf1=0.3032 validation_wf1=0.3610 cls=1.4673 jepa=3.6720
epoch=007 train_wf1=0.3008 validation_wf1=0.3660 cls=1.3891 jepa=3.6659
epoch=008 train_wf1=0.3661 validation_wf1=0.3053 cls=1.3130 jepa=3.6740
epoch=009 train_wf1=0.3554 validation_wf1=0.3856 cls=1.3469 jepa=3.6518
epoch=010 train_wf1=0.3662 validation_wf1=0.3691 cls=1.2861 jepa=3.6299
epoch=011 train_wf1=0.3222 validation_wf1=0.3852 cls=1.4016 jepa=3.6761
epoch=012 train_wf1=0.3331 validation_wf1=0.3778 cls=1.3388 jepa=3.6597
epoch=013 train_wf1=0.3371 validation_wf1=0.4120 cls=1.3141 jepa=3.6236
epoch=014 train_wf1=0.3892 validation_wf1=0.4305 cls=1.2085 jepa=3.6386
epoch=015 train_wf1=0.3759 validation_wf1=0.4088 cls=1.2174 jepa=3.6501
epoch=016 train_wf1=0.3894 validation_wf1=0.3913 cls=1.2386 jepa=3.6252
epoch=017 train_wf1=0.4367 validation_wf1=0.4076 cls=1.2040 jepa=3.6130
epoch=018 train_wf1=0.3577 validation_wf1=0.4138 cls=1.2134 jepa=3.5971
epoch=019 train_wf1=0.4130 validation_wf1=0.4367 cls=1.2079 jepa=3.6040
epoch=020 train_wf1=0.4209 validation_wf1=0.4647 cls=1.2570 jepa=3.5675
epoch=021 train_wf1=0.4136 validation_wf1=0.4412 cls=1.2040 jepa=3.5737
epoch=022 train_wf1=0.4106 validation_wf1=0.3917 cls=1.2008 jepa=3.5568
epoch=023 train_wf1=0.4400 validation_wf1=0.4508 cls=1.1713 jepa=3.5150
epoch=024 train_wf1=0.4219 validation_wf1=0.4216 cls=1.1776 jepa=3.5054
epoch=025 train_wf1=0.4528 validation_wf1=0.4796 cls=1.1594 jepa=3.5184
epoch=026 train_wf1=0.4220 validation_wf1=0.3978 cls=1.1794 jepa=3.5305
epoch=027 train_wf1=0.4506 validation_wf1=0.4016 cls=1.1448 jepa=3.5370
epoch=028 train_wf1=0.4504 validation_wf1=0.4597 cls=1.1310 jepa=3.5750
epoch=029 train_wf1=0.4727 validation_wf1=0.4927 cls=1.0918 jepa=3.5744
epoch=030 train_wf1=0.5044 validation_wf1=0.4632 cls=1.0479 jepa=3.5451
epoch=031 train_wf1=0.5061 validation_wf1=0.4980 cls=1.0678 jepa=3.5661
epoch=032 train_wf1=0.5257 validation_wf1=0.4236 cls=1.0468 jepa=3.5343
epoch=033 train_wf1=0.5293 validation_wf1=0.5216 cls=1.0469 jepa=3.5669
epoch=034 train_wf1=0.5088 validation_wf1=0.4916 cls=1.0275 jepa=3.5320
epoch=035 train_wf1=0.5144 validation_wf1=0.4789 cls=1.0274 jepa=3.5112
epoch=036 train_wf1=0.5400 validation_wf1=0.4963 cls=1.0336 jepa=3.4669
epoch=037 train_wf1=0.5255 validation_wf1=0.5023 cls=1.0355 jepa=3.4484
epoch=038 train_wf1=0.5453 validation_wf1=0.4895 cls=0.9913 jepa=3.4461
epoch=039 train_wf1=0.5692 validation_wf1=0.4785 cls=0.9733 jepa=3.4708
epoch=040 train_wf1=0.5524 validation_wf1=0.4664 cls=1.0216 jepa=3.5013
epoch=041 train_wf1=0.5391 validation_wf1=0.4947 cls=1.0285 jepa=3.4719
epoch=042 train_wf1=0.5363 validation_wf1=0.5244 cls=1.0053 jepa=3.4878
epoch=043 train_wf1=0.5848 validation_wf1=0.5312 cls=0.9482 jepa=3.4316
epoch=044 train_wf1=0.5578 validation_wf1=0.4242 cls=0.9792 jepa=3.4545
epoch=045 train_wf1=0.5820 validation_wf1=0.5603 cls=0.9663 jepa=3.4225
epoch=046 train_wf1=0.5876 validation_wf1=0.4774 cls=0.9358 jepa=3.4369
epoch=047 train_wf1=0.5695 validation_wf1=0.5373 cls=0.9623 jepa=3.4293
epoch=048 train_wf1=0.5838 validation_wf1=0.5271 cls=0.9480 jepa=3.3975
epoch=049 train_wf1=0.6063 validation_wf1=0.4973 cls=0.9180 jepa=3.4379
epoch=050 train_wf1=0.5953 validation_wf1=0.5681 cls=0.9215 jepa=3.4809
epoch=051 train_wf1=0.6021 validation_wf1=0.5554 cls=0.8929 jepa=3.5433
epoch=052 train_wf1=0.6355 validation_wf1=0.5531 cls=0.8476 jepa=3.5887
epoch=053 train_wf1=0.6169 validation_wf1=0.5089 cls=0.8680 jepa=3.6510
epoch=054 train_wf1=0.5796 validation_wf1=0.5387 cls=0.9260 jepa=3.6811
epoch=055 train_wf1=0.6393 validation_wf1=0.5412 cls=0.8514 jepa=3.7064
epoch=056 train_wf1=0.6345 validation_wf1=0.5172 cls=0.8636 jepa=3.7019
epoch=057 train_wf1=0.6444 validation_wf1=0.5624 cls=0.8362 jepa=3.6901
epoch=058 train_wf1=0.6407 validation_wf1=0.5569 cls=0.8457 jepa=3.6700
epoch=059 train_wf1=0.6646 validation_wf1=0.5274 cls=0.8056 jepa=3.5900
epoch=060 train_wf1=0.6374 validation_wf1=0.5586 cls=0.8595 jepa=3.5001
epoch=061 train_wf1=0.6636 validation_wf1=0.5721 cls=0.7989 jepa=3.4343
epoch=062 train_wf1=0.6845 validation_wf1=0.5747 cls=0.7822 jepa=3.3906
epoch=063 train_wf1=0.6818 validation_wf1=0.6071 cls=0.7720 jepa=3.3977
epoch=064 train_wf1=0.6785 validation_wf1=0.5707 cls=0.7413 jepa=3.4529
epoch=065 train_wf1=0.6958 validation_wf1=0.5980 cls=0.7325 jepa=3.5270
epoch=066 train_wf1=0.7043 validation_wf1=0.5971 cls=0.6988 jepa=3.5522
epoch=067 train_wf1=0.7133 validation_wf1=0.5509 cls=0.6925 jepa=3.5817
epoch=068 train_wf1=0.7038 validation_wf1=0.5911 cls=0.7023 jepa=3.5402
epoch=069 train_wf1=0.7347 validation_wf1=0.5778 cls=0.6619 jepa=3.4908
epoch=070 train_wf1=0.7414 validation_wf1=0.6081 cls=0.6357 jepa=3.4681
epoch=071 train_wf1=0.7436 validation_wf1=0.6064 cls=0.6284 jepa=3.4461
epoch=072 train_wf1=0.7469 validation_wf1=0.6034 cls=0.6276 jepa=3.4244
epoch=073 train_wf1=0.7589 validation_wf1=0.6161 cls=0.6016 jepa=3.4420
epoch=074 train_wf1=0.7612 validation_wf1=0.6054 cls=0.5972 jepa=3.5094
epoch=075 train_wf1=0.7667 validation_wf1=0.6217 cls=0.5736 jepa=3.5006
epoch=076 train_wf1=0.7667 validation_wf1=0.5880 cls=0.5893 jepa=3.5258
epoch=077 train_wf1=0.7590 validation_wf1=0.6362 cls=0.5934 jepa=3.5460
epoch=078 train_wf1=0.7716 validation_wf1=0.5701 cls=0.5598 jepa=3.4966
epoch=079 train_wf1=0.7615 validation_wf1=0.6407 cls=0.5737 jepa=3.4948
