audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1151 validation_wf1=0.0500 cls=1.7636 jepa=3.8228
epoch=002 train_wf1=0.1530 validation_wf1=0.0893 cls=1.7614 jepa=3.3773
epoch=003 train_wf1=0.1019 validation_wf1=0.2284 cls=1.7256 jepa=3.2376
epoch=004 train_wf1=0.2400 validation_wf1=0.1112 cls=1.6371 jepa=3.1847
epoch=005 train_wf1=0.1968 validation_wf1=0.2052 cls=1.6057 jepa=3.2042
epoch=006 train_wf1=0.2407 validation_wf1=0.1825 cls=1.5804 jepa=3.1678
epoch=007 train_wf1=0.2615 validation_wf1=0.3479 cls=1.5362 jepa=3.1225
epoch=008 train_wf1=0.2871 validation_wf1=0.2946 cls=1.5050 jepa=3.1419
epoch=009 train_wf1=0.2999 validation_wf1=0.3814 cls=1.4872 jepa=3.1148
epoch=010 train_wf1=0.3254 validation_wf1=0.3855 cls=1.4159 jepa=3.0917
epoch=011 train_wf1=0.3443 validation_wf1=0.3677 cls=1.3992 jepa=3.0785
epoch=012 train_wf1=0.3250 validation_wf1=0.3661 cls=1.3476 jepa=3.0828
epoch=013 train_wf1=0.3358 validation_wf1=0.4104 cls=1.3590 jepa=3.0855
epoch=014 train_wf1=0.3722 validation_wf1=0.4118 cls=1.3150 jepa=3.0481
epoch=015 train_wf1=0.3818 validation_wf1=0.3924 cls=1.3070 jepa=3.0702
epoch=016 train_wf1=0.3573 validation_wf1=0.4183 cls=1.2834 jepa=3.0540
epoch=017 train_wf1=0.4123 validation_wf1=0.3163 cls=1.2892 jepa=3.0436
epoch=018 train_wf1=0.4070 validation_wf1=0.3885 cls=1.2779 jepa=3.0383
epoch=019 train_wf1=0.3640 validation_wf1=0.4044 cls=1.2431 jepa=3.0084
epoch=020 train_wf1=0.3973 validation_wf1=0.4433 cls=1.2409 jepa=3.0165
epoch=021 train_wf1=0.4480 validation_wf1=0.4543 cls=1.1921 jepa=3.0325
epoch=022 train_wf1=0.4077 validation_wf1=0.4671 cls=1.1552 jepa=3.0177
epoch=023 train_wf1=0.4462 validation_wf1=0.4460 cls=1.1693 jepa=3.0089
epoch=024 train_wf1=0.4552 validation_wf1=0.4579 cls=1.1314 jepa=2.9922
epoch=025 train_wf1=0.4638 validation_wf1=0.4513 cls=1.1111 jepa=2.9912
epoch=026 train_wf1=0.4265 validation_wf1=0.5025 cls=1.1791 jepa=2.9991
epoch=027 train_wf1=0.4818 validation_wf1=0.4864 cls=1.1328 jepa=2.9811
epoch=028 train_wf1=0.4945 validation_wf1=0.4811 cls=1.1061 jepa=3.0188
epoch=029 train_wf1=0.5119 validation_wf1=0.4969 cls=1.0738 jepa=2.9750
epoch=030 train_wf1=0.5188 validation_wf1=0.5001 cls=1.0757 jepa=2.9800
epoch=031 train_wf1=0.5208 validation_wf1=0.5171 cls=1.0507 jepa=2.9681
epoch=032 train_wf1=0.5276 validation_wf1=0.5402 cls=1.0647 jepa=2.9519
epoch=033 train_wf1=0.5127 validation_wf1=0.4659 cls=1.0703 jepa=2.9290
epoch=034 train_wf1=0.5112 validation_wf1=0.5010 cls=1.0561 jepa=2.9999
epoch=035 train_wf1=0.5278 validation_wf1=0.5274 cls=1.0266 jepa=2.9553
epoch=036 train_wf1=0.5540 validation_wf1=0.5160 cls=1.0140 jepa=2.9861
epoch=037 train_wf1=0.5325 validation_wf1=0.5154 cls=1.0109 jepa=2.9482
epoch=038 train_wf1=0.5555 validation_wf1=0.5394 cls=0.9816 jepa=2.9448
epoch=039 train_wf1=0.5462 validation_wf1=0.4790 cls=1.0097 jepa=2.9475
epoch=040 train_wf1=0.5109 validation_wf1=0.4721 cls=1.0743 jepa=2.9269
epoch=041 train_wf1=0.5251 validation_wf1=0.4803 cls=1.0681 jepa=2.9671
epoch=042 train_wf1=0.5432 validation_wf1=0.5427 cls=0.9922 jepa=2.9602
epoch=043 train_wf1=0.5654 validation_wf1=0.5375 cls=0.9644 jepa=2.9618
epoch=044 train_wf1=0.5767 validation_wf1=0.5526 cls=0.9501 jepa=2.9174
epoch=045 train_wf1=0.5794 validation_wf1=0.5598 cls=0.9347 jepa=2.9482
epoch=046 train_wf1=0.5707 validation_wf1=0.5381 cls=0.9587 jepa=2.9354
epoch=047 train_wf1=0.5783 validation_wf1=0.5883 cls=0.9475 jepa=2.9445
epoch=048 train_wf1=0.5761 validation_wf1=0.5437 cls=0.9175 jepa=2.9075
epoch=049 train_wf1=0.5794 validation_wf1=0.5840 cls=0.9365 jepa=2.9116
epoch=050 train_wf1=0.6070 validation_wf1=0.5470 cls=0.9255 jepa=2.9150
epoch=051 train_wf1=0.6121 validation_wf1=0.5623 cls=0.8774 jepa=2.8964
epoch=052 train_wf1=0.6158 validation_wf1=0.5653 cls=0.8797 jepa=2.8842
epoch=053 train_wf1=0.6184 validation_wf1=0.5733 cls=0.8923 jepa=2.9020
epoch=054 train_wf1=0.6319 validation_wf1=0.5644 cls=0.8588 jepa=2.8758
epoch=055 train_wf1=0.6331 validation_wf1=0.5731 cls=0.8666 jepa=2.9256
epoch=056 train_wf1=0.6457 validation_wf1=0.5361 cls=0.8429 jepa=2.8789
epoch=057 train_wf1=0.6408 validation_wf1=0.5758 cls=0.8581 jepa=2.8996
epoch=058 train_wf1=0.6084 validation_wf1=0.5974 cls=0.8845 jepa=2.8969
epoch=059 train_wf1=0.5572 validation_wf1=0.5457 cls=0.9167 jepa=2.9011
epoch=060 train_wf1=0.6109 validation_wf1=0.5713 cls=0.8822 jepa=2.8956
epoch=061 train_wf1=0.6406 validation_wf1=0.5981 cls=0.8222 jepa=2.8487
epoch=062 train_wf1=0.6550 validation_wf1=0.5484 cls=0.8069 jepa=2.8754
epoch=063 train_wf1=0.6622 validation_wf1=0.5740 cls=0.8077 jepa=2.8787
epoch=064 train_wf1=0.6779 validation_wf1=0.5858 cls=0.7502 jepa=2.8309
