audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.2377 val_wf1=0.1871 cls=1.3877 jepa=3.2383
epoch=002 train_wf1=0.2334 val_wf1=0.2481 cls=1.3996 jepa=2.7931
epoch=003 train_wf1=0.3452 val_wf1=0.3193 cls=1.2460 jepa=2.6741
epoch=004 train_wf1=0.3383 val_wf1=0.3314 cls=1.2406 jepa=2.6470
epoch=005 train_wf1=0.3961 val_wf1=0.3806 cls=1.1792 jepa=2.6161
epoch=006 train_wf1=0.3299 val_wf1=0.1474 cls=1.1683 jepa=2.5908
epoch=007 train_wf1=0.2874 val_wf1=0.4960 cls=1.1558 jepa=2.5817
epoch=008 train_wf1=0.3990 val_wf1=0.5255 cls=1.1277 jepa=2.5747
epoch=009 train_wf1=0.4991 val_wf1=0.5282 cls=1.0787 jepa=2.5574
epoch=010 train_wf1=0.5364 val_wf1=0.6420 cls=1.0486 jepa=2.5511
epoch=011 train_wf1=0.5655 val_wf1=0.5818 cls=1.0384 jepa=2.5519
epoch=012 train_wf1=0.5909 val_wf1=0.6932 cls=0.9728 jepa=2.5437
epoch=013 train_wf1=0.6284 val_wf1=0.6812 cls=0.9096 jepa=2.5296
epoch=014 train_wf1=0.5963 val_wf1=0.6958 cls=0.9657 jepa=2.5355
epoch=015 train_wf1=0.5913 val_wf1=0.6731 cls=1.0123 jepa=2.5259
epoch=016 train_wf1=0.5612 val_wf1=0.6663 cls=1.0226 jepa=2.5125
epoch=017 train_wf1=0.6283 val_wf1=0.7067 cls=0.9450 jepa=2.4922
epoch=018 train_wf1=0.6515 val_wf1=0.7056 cls=0.8583 jepa=2.4888
epoch=019 train_wf1=0.6650 val_wf1=0.7479 cls=0.8395 jepa=2.4868
epoch=020 train_wf1=0.6697 val_wf1=0.6908 cls=0.8240 jepa=2.4908
epoch=021 train_wf1=0.6784 val_wf1=0.7528 cls=0.7873 jepa=2.4800
epoch=022 train_wf1=0.6987 val_wf1=0.7831 cls=0.7391 jepa=2.4682
epoch=023 train_wf1=0.7100 val_wf1=0.7615 cls=0.7187 jepa=2.4686
epoch=024 train_wf1=0.7220 val_wf1=0.7825 cls=0.7016 jepa=2.4459
epoch=025 train_wf1=0.7256 val_wf1=0.7668 cls=0.6811 jepa=2.4401
epoch=026 train_wf1=0.7316 val_wf1=0.8004 cls=0.6731 jepa=2.4416
epoch=027 train_wf1=0.7366 val_wf1=0.8111 cls=0.6507 jepa=2.4319
epoch=028 train_wf1=0.7552 val_wf1=0.7724 cls=0.6248 jepa=2.4313
epoch=029 train_wf1=0.7494 val_wf1=0.8034 cls=0.6219 jepa=2.4197
epoch=030 train_wf1=0.7671 val_wf1=0.8248 cls=0.5769 jepa=2.4189
epoch=031 train_wf1=0.7627 val_wf1=0.8014 cls=0.5940 jepa=2.4063
epoch=032 train_wf1=0.7625 val_wf1=0.8300 cls=0.5919 jepa=2.4052
epoch=033 train_wf1=0.7668 val_wf1=0.7946 cls=0.5680 jepa=2.4005
epoch=034 train_wf1=0.7723 val_wf1=0.8334 cls=0.5659 jepa=2.3995
epoch=035 train_wf1=0.7857 val_wf1=0.7913 cls=0.5362 jepa=2.3977
epoch=036 train_wf1=0.7891 val_wf1=0.8097 cls=0.5410 jepa=2.3951
epoch=037 train_wf1=0.8081 val_wf1=0.8249 cls=0.5004 jepa=2.3730
epoch=038 train_wf1=0.8092 val_wf1=0.8194 cls=0.4916 jepa=2.3490
epoch=039 train_wf1=0.8280 val_wf1=0.8236 cls=0.4542 jepa=2.3467
epoch=040 train_wf1=0.8357 val_wf1=0.8140 cls=0.4235 jepa=2.3449
epoch=041 train_wf1=0.8434 val_wf1=0.8106 cls=0.4003 jepa=2.3504
epoch=042 train_wf1=0.8475 val_wf1=0.8017 cls=0.3823 jepa=2.3278
epoch=043 train_wf1=0.8470 val_wf1=0.7988 cls=0.3967 jepa=2.3332
epoch=044 train_wf1=0.8657 val_wf1=0.8212 cls=0.3431 jepa=2.3118
epoch=045 train_wf1=0.8739 val_wf1=0.8044 cls=0.3282 jepa=2.3085
epoch=046 train_wf1=0.8706 val_wf1=0.8134 cls=0.3320 jepa=2.3016
epoch=047 train_wf1=0.8760 val_wf1=0.8251 cls=0.3241 jepa=2.2901
epoch=048 train_wf1=0.8917 val_wf1=0.8263 cls=0.2885 jepa=2.2631
epoch=049 train_wf1=0.8941 val_wf1=0.8167 cls=0.2830 jepa=2.2681
epoch=050 train_wf1=0.8972 val_wf1=0.8279 cls=0.2707 jepa=2.2531
epoch=051 train_wf1=0.8924 val_wf1=0.8030 cls=0.2792 jepa=2.2562
epoch=052 train_wf1=0.9021 val_wf1=0.8023 cls=0.2547 jepa=2.2618
epoch=053 train_wf1=0.9060 val_wf1=0.7945 cls=0.2434 jepa=2.2516
epoch=054 train_wf1=0.9173 val_wf1=0.8208 cls=0.2214 jepa=2.2475
epoch=055 train_wf1=0.9218 val_wf1=0.8281 cls=0.2098 jepa=2.2253
epoch=056 train_wf1=0.9259 val_wf1=0.8110 cls=0.1966 jepa=2.2164
epoch=057 train_wf1=0.9305 val_wf1=0.8147 cls=0.1795 jepa=2.1936
epoch=058 train_wf1=0.9178 val_wf1=0.7714 cls=0.2275 jepa=2.2177
epoch=059 train_wf1=0.9229 val_wf1=0.8279 cls=0.2042 jepa=2.2241
epoch=060 train_wf1=0.9310 val_wf1=0.8199 cls=0.1874 jepa=2.2244
epoch=061 train_wf1=0.9359 val_wf1=0.8268 cls=0.1767 jepa=2.1987
epoch=062 train_wf1=0.9425 val_wf1=0.8249 cls=0.1519 jepa=2.1584
epoch=063 train_wf1=0.9441 val_wf1=0.8324 cls=0.1495 jepa=2.1516
epoch=064 train_wf1=0.9488 val_wf1=0.8170 cls=0.1416 jepa=2.1669
epoch=065 train_wf1=0.9479 val_wf1=0.8049 cls=0.1381 jepa=2.1494
epoch=066 train_wf1=0.9547 val_wf1=0.8214 cls=0.1211 jepa=2.1270
epoch=067 train_wf1=0.9582 val_wf1=0.8192 cls=0.1099 jepa=2.1221
epoch=068 train_wf1=0.9523 val_wf1=0.8227 cls=0.1273 jepa=2.1176
epoch=069 train_wf1=0.9591 val_wf1=0.8262 cls=0.1080 jepa=2.0939
epoch=070 train_wf1=0.9663 val_wf1=0.8153 cls=0.0928 jepa=2.0838
