audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1707 val_wf1=0.0893 cls=1.8650 jepa=3.4156
epoch=002 train_wf1=0.1601 val_wf1=0.1411 cls=1.7850 jepa=2.9406
epoch=003 train_wf1=0.1315 val_wf1=0.1474 cls=1.7426 jepa=2.8231
epoch=004 train_wf1=0.1386 val_wf1=0.1235 cls=1.7170 jepa=2.7895
epoch=005 train_wf1=0.1543 val_wf1=0.2311 cls=1.6742 jepa=2.7696
epoch=006 train_wf1=0.1973 val_wf1=0.1703 cls=1.5873 jepa=2.7565
epoch=007 train_wf1=0.2056 val_wf1=0.2355 cls=1.5780 jepa=2.7451
epoch=008 train_wf1=0.2147 val_wf1=0.2471 cls=1.5746 jepa=2.7316
epoch=009 train_wf1=0.2433 val_wf1=0.3573 cls=1.4669 jepa=2.7246
epoch=010 train_wf1=0.3181 val_wf1=0.4017 cls=1.4260 jepa=2.7124
epoch=011 train_wf1=0.3450 val_wf1=0.3405 cls=1.3708 jepa=2.7064
epoch=012 train_wf1=0.3645 val_wf1=0.4175 cls=1.3189 jepa=2.6850
epoch=013 train_wf1=0.3722 val_wf1=0.3818 cls=1.3278 jepa=2.6808
epoch=014 train_wf1=0.3567 val_wf1=0.4164 cls=1.2848 jepa=2.6640
epoch=015 train_wf1=0.3479 val_wf1=0.4220 cls=1.3405 jepa=2.6555
epoch=016 train_wf1=0.4046 val_wf1=0.4140 cls=1.2663 jepa=2.6497
epoch=017 train_wf1=0.3794 val_wf1=0.4204 cls=1.2196 jepa=2.6490
epoch=018 train_wf1=0.3772 val_wf1=0.4244 cls=1.1955 jepa=2.6375
epoch=019 train_wf1=0.4150 val_wf1=0.4602 cls=1.2057 jepa=2.6324
epoch=020 train_wf1=0.4464 val_wf1=0.4388 cls=1.1582 jepa=2.6299
epoch=021 train_wf1=0.4631 val_wf1=0.4430 cls=1.1647 jepa=2.6266
epoch=022 train_wf1=0.4217 val_wf1=0.4850 cls=1.1350 jepa=2.6111
epoch=023 train_wf1=0.4725 val_wf1=0.4687 cls=1.1142 jepa=2.6116
epoch=024 train_wf1=0.4572 val_wf1=0.4667 cls=1.1051 jepa=2.6024
epoch=025 train_wf1=0.4780 val_wf1=0.4824 cls=1.1222 jepa=2.6073
epoch=026 train_wf1=0.4973 val_wf1=0.4627 cls=1.0781 jepa=2.5899
epoch=027 train_wf1=0.4625 val_wf1=0.4595 cls=1.0712 jepa=2.5914
epoch=028 train_wf1=0.4971 val_wf1=0.5404 cls=1.0903 jepa=2.5986
epoch=029 train_wf1=0.5119 val_wf1=0.4763 cls=1.0524 jepa=2.5780
epoch=030 train_wf1=0.4922 val_wf1=0.5387 cls=1.0821 jepa=2.5883
