audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4929 val8_wf1=0.2544 cls=0.6940 jepa=3.2094
epoch=002 train_wf1=0.4645 val8_wf1=0.2562 cls=0.7420 jepa=2.6628
epoch=003 train_wf1=0.4794 val8_wf1=0.4187 cls=0.6966 jepa=2.5580
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6870 jepa=2.4837
epoch=005 train_wf1=0.3922 val8_wf1=0.3941 cls=0.6892 jepa=2.4448
epoch=006 train_wf1=0.5086 val8_wf1=0.4187 cls=0.6918 jepa=2.4166
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6876 jepa=2.3936
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6855 jepa=2.3860
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6884 jepa=2.3867
epoch=010 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6863 jepa=2.3784
epoch=011 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6858 jepa=2.3720
epoch=012 train_wf1=0.3922 val8_wf1=0.4187 cls=0.6862 jepa=2.3633
epoch=013 train_wf1=0.5044 val8_wf1=0.4107 cls=0.6846 jepa=2.3481
epoch=014 train_wf1=0.4561 val8_wf1=0.3912 cls=0.6931 jepa=2.3468
epoch=015 train_wf1=0.5566 val8_wf1=0.3965 cls=0.7008 jepa=2.3373
epoch=016 train_wf1=0.5060 val8_wf1=0.4187 cls=0.6760 jepa=2.3347
epoch=017 train_wf1=0.3935 val8_wf1=0.4187 cls=0.6915 jepa=2.3107
epoch=018 train_wf1=0.3937 val8_wf1=0.4187 cls=0.6854 jepa=2.3216
epoch=019 train_wf1=0.3935 val8_wf1=0.4187 cls=0.6838 jepa=2.3091
epoch=020 train_wf1=0.4665 val8_wf1=0.4187 cls=0.6816 jepa=2.2949
epoch=021 train_wf1=0.4883 val8_wf1=0.4191 cls=0.6732 jepa=2.3149
epoch=022 train_wf1=0.5038 val8_wf1=0.4001 cls=0.6738 jepa=2.2977
epoch=023 train_wf1=0.5655 val8_wf1=0.3946 cls=0.6684 jepa=2.2975
epoch=024 train_wf1=0.5728 val8_wf1=0.3840 cls=0.6507 jepa=2.2784
epoch=025 train_wf1=0.5612 val8_wf1=0.3826 cls=0.6549 jepa=2.2816
epoch=026 train_wf1=0.5919 val8_wf1=0.4240 cls=0.6442 jepa=2.2696
epoch=027 train_wf1=0.6377 val8_wf1=0.3979 cls=0.6345 jepa=2.2491
epoch=028 train_wf1=0.6544 val8_wf1=0.4175 cls=0.5994 jepa=2.2462
epoch=029 train_wf1=0.6074 val8_wf1=0.3616 cls=0.6463 jepa=2.2434
epoch=030 train_wf1=0.4390 val8_wf1=0.5492 cls=0.7715 jepa=2.2694
epoch=031 train_wf1=0.6714 val8_wf1=0.4198 cls=0.6541 jepa=2.2304
epoch=032 train_wf1=0.5323 val8_wf1=0.4798 cls=0.6405 jepa=2.2203
epoch=033 train_wf1=0.6579 val8_wf1=0.5865 cls=0.6910 jepa=2.2186
epoch=034 train_wf1=0.6820 val8_wf1=0.4919 cls=0.5948 jepa=2.1880
epoch=035 train_wf1=0.6824 val8_wf1=0.5908 cls=0.5722 jepa=2.1808
epoch=036 train_wf1=0.7142 val8_wf1=0.6406 cls=0.5630 jepa=2.1571
epoch=037 train_wf1=0.7256 val8_wf1=0.6342 cls=0.5892 jepa=2.1544
epoch=038 train_wf1=0.7410 val8_wf1=0.6966 cls=0.5276 jepa=2.1715
epoch=039 train_wf1=0.7450 val8_wf1=0.7241 cls=0.5214 jepa=2.1351
epoch=040 train_wf1=0.7673 val8_wf1=0.7160 cls=0.4870 jepa=2.1212
epoch=041 train_wf1=0.7791 val8_wf1=0.7145 cls=0.4683 jepa=2.1297
epoch=042 train_wf1=0.7861 val8_wf1=0.7266 cls=0.4540 jepa=2.1157
epoch=043 train_wf1=0.8049 val8_wf1=0.7207 cls=0.4165 jepa=2.0890
epoch=044 train_wf1=0.7994 val8_wf1=0.7507 cls=0.4200 jepa=2.0811
epoch=045 train_wf1=0.8135 val8_wf1=0.7379 cls=0.3974 jepa=2.0683
epoch=046 train_wf1=0.8257 val8_wf1=0.7641 cls=0.3780 jepa=2.0406
epoch=047 train_wf1=0.8303 val8_wf1=0.7087 cls=0.3643 jepa=2.0275
epoch=048 train_wf1=0.8337 val8_wf1=0.7719 cls=0.3563 jepa=1.9877
epoch=049 train_wf1=0.8342 val8_wf1=0.7488 cls=0.3537 jepa=2.0048
epoch=050 train_wf1=0.8469 val8_wf1=0.7676 cls=0.3292 jepa=1.9746
epoch=051 train_wf1=0.8529 val8_wf1=0.7501 cls=0.3137 jepa=1.9777
