audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4957 val8_wf1=0.2582 cls=3.1301 jepa=3.2730
epoch=002 train_wf1=0.4658 val8_wf1=0.4080 cls=3.1736 jepa=2.9526
epoch=003 train_wf1=0.4961 val8_wf1=0.4567 cls=2.4608 jepa=2.7159
epoch=004 train_wf1=0.4808 val8_wf1=0.4964 cls=2.3818 jepa=2.6861
epoch=005 train_wf1=0.4712 val8_wf1=0.4750 cls=2.3284 jepa=2.6849
epoch=006 train_wf1=0.4888 val8_wf1=0.4187 cls=2.3780 jepa=2.6892
epoch=007 train_wf1=0.4358 val8_wf1=0.4846 cls=2.3121 jepa=2.5861
epoch=008 train_wf1=0.5229 val8_wf1=0.4235 cls=2.2265 jepa=2.6054
epoch=009 train_wf1=0.4184 val8_wf1=0.4216 cls=2.2132 jepa=2.5945
epoch=010 train_wf1=0.5163 val8_wf1=0.5132 cls=2.1806 jepa=2.5380
epoch=011 train_wf1=0.6061 val8_wf1=0.4796 cls=1.9890 jepa=2.5686
epoch=012 train_wf1=0.5448 val8_wf1=0.5233 cls=2.1641 jepa=2.5619
epoch=013 train_wf1=0.6516 val8_wf1=0.5131 cls=2.0127 jepa=2.5315
epoch=014 train_wf1=0.6276 val8_wf1=0.6161 cls=1.9504 jepa=2.5173
epoch=015 train_wf1=0.7177 val8_wf1=0.6276 cls=1.7045 jepa=2.5255
epoch=016 train_wf1=0.7357 val8_wf1=0.6851 cls=1.5667 jepa=2.5211
epoch=017 train_wf1=0.7323 val8_wf1=0.6738 cls=1.5370 jepa=2.5028
epoch=018 train_wf1=0.7289 val8_wf1=0.7477 cls=1.4889 jepa=2.5116
epoch=019 train_wf1=0.7612 val8_wf1=0.7694 cls=1.4120 jepa=2.5081
epoch=020 train_wf1=0.7710 val8_wf1=0.7572 cls=1.3148 jepa=2.5010
epoch=021 train_wf1=0.7859 val8_wf1=0.7502 cls=1.2536 jepa=2.5104
epoch=022 train_wf1=0.7844 val8_wf1=0.7359 cls=1.2998 jepa=2.4958
epoch=023 train_wf1=0.7916 val8_wf1=0.7542 cls=1.2030 jepa=2.5084
epoch=024 train_wf1=0.7969 val8_wf1=0.7412 cls=1.1623 jepa=2.4927
epoch=025 train_wf1=0.8122 val8_wf1=0.7463 cls=1.0635 jepa=2.4944
epoch=026 train_wf1=0.8186 val8_wf1=0.7582 cls=1.0291 jepa=2.4905
epoch=027 train_wf1=0.8290 val8_wf1=0.7542 cls=1.0021 jepa=2.4694
epoch=028 train_wf1=0.8335 val8_wf1=0.7672 cls=0.9128 jepa=2.4776
epoch=029 train_wf1=0.8373 val8_wf1=0.7840 cls=0.9461 jepa=2.4766
epoch=030 train_wf1=0.8442 val8_wf1=0.7745 cls=0.8826 jepa=2.4689
epoch=031 train_wf1=0.8305 val8_wf1=0.7764 cls=0.9153 jepa=2.4523
epoch=032 train_wf1=0.8424 val8_wf1=0.7914 cls=0.9780 jepa=2.4365
epoch=033 train_wf1=0.8513 val8_wf1=0.7743 cls=0.7894 jepa=2.4372
epoch=034 train_wf1=0.8588 val8_wf1=0.7672 cls=0.8110 jepa=2.4331
epoch=035 train_wf1=0.8579 val8_wf1=0.7579 cls=0.7577 jepa=2.4235
epoch=036 train_wf1=0.8576 val8_wf1=0.7753 cls=0.7494 jepa=2.3948
epoch=037 train_wf1=0.8591 val8_wf1=0.7522 cls=0.7512 jepa=2.3984
epoch=038 train_wf1=0.8607 val8_wf1=0.7825 cls=0.7339 jepa=2.4121
epoch=039 train_wf1=0.8596 val8_wf1=0.7859 cls=0.7388 jepa=2.3735
epoch=040 train_wf1=0.8712 val8_wf1=0.7820 cls=0.7185 jepa=2.3647
epoch=041 train_wf1=0.8702 val8_wf1=0.7795 cls=0.6726 jepa=2.3827
epoch=042 train_wf1=0.8793 val8_wf1=0.7803 cls=0.6391 jepa=2.3705
epoch=043 train_wf1=0.8807 val8_wf1=0.7674 cls=0.6365 jepa=2.3495
epoch=044 train_wf1=0.8743 val8_wf1=0.7748 cls=0.6400 jepa=2.3435
epoch=045 train_wf1=0.8783 val8_wf1=0.7580 cls=0.6064 jepa=2.3632
epoch=046 train_wf1=0.8743 val8_wf1=0.7703 cls=0.6462 jepa=2.3117
