Input feature wav2vec-large-c-UTT ===> dim is 512; No. sample is 2199
Input feature deberta-roberta-lora-concat-UTT ===> dim is 2048; No. sample is 2199
Input feature manet_UTT ===> dim is 1024; No. sample is 2199
audio dimension: 512; text dimension: 2048; video dimension: 1024
epoch=001 train_wf1=0.5016 val8_wf1=0.2544 cls=2.2760 jepa=2.8885
epoch=002 train_wf1=0.4327 val8_wf1=0.2875 cls=2.7532 jepa=3.2941
epoch=003 train_wf1=0.4925 val8_wf1=0.4187 cls=2.3543 jepa=2.6953
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2603 jepa=2.5703
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2626 jepa=2.5141
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2926 jepa=2.4452
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3403 jepa=2.4623
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2868 jepa=2.4370
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2366 jepa=2.4134
epoch=010 train_wf1=0.4608 val8_wf1=0.4187 cls=2.2773 jepa=2.4017
epoch=011 train_wf1=0.3922 val8_wf1=0.4187 cls=2.1948 jepa=2.4212
epoch=012 train_wf1=0.3938 val8_wf1=0.4787 cls=2.1982 jepa=2.3923
epoch=013 train_wf1=0.5311 val8_wf1=0.4761 cls=2.2737 jepa=2.3846
epoch=014 train_wf1=0.6301 val8_wf1=0.4187 cls=2.2644 jepa=2.3722
epoch=015 train_wf1=0.4724 val8_wf1=0.4943 cls=2.2870 jepa=2.3798
epoch=016 train_wf1=0.6649 val8_wf1=0.5510 cls=2.3652 jepa=2.3912
epoch=017 train_wf1=0.6894 val8_wf1=0.4295 cls=2.1268 jepa=2.3848
epoch=018 train_wf1=0.4862 val8_wf1=0.5057 cls=2.0148 jepa=2.3769
epoch=019 train_wf1=0.6148 val8_wf1=0.7173 cls=1.8050 jepa=2.3774
epoch=020 train_wf1=0.7432 val8_wf1=0.7472 cls=1.5702 jepa=2.3750
epoch=021 train_wf1=0.7396 val8_wf1=0.7409 cls=1.6145 jepa=2.3680
epoch=022 train_wf1=0.7548 val8_wf1=0.7321 cls=1.5021 jepa=2.3633
epoch=023 train_wf1=0.7645 val8_wf1=0.7511 cls=1.3894 jepa=2.3654
epoch=024 train_wf1=0.7743 val8_wf1=0.7388 cls=1.3143 jepa=2.3569
epoch=025 train_wf1=0.7944 val8_wf1=0.7618 cls=1.2216 jepa=2.3537
epoch=026 train_wf1=0.8113 val8_wf1=0.7622 cls=1.1789 jepa=2.3561
epoch=027 train_wf1=0.8385 val8_wf1=0.7750 cls=1.0764 jepa=2.3421
epoch=028 train_wf1=0.8576 val8_wf1=0.7966 cls=0.9888 jepa=2.3389
epoch=029 train_wf1=0.8586 val8_wf1=0.7655 cls=0.9926 jepa=2.3355
epoch=030 train_wf1=0.8517 val8_wf1=0.7656 cls=0.8598 jepa=2.3508
epoch=031 train_wf1=0.8594 val8_wf1=0.7579 cls=0.8297 jepa=2.3370
epoch=032 train_wf1=0.8572 val8_wf1=0.7996 cls=0.8523 jepa=2.3411
epoch=033 train_wf1=0.8673 val8_wf1=0.7738 cls=0.7630 jepa=2.3308
epoch=034 train_wf1=0.8726 val8_wf1=0.7883 cls=0.7925 jepa=2.3050
epoch=035 train_wf1=0.8612 val8_wf1=0.7990 cls=0.7587 jepa=2.3130
epoch=036 train_wf1=0.8781 val8_wf1=0.7882 cls=0.7088 jepa=2.3236
epoch=037 train_wf1=0.8721 val8_wf1=0.7907 cls=0.6896 jepa=2.3061
epoch=038 train_wf1=0.8806 val8_wf1=0.7962 cls=0.6619 jepa=2.3054
epoch=039 train_wf1=0.8805 val8_wf1=0.7732 cls=0.6496 jepa=2.3144
epoch=040 train_wf1=0.8822 val8_wf1=0.7838 cls=0.6645 jepa=2.3063
epoch=041 train_wf1=0.8843 val8_wf1=0.7784 cls=0.6568 jepa=2.2824
epoch=042 train_wf1=0.8797 val8_wf1=0.7876 cls=0.6448 jepa=2.3059
epoch=043 train_wf1=0.8828 val8_wf1=0.7717 cls=0.6345 jepa=2.2893
epoch=044 train_wf1=0.8805 val8_wf1=0.7860 cls=0.6195 jepa=2.2943
epoch=045 train_wf1=0.8893 val8_wf1=0.7877 cls=0.6320 jepa=2.2868
epoch=046 train_wf1=0.8867 val8_wf1=0.7798 cls=0.6024 jepa=2.2740
epoch=047 train_wf1=0.8856 val8_wf1=0.7789 cls=0.6091 jepa=2.2637
epoch=048 train_wf1=0.8921 val8_wf1=0.7832 cls=0.5746 jepa=2.2570
epoch=049 train_wf1=0.8893 val8_wf1=0.7824 cls=0.5842 jepa=2.2598
epoch=050 train_wf1=0.8914 val8_wf1=0.7793 cls=0.5970 jepa=2.2665
epoch=051 train_wf1=0.8929 val8_wf1=0.7890 cls=0.5472 jepa=2.2430
epoch=052 train_wf1=0.8942 val8_wf1=0.7849 cls=0.5651 jepa=2.2425
epoch=053 train_wf1=0.8958 val8_wf1=0.7738 cls=0.5468 jepa=2.2349
epoch=054 train_wf1=0.8958 val8_wf1=0.7810 cls=0.5806 jepa=2.2371
epoch=055 train_wf1=0.8970 val8_wf1=0.7659 cls=0.5581 jepa=2.2166
epoch=056 train_wf1=0.8958 val8_wf1=0.7811 cls=0.5607 jepa=2.2392
epoch=057 train_wf1=0.8968 val8_wf1=0.7901 cls=0.5752 jepa=2.2332
epoch=058 train_wf1=0.8935 val8_wf1=0.7681 cls=0.5568 jepa=2.2136
epoch=059 train_wf1=0.9018 val8_wf1=0.7709 cls=0.5510 jepa=2.2192
epoch=060 train_wf1=0.8948 val8_wf1=0.7778 cls=0.5513 jepa=2.1997
epoch=061 train_wf1=0.9030 val8_wf1=0.7582 cls=0.5267 jepa=2.1999
epoch=062 train_wf1=0.9076 val8_wf1=0.7656 cls=0.4914 jepa=2.1724
epoch=063 train_wf1=0.9096 val8_wf1=0.7687 cls=0.4741 jepa=2.1669
epoch=064 train_wf1=0.9034 val8_wf1=0.7786 cls=0.4972 jepa=2.1609
epoch=065 train_wf1=0.9105 val8_wf1=0.7796 cls=0.4865 jepa=2.1477
epoch=066 train_wf1=0.9109 val8_wf1=0.7773 cls=0.4828 jepa=2.1419
epoch=067 train_wf1=0.9048 val8_wf1=0.7734 cls=0.4884 jepa=2.1157
epoch=068 train_wf1=0.9186 val8_wf1=0.7769 cls=0.4170 jepa=2.1210
epoch=069 train_wf1=0.9159 val8_wf1=0.7558 cls=0.4578 jepa=2.1035
epoch=070 train_wf1=0.9099 val8_wf1=0.7663 cls=0.4531 jepa=2.1002
epoch=071 train_wf1=0.9128 val8_wf1=0.7500 cls=0.4724 jepa=2.0916
epoch=072 train_wf1=0.9095 val8_wf1=0.7783 cls=0.4524 jepa=2.0793
epoch=073 train_wf1=0.9283 val8_wf1=0.7923 cls=0.4032 jepa=2.0571
epoch=074 train_wf1=0.9206 val8_wf1=0.7792 cls=0.4307 jepa=2.0846
epoch=075 train_wf1=0.9239 val8_wf1=0.7670 cls=0.4034 jepa=2.0552
epoch=076 train_wf1=0.9264 val8_wf1=0.7634 cls=0.3774 jepa=2.0377
epoch=077 train_wf1=0.9239 val8_wf1=0.7786 cls=0.3667 jepa=2.0164
epoch=078 train_wf1=0.9307 val8_wf1=0.7739 cls=0.3653 jepa=2.0102
epoch=079 train_wf1=0.9351 val8_wf1=0.7583 cls=0.3463 jepa=2.0162
epoch=080 train_wf1=0.9386 val8_wf1=0.7634 cls=0.3431 jepa=1.9798
epoch=081 train_wf1=0.9358 val8_wf1=0.7674 cls=0.3403 jepa=1.9745
epoch=082 train_wf1=0.9397 val8_wf1=0.7700 cls=0.3369 jepa=1.9616
epoch=083 train_wf1=0.9411 val8_wf1=0.7622 cls=0.2987 jepa=1.9453
epoch=084 train_wf1=0.9412 val8_wf1=0.7632 cls=0.3093 jepa=1.9217
epoch=085 train_wf1=0.9334 val8_wf1=0.7568 cls=0.3205 jepa=1.9467
epoch=086 train_wf1=0.9276 val8_wf1=0.7741 cls=0.3438 jepa=1.9399
epoch=087 train_wf1=0.9336 val8_wf1=0.7711 cls=0.3169 jepa=1.9055
epoch=088 train_wf1=0.9401 val8_wf1=0.7671 cls=0.3013 jepa=1.9201
epoch=089 train_wf1=0.9484 val8_wf1=0.7765 cls=0.2697 jepa=1.8745
epoch=090 train_wf1=0.9440 val8_wf1=0.7722 cls=0.2866 jepa=1.9026
epoch=091 train_wf1=0.9459 val8_wf1=0.7667 cls=0.2765 jepa=1.8281
epoch=092 train_wf1=0.9469 val8_wf1=0.7670 cls=0.2688 jepa=1.8393
epoch=093 train_wf1=0.9507 val8_wf1=0.7750 cls=0.2459 jepa=1.8246
epoch=094 train_wf1=0.9515 val8_wf1=0.7584 cls=0.2375 jepa=1.8204
epoch=095 train_wf1=0.9532 val8_wf1=0.7534 cls=0.2555 jepa=1.8322
epoch=096 train_wf1=0.9417 val8_wf1=0.7599 cls=0.2647 jepa=1.8304
epoch=097 train_wf1=0.9462 val8_wf1=0.7724 cls=0.2679 jepa=1.7961
epoch=098 train_wf1=0.9466 val8_wf1=0.7694 cls=0.2622 jepa=1.7952
epoch=099 train_wf1=0.9502 val8_wf1=0.7778 cls=0.2572 jepa=1.7916
epoch=100 train_wf1=0.9540 val8_wf1=0.7602 cls=0.2292 jepa=1.7952
