audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4892 val8_wf1=0.2554 cls=2.2886 jepa=3.0393
epoch=002 train_wf1=0.4742 val8_wf1=0.4349 cls=2.3870 jepa=2.7517
epoch=003 train_wf1=0.5071 val8_wf1=0.4187 cls=2.2455 jepa=2.5839
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.4638 jepa=2.5715
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2398 jepa=2.4640
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2667 jepa=2.4744
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2660 jepa=2.4397
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=2.4888 jepa=2.4139
epoch=009 train_wf1=0.3922 val8_wf1=0.3985 cls=2.3288 jepa=2.4363
epoch=010 train_wf1=0.5259 val8_wf1=0.3847 cls=2.2542 jepa=2.4252
epoch=011 train_wf1=0.5348 val8_wf1=0.4011 cls=2.1665 jepa=2.3842
epoch=012 train_wf1=0.4815 val8_wf1=0.3829 cls=2.1481 jepa=2.3805
epoch=013 train_wf1=0.5775 val8_wf1=0.4320 cls=2.9704 jepa=2.3841
epoch=014 train_wf1=0.6097 val8_wf1=0.3802 cls=2.5736 jepa=2.3766
epoch=015 train_wf1=0.5819 val8_wf1=0.3811 cls=2.1382 jepa=2.3889
epoch=016 train_wf1=0.5850 val8_wf1=0.4258 cls=2.0821 jepa=2.3785
epoch=017 train_wf1=0.6382 val8_wf1=0.3811 cls=2.0015 jepa=2.3726
epoch=018 train_wf1=0.6339 val8_wf1=0.4553 cls=2.0510 jepa=2.3557
epoch=019 train_wf1=0.6620 val8_wf1=0.5530 cls=1.8683 jepa=2.3601
epoch=020 train_wf1=0.6674 val8_wf1=0.5889 cls=1.7510 jepa=2.3585
epoch=021 train_wf1=0.6975 val8_wf1=0.6119 cls=1.7963 jepa=2.3409
epoch=022 train_wf1=0.7089 val8_wf1=0.6768 cls=1.6771 jepa=2.3442
epoch=023 train_wf1=0.7303 val8_wf1=0.7078 cls=1.5921 jepa=2.3467
epoch=024 train_wf1=0.7420 val8_wf1=0.7056 cls=1.5033 jepa=2.3368
epoch=025 train_wf1=0.7480 val8_wf1=0.7146 cls=1.4883 jepa=2.3247
epoch=026 train_wf1=0.7558 val8_wf1=0.7075 cls=1.3784 jepa=2.3205
epoch=027 train_wf1=0.7627 val8_wf1=0.7048 cls=1.3518 jepa=2.3249
epoch=028 train_wf1=0.7665 val8_wf1=0.7088 cls=1.3090 jepa=2.3090
epoch=029 train_wf1=0.7809 val8_wf1=0.7131 cls=1.3080 jepa=2.3115
epoch=030 train_wf1=0.7871 val8_wf1=0.7029 cls=1.2370 jepa=2.2862
epoch=031 train_wf1=0.7888 val8_wf1=0.7074 cls=1.1930 jepa=2.2963
epoch=032 train_wf1=0.7918 val8_wf1=0.7202 cls=1.2860 jepa=2.2985
epoch=033 train_wf1=0.8042 val8_wf1=0.7392 cls=1.1394 jepa=2.3018
epoch=034 train_wf1=0.7953 val8_wf1=0.6833 cls=1.1308 jepa=2.3012
epoch=035 train_wf1=0.7886 val8_wf1=0.7198 cls=1.2151 jepa=2.2977
epoch=036 train_wf1=0.8106 val8_wf1=0.7466 cls=1.0877 jepa=2.2834
epoch=037 train_wf1=0.8024 val8_wf1=0.7579 cls=1.1711 jepa=2.2821
epoch=038 train_wf1=0.8298 val8_wf1=0.7616 cls=1.0017 jepa=2.2767
epoch=039 train_wf1=0.8247 val8_wf1=0.7593 cls=0.9796 jepa=2.2657
epoch=040 train_wf1=0.8316 val8_wf1=0.7525 cls=0.9477 jepa=2.2565
epoch=041 train_wf1=0.8377 val8_wf1=0.7579 cls=0.9224 jepa=2.2656
epoch=042 train_wf1=0.8421 val8_wf1=0.7611 cls=0.8943 jepa=2.2548
epoch=043 train_wf1=0.8409 val8_wf1=0.7668 cls=0.8798 jepa=2.2390
epoch=044 train_wf1=0.8395 val8_wf1=0.7451 cls=0.8824 jepa=2.2331
epoch=045 train_wf1=0.8465 val8_wf1=0.7740 cls=0.8946 jepa=2.2319
epoch=046 train_wf1=0.8472 val8_wf1=0.7753 cls=0.8510 jepa=2.2283
epoch=047 train_wf1=0.8508 val8_wf1=0.7760 cls=0.8041 jepa=2.1875
epoch=048 train_wf1=0.8607 val8_wf1=0.7687 cls=0.8078 jepa=2.1978
epoch=049 train_wf1=0.8664 val8_wf1=0.7678 cls=0.7421 jepa=2.2013
epoch=050 train_wf1=0.8624 val8_wf1=0.7678 cls=0.7524 jepa=2.1743
epoch=051 train_wf1=0.8710 val8_wf1=0.7406 cls=0.7127 jepa=2.1643
epoch=052 train_wf1=0.8676 val8_wf1=0.7528 cls=0.7309 jepa=2.1512
