audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4929 val8_wf1=0.2544 cls=2.3188 jepa=3.2789
epoch=002 train_wf1=0.4645 val8_wf1=0.2647 cls=2.3916 jepa=2.7332
epoch=003 train_wf1=0.4782 val8_wf1=0.4187 cls=2.3810 jepa=2.5731
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2693 jepa=2.5050
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3159 jepa=2.4658
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3064 jepa=2.4316
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2956 jepa=2.4081
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2271 jepa=2.3951
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2495 jepa=2.4007
epoch=010 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2690 jepa=2.3973
epoch=011 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2642 jepa=2.3935
epoch=012 train_wf1=0.3922 val8_wf1=0.4152 cls=2.2951 jepa=2.3908
epoch=013 train_wf1=0.5116 val8_wf1=0.3984 cls=2.3208 jepa=2.3777
epoch=014 train_wf1=0.4820 val8_wf1=0.3781 cls=2.2181 jepa=2.3770
epoch=015 train_wf1=0.5756 val8_wf1=0.4164 cls=2.1999 jepa=2.3768
epoch=016 train_wf1=0.4653 val8_wf1=0.4187 cls=2.2466 jepa=2.3760
epoch=017 train_wf1=0.4437 val8_wf1=0.4008 cls=2.2213 jepa=2.3549
epoch=018 train_wf1=0.5035 val8_wf1=0.3825 cls=2.1910 jepa=2.3665
epoch=019 train_wf1=0.5428 val8_wf1=0.3829 cls=2.1653 jepa=2.3575
epoch=020 train_wf1=0.5268 val8_wf1=0.3926 cls=2.1085 jepa=2.3560
epoch=021 train_wf1=0.5189 val8_wf1=0.3977 cls=2.1057 jepa=2.3676
epoch=022 train_wf1=0.5174 val8_wf1=0.3878 cls=2.1015 jepa=2.3475
epoch=023 train_wf1=0.5277 val8_wf1=0.3843 cls=2.0805 jepa=2.3590
epoch=024 train_wf1=0.5282 val8_wf1=0.3839 cls=2.0632 jepa=2.3429
epoch=025 train_wf1=0.5365 val8_wf1=0.3839 cls=2.0523 jepa=2.3456
epoch=026 train_wf1=0.5592 val8_wf1=0.4431 cls=2.0219 jepa=2.3392
epoch=027 train_wf1=0.6360 val8_wf1=0.3874 cls=2.1231 jepa=2.3180
epoch=028 train_wf1=0.5827 val8_wf1=0.3867 cls=1.9489 jepa=2.3280
