audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4892 val8_wf1=0.4559 cls=2.2912 jepa=2.7746
epoch=002 train_wf1=0.4483 val8_wf1=0.4187 cls=2.3996 jepa=2.7801
epoch=003 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2568 jepa=2.7728
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3229 jepa=2.7883
epoch=005 train_wf1=0.4010 val8_wf1=0.4075 cls=2.2086 jepa=2.7783
epoch=006 train_wf1=0.5385 val8_wf1=0.3810 cls=2.1318 jepa=2.7969
epoch=007 train_wf1=0.6043 val8_wf1=0.3946 cls=2.1735 jepa=2.7939
epoch=008 train_wf1=0.6249 val8_wf1=0.4922 cls=1.8710 jepa=2.8011
epoch=009 train_wf1=0.6519 val8_wf1=0.4242 cls=1.9580 jepa=2.7947
epoch=010 train_wf1=0.5812 val8_wf1=0.5824 cls=1.9754 jepa=2.7856
epoch=011 train_wf1=0.6688 val8_wf1=0.4239 cls=1.9672 jepa=2.7723
epoch=012 train_wf1=0.5898 val8_wf1=0.6291 cls=2.1885 jepa=2.7743
epoch=013 train_wf1=0.6551 val8_wf1=0.4223 cls=1.9704 jepa=2.7621
epoch=014 train_wf1=0.5580 val8_wf1=0.5322 cls=2.3584 jepa=2.7460
epoch=015 train_wf1=0.6914 val8_wf1=0.5631 cls=1.6530 jepa=2.7564
epoch=016 train_wf1=0.7073 val8_wf1=0.6319 cls=1.7528 jepa=2.7531
epoch=017 train_wf1=0.7136 val8_wf1=0.6033 cls=1.6054 jepa=2.7365
epoch=018 train_wf1=0.7070 val8_wf1=0.6472 cls=1.4926 jepa=2.7287
epoch=019 train_wf1=0.7251 val8_wf1=0.6736 cls=1.7712 jepa=2.7332
epoch=020 train_wf1=0.7434 val8_wf1=0.6994 cls=1.6216 jepa=2.7395
epoch=021 train_wf1=0.7357 val8_wf1=0.7027 cls=1.5791 jepa=2.7223
epoch=022 train_wf1=0.7549 val8_wf1=0.7201 cls=1.5633 jepa=2.7221
epoch=023 train_wf1=0.7568 val8_wf1=0.7157 cls=1.4557 jepa=2.7242
epoch=024 train_wf1=0.7422 val8_wf1=0.7260 cls=1.4215 jepa=2.7248
epoch=025 train_wf1=0.7626 val8_wf1=0.7208 cls=1.4389 jepa=2.7196
epoch=026 train_wf1=0.7548 val8_wf1=0.7041 cls=1.3506 jepa=2.7179
epoch=027 train_wf1=0.7608 val8_wf1=0.6991 cls=1.3231 jepa=2.7114
epoch=028 train_wf1=0.7689 val8_wf1=0.6991 cls=1.3047 jepa=2.7065
epoch=029 train_wf1=0.7795 val8_wf1=0.6909 cls=1.3440 jepa=2.7107
epoch=030 train_wf1=0.7830 val8_wf1=0.6880 cls=1.2468 jepa=2.6965
epoch=031 train_wf1=0.7808 val8_wf1=0.6881 cls=1.2417 jepa=2.7019
epoch=032 train_wf1=0.7902 val8_wf1=0.6996 cls=1.1785 jepa=2.7017
epoch=033 train_wf1=0.8008 val8_wf1=0.7157 cls=1.1067 jepa=2.7088
epoch=034 train_wf1=0.8101 val8_wf1=0.7381 cls=1.0787 jepa=2.6995
epoch=035 train_wf1=0.8188 val8_wf1=0.7354 cls=1.0275 jepa=2.6988
epoch=036 train_wf1=0.8243 val8_wf1=0.7490 cls=0.9732 jepa=2.6881
epoch=037 train_wf1=0.8333 val8_wf1=0.7424 cls=0.9189 jepa=2.6845
epoch=038 train_wf1=0.8315 val8_wf1=0.7208 cls=0.9271 jepa=2.6933
epoch=039 train_wf1=0.8046 val8_wf1=0.7209 cls=1.0550 jepa=2.6763
epoch=040 train_wf1=0.8336 val8_wf1=0.7261 cls=0.9130 jepa=2.6725
epoch=041 train_wf1=0.8338 val8_wf1=0.7459 cls=0.9365 jepa=2.6957
epoch=042 train_wf1=0.8322 val8_wf1=0.7673 cls=0.8903 jepa=2.6733
epoch=043 train_wf1=0.8478 val8_wf1=0.7050 cls=0.8409 jepa=2.6751
epoch=044 train_wf1=0.8361 val8_wf1=0.7766 cls=0.9050 jepa=2.6858
epoch=045 train_wf1=0.8594 val8_wf1=0.7725 cls=0.8003 jepa=2.6784
epoch=046 train_wf1=0.8522 val8_wf1=0.7257 cls=0.7808 jepa=2.6818
epoch=047 train_wf1=0.8471 val8_wf1=0.7550 cls=0.7731 jepa=2.6743
epoch=048 train_wf1=0.8529 val8_wf1=0.7459 cls=0.8052 jepa=2.6740
epoch=049 train_wf1=0.8590 val8_wf1=0.7269 cls=0.7623 jepa=2.6861
epoch=050 train_wf1=0.8530 val8_wf1=0.7434 cls=0.7795 jepa=2.6891
epoch=051 train_wf1=0.8562 val8_wf1=0.7413 cls=0.7662 jepa=2.7017
epoch=052 train_wf1=0.8663 val8_wf1=0.7275 cls=0.7353 jepa=2.6589
epoch=053 train_wf1=0.8674 val8_wf1=0.7388 cls=0.7121 jepa=2.6992
epoch=054 train_wf1=0.8706 val8_wf1=0.7366 cls=0.7264 jepa=2.7092
epoch=055 train_wf1=0.8804 val8_wf1=0.7173 cls=0.6583 jepa=2.7027
