audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.3924 val8_wf1=0.2544 cls=2.3572 jepa=3.2200
epoch=002 train_wf1=0.5146 val8_wf1=0.4187 cls=2.5526 jepa=2.9804
epoch=003 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2505 jepa=2.6456
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2990 jepa=2.5254
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2890 jepa=2.4621
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2510 jepa=2.4519
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3049 jepa=2.4213
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2897 jepa=2.4112
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2112 jepa=2.3604
epoch=010 train_wf1=0.3922 val8_wf1=0.4114 cls=2.3431 jepa=2.3795
epoch=011 train_wf1=0.5433 val8_wf1=0.3823 cls=2.1604 jepa=2.3823
epoch=012 train_wf1=0.5490 val8_wf1=0.4187 cls=2.4460 jepa=2.3741
epoch=013 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2531 jepa=2.3614
epoch=014 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3589 jepa=2.3649
epoch=015 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2508 jepa=2.3610
epoch=016 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2968 jepa=2.3757
epoch=017 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2394 jepa=2.3621
epoch=018 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3365 jepa=2.3601
epoch=019 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2290 jepa=2.3503
epoch=020 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2604 jepa=2.3291
epoch=021 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3006 jepa=2.3326
epoch=022 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2692 jepa=2.3502
epoch=023 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2940 jepa=2.3401
epoch=024 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2968 jepa=2.3412
epoch=025 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2850 jepa=2.3228
epoch=026 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2472 jepa=2.3121
epoch=027 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2967 jepa=2.3081
epoch=028 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2560 jepa=2.3104
epoch=029 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2521 jepa=2.3044
epoch=030 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2723 jepa=2.2859
epoch=031 train_wf1=0.3922 val8_wf1=0.4336 cls=2.2310 jepa=2.2738
epoch=032 train_wf1=0.4446 val8_wf1=0.4167 cls=2.2356 jepa=2.2685
