audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4892 val8_wf1=0.4305 cls=2.2917 jepa=2.9019
epoch=002 train_wf1=0.3962 val8_wf1=0.4187 cls=2.3749 jepa=2.6939
epoch=003 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2532 jepa=2.5995
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3235 jepa=2.5312
epoch=005 train_wf1=0.3923 val8_wf1=0.4146 cls=2.2158 jepa=2.4748
epoch=006 train_wf1=0.5291 val8_wf1=0.3781 cls=2.1857 jepa=2.4556
epoch=007 train_wf1=0.6075 val8_wf1=0.3779 cls=2.1829 jepa=2.4351
epoch=008 train_wf1=0.6350 val8_wf1=0.4219 cls=2.0103 jepa=2.4348
epoch=009 train_wf1=0.6609 val8_wf1=0.5890 cls=1.9610 jepa=2.4278
epoch=010 train_wf1=0.6509 val8_wf1=0.5398 cls=1.9316 jepa=2.4170
epoch=011 train_wf1=0.6764 val8_wf1=0.4008 cls=2.0123 jepa=2.3851
epoch=012 train_wf1=0.6593 val8_wf1=0.4331 cls=2.1287 jepa=2.3735
epoch=013 train_wf1=0.5796 val8_wf1=0.4296 cls=2.0319 jepa=2.3735
epoch=014 train_wf1=0.6323 val8_wf1=0.4850 cls=1.7959 jepa=2.3642
epoch=015 train_wf1=0.6608 val8_wf1=0.5085 cls=1.9305 jepa=2.3643
epoch=016 train_wf1=0.7111 val8_wf1=0.5822 cls=1.6566 jepa=2.3604
epoch=017 train_wf1=0.7185 val8_wf1=0.6063 cls=1.5790 jepa=2.3601
epoch=018 train_wf1=0.7227 val8_wf1=0.6624 cls=1.5991 jepa=2.3389
epoch=019 train_wf1=0.7225 val8_wf1=0.5910 cls=1.5566 jepa=2.3389
epoch=020 train_wf1=0.6748 val8_wf1=0.7153 cls=1.6065 jepa=2.3443
epoch=021 train_wf1=0.7445 val8_wf1=0.6312 cls=1.5387 jepa=2.3220
epoch=022 train_wf1=0.7349 val8_wf1=0.7289 cls=1.6325 jepa=2.3209
epoch=023 train_wf1=0.7491 val8_wf1=0.7260 cls=1.6210 jepa=2.3224
epoch=024 train_wf1=0.7551 val8_wf1=0.6999 cls=1.4328 jepa=2.3185
epoch=025 train_wf1=0.7596 val8_wf1=0.7066 cls=1.4019 jepa=2.3096
epoch=026 train_wf1=0.7608 val8_wf1=0.7184 cls=1.3422 jepa=2.2987
epoch=027 train_wf1=0.7690 val8_wf1=0.7073 cls=1.3112 jepa=2.3013
epoch=028 train_wf1=0.7716 val8_wf1=0.7112 cls=1.3010 jepa=2.2862
epoch=029 train_wf1=0.7774 val8_wf1=0.7063 cls=1.3120 jepa=2.2762
epoch=030 train_wf1=0.7799 val8_wf1=0.6901 cls=1.2421 jepa=2.2481
epoch=031 train_wf1=0.7908 val8_wf1=0.6865 cls=1.2129 jepa=2.2554
epoch=032 train_wf1=0.7972 val8_wf1=0.6855 cls=1.1818 jepa=2.2473
epoch=033 train_wf1=0.7942 val8_wf1=0.7074 cls=1.1224 jepa=2.2402
epoch=034 train_wf1=0.8111 val8_wf1=0.7078 cls=1.0738 jepa=2.2194
epoch=035 train_wf1=0.8185 val8_wf1=0.7404 cls=1.0029 jepa=2.2133
epoch=036 train_wf1=0.8196 val8_wf1=0.7444 cls=1.0238 jepa=2.1844
epoch=037 train_wf1=0.8166 val8_wf1=0.7526 cls=1.0122 jepa=2.1903
