Input feature wav2vec-large-c-UTT ===> dim is 512; No. sample is 2199
Input feature roberta-large-lora-r8-mean-UTT ===> dim is 1024; No. sample is 2199
Input feature manet_UTT ===> dim is 1024; No. sample is 2199
audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.5163 val8_wf1=0.3441 cls=2.3037 jepa=3.2567
epoch=002 train_wf1=0.4485 val8_wf1=0.2544 cls=2.5181 jepa=2.8320
epoch=003 train_wf1=0.3048 val8_wf1=0.4187 cls=2.5581 jepa=2.6483
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2769 jepa=2.4946
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2476 jepa=2.4579
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2958 jepa=2.4259
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3487 jepa=2.4161
epoch=008 train_wf1=0.3922 val8_wf1=0.6301 cls=2.2118 jepa=2.4143
epoch=009 train_wf1=0.6799 val8_wf1=0.7789 cls=1.8730 jepa=2.4047
epoch=010 train_wf1=0.7398 val8_wf1=0.7271 cls=2.0755 jepa=2.3942
epoch=011 train_wf1=0.7402 val8_wf1=0.7425 cls=1.8643 jepa=2.4176
epoch=012 train_wf1=0.7012 val8_wf1=0.7517 cls=1.7061 jepa=2.3969
epoch=013 train_wf1=0.7504 val8_wf1=0.7617 cls=1.5477 jepa=2.3922
epoch=014 train_wf1=0.7510 val8_wf1=0.7153 cls=1.5761 jepa=2.3731
epoch=015 train_wf1=0.7409 val8_wf1=0.7650 cls=1.4388 jepa=2.3762
epoch=016 train_wf1=0.7720 val8_wf1=0.7606 cls=1.4181 jepa=2.3827
epoch=017 train_wf1=0.7787 val8_wf1=0.7685 cls=1.4017 jepa=2.3745
epoch=018 train_wf1=0.7970 val8_wf1=0.7561 cls=1.2640 jepa=2.3645
epoch=019 train_wf1=0.8130 val8_wf1=0.7759 cls=1.1582 jepa=2.3666
epoch=020 train_wf1=0.8318 val8_wf1=0.7937 cls=1.0853 jepa=2.3671
epoch=021 train_wf1=0.8550 val8_wf1=0.7855 cls=1.0289 jepa=2.3578
epoch=022 train_wf1=0.8423 val8_wf1=0.7683 cls=0.9685 jepa=2.3545
epoch=023 train_wf1=0.8539 val8_wf1=0.8108 cls=0.8827 jepa=2.3610
epoch=024 train_wf1=0.8613 val8_wf1=0.8231 cls=0.8117 jepa=2.3478
epoch=025 train_wf1=0.8645 val8_wf1=0.8157 cls=0.7885 jepa=2.3395
epoch=026 train_wf1=0.8674 val8_wf1=0.8130 cls=0.7827 jepa=2.3443
epoch=027 train_wf1=0.8652 val8_wf1=0.7944 cls=0.7833 jepa=2.3256
epoch=028 train_wf1=0.8616 val8_wf1=0.7882 cls=0.7753 jepa=2.3273
epoch=029 train_wf1=0.8620 val8_wf1=0.7915 cls=0.7306 jepa=2.3254
epoch=030 train_wf1=0.8632 val8_wf1=0.8013 cls=0.7415 jepa=2.3377
epoch=031 train_wf1=0.8541 val8_wf1=0.7735 cls=0.7743 jepa=2.3304
epoch=032 train_wf1=0.8673 val8_wf1=0.8115 cls=0.7299 jepa=2.3378
epoch=033 train_wf1=0.8765 val8_wf1=0.7914 cls=0.6946 jepa=2.3245
epoch=034 train_wf1=0.8850 val8_wf1=0.8007 cls=0.6598 jepa=2.2996
epoch=035 train_wf1=0.8764 val8_wf1=0.7981 cls=0.6674 jepa=2.3081
epoch=036 train_wf1=0.8778 val8_wf1=0.8024 cls=0.6370 jepa=2.3204
epoch=037 train_wf1=0.8776 val8_wf1=0.7686 cls=0.6461 jepa=2.3019
epoch=038 train_wf1=0.8789 val8_wf1=0.7772 cls=0.6593 jepa=2.3025
epoch=039 train_wf1=0.8815 val8_wf1=0.7917 cls=0.6128 jepa=2.3128
epoch=040 train_wf1=0.8833 val8_wf1=0.8015 cls=0.6466 jepa=2.3090
epoch=041 train_wf1=0.8888 val8_wf1=0.7993 cls=0.6316 jepa=2.2807
epoch=042 train_wf1=0.8856 val8_wf1=0.8049 cls=0.6281 jepa=2.3116
epoch=043 train_wf1=0.8916 val8_wf1=0.7991 cls=0.6061 jepa=2.3024
epoch=044 train_wf1=0.8883 val8_wf1=0.8115 cls=0.6386 jepa=2.3029
epoch=045 train_wf1=0.8929 val8_wf1=0.8028 cls=0.6166 jepa=2.3057
