audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4932 val8_wf1=0.2786 cls=2.3609 jepa=3.2746
epoch=002 train_wf1=0.4684 val8_wf1=0.2699 cls=2.4785 jepa=2.7877
epoch=003 train_wf1=0.4813 val8_wf1=0.4187 cls=2.3840 jepa=2.6779
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2646 jepa=2.5711
epoch=005 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3178 jepa=2.4888
epoch=006 train_wf1=0.3922 val8_wf1=0.4187 cls=2.3036 jepa=2.4649
epoch=007 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2740 jepa=2.4180
epoch=008 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2119 jepa=2.4107
epoch=009 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2638 jepa=2.4135
epoch=010 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2623 jepa=2.4009
epoch=011 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2457 jepa=2.4007
epoch=012 train_wf1=0.3949 val8_wf1=0.3748 cls=2.2237 jepa=2.3960
epoch=013 train_wf1=0.5874 val8_wf1=0.4132 cls=2.1693 jepa=2.3812
epoch=014 train_wf1=0.4632 val8_wf1=0.4142 cls=3.1114 jepa=2.3872
epoch=015 train_wf1=0.4918 val8_wf1=0.4501 cls=2.2299 jepa=2.3962
epoch=016 train_wf1=0.6144 val8_wf1=0.3899 cls=2.4032 jepa=2.3897
epoch=017 train_wf1=0.5635 val8_wf1=0.4028 cls=2.1437 jepa=2.3632
epoch=018 train_wf1=0.5460 val8_wf1=0.4016 cls=2.0617 jepa=2.3711
epoch=019 train_wf1=0.6540 val8_wf1=0.4711 cls=2.0177 jepa=2.3642
epoch=020 train_wf1=0.5861 val8_wf1=0.5496 cls=2.0097 jepa=2.3657
epoch=021 train_wf1=0.6854 val8_wf1=0.6520 cls=1.7319 jepa=2.3744
epoch=022 train_wf1=0.7066 val8_wf1=0.6833 cls=1.6447 jepa=2.3512
epoch=023 train_wf1=0.7203 val8_wf1=0.7143 cls=1.5830 jepa=2.3633
epoch=024 train_wf1=0.7117 val8_wf1=0.6826 cls=1.5826 jepa=2.3518
epoch=025 train_wf1=0.7233 val8_wf1=0.6915 cls=1.6116 jepa=2.3637
epoch=026 train_wf1=0.7197 val8_wf1=0.7379 cls=1.5921 jepa=2.3550
epoch=027 train_wf1=0.7588 val8_wf1=0.7026 cls=1.6101 jepa=2.3376
epoch=028 train_wf1=0.7335 val8_wf1=0.7258 cls=1.4755 jepa=2.3456
