audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4963 val8_wf1=0.2808 cls=2.3694 jepa=3.2684
epoch=002 train_wf1=0.4671 val8_wf1=0.2834 cls=2.4754 jepa=2.8408
epoch=003 train_wf1=0.4806 val8_wf1=0.4187 cls=2.3798 jepa=2.7592
epoch=004 train_wf1=0.3922 val8_wf1=0.4187 cls=2.2570 jepa=2.5312
epoch=005 train_wf1=0.3922 val8_wf1=0.4315 cls=2.2944 jepa=2.5173
epoch=006 train_wf1=0.4284 val8_wf1=0.5180 cls=2.1748 jepa=2.4372
epoch=007 train_wf1=0.5985 val8_wf1=0.6079 cls=1.8132 jepa=2.4305
epoch=008 train_wf1=0.5817 val8_wf1=0.7775 cls=2.1701 jepa=2.4508
epoch=009 train_wf1=0.7402 val8_wf1=0.7186 cls=1.8566 jepa=2.4800
epoch=010 train_wf1=0.7361 val8_wf1=0.7722 cls=1.6331 jepa=2.4719
epoch=011 train_wf1=0.7558 val8_wf1=0.7676 cls=1.4938 jepa=2.4386
epoch=012 train_wf1=0.7619 val8_wf1=0.7744 cls=1.4382 jepa=2.3957
epoch=013 train_wf1=0.7748 val8_wf1=0.7606 cls=1.3758 jepa=2.3898
epoch=014 train_wf1=0.7857 val8_wf1=0.7686 cls=1.2582 jepa=2.3990
epoch=015 train_wf1=0.8000 val8_wf1=0.7546 cls=1.3368 jepa=2.3905
epoch=016 train_wf1=0.8140 val8_wf1=0.7806 cls=1.1355 jepa=2.3806
epoch=017 train_wf1=0.8361 val8_wf1=0.7916 cls=1.0300 jepa=2.3538
epoch=018 train_wf1=0.8600 val8_wf1=0.8031 cls=0.9296 jepa=2.3643
epoch=019 train_wf1=0.8678 val8_wf1=0.8072 cls=0.8397 jepa=2.3563
epoch=020 train_wf1=0.8577 val8_wf1=0.8248 cls=0.8463 jepa=2.3570
epoch=021 train_wf1=0.8533 val8_wf1=0.8175 cls=0.8167 jepa=2.3636
epoch=022 train_wf1=0.8538 val8_wf1=0.8081 cls=0.7759 jepa=2.3430
epoch=023 train_wf1=0.8575 val8_wf1=0.8073 cls=0.7335 jepa=2.3578
epoch=024 train_wf1=0.8635 val8_wf1=0.7833 cls=0.7320 jepa=2.3405
epoch=025 train_wf1=0.8555 val8_wf1=0.8025 cls=0.7270 jepa=2.3433
epoch=026 train_wf1=0.8671 val8_wf1=0.8172 cls=0.7426 jepa=2.3377
epoch=027 train_wf1=0.8701 val8_wf1=0.7912 cls=0.7236 jepa=2.3203
epoch=028 train_wf1=0.8688 val8_wf1=0.7886 cls=0.7014 jepa=2.3242
epoch=029 train_wf1=0.8788 val8_wf1=0.8040 cls=0.6858 jepa=2.3262
epoch=030 train_wf1=0.8785 val8_wf1=0.7875 cls=0.6875 jepa=2.3192
epoch=031 train_wf1=0.8778 val8_wf1=0.7979 cls=0.7202 jepa=2.2996
epoch=032 train_wf1=0.8720 val8_wf1=0.8028 cls=0.6839 jepa=2.2822
epoch=033 train_wf1=0.8789 val8_wf1=0.8091 cls=0.6636 jepa=2.2826
epoch=034 train_wf1=0.8829 val8_wf1=0.7990 cls=0.6642 jepa=2.2810
epoch=035 train_wf1=0.8770 val8_wf1=0.8009 cls=0.6415 jepa=2.2826
epoch=036 train_wf1=0.8803 val8_wf1=0.8093 cls=0.6674 jepa=2.2517
epoch=037 train_wf1=0.8799 val8_wf1=0.8017 cls=0.6377 jepa=2.2652
epoch=038 train_wf1=0.8874 val8_wf1=0.7997 cls=0.6172 jepa=2.2683
epoch=039 train_wf1=0.8836 val8_wf1=0.8055 cls=0.6215 jepa=2.2398
epoch=040 train_wf1=0.8969 val8_wf1=0.8074 cls=0.5836 jepa=2.2283
epoch=041 train_wf1=0.8900 val8_wf1=0.8051 cls=0.5916 jepa=2.2411
epoch=042 train_wf1=0.8922 val8_wf1=0.8115 cls=0.5882 jepa=2.2318
epoch=043 train_wf1=0.8931 val8_wf1=0.8023 cls=0.5864 jepa=2.2131
epoch=044 train_wf1=0.8898 val8_wf1=0.8053 cls=0.5811 jepa=2.2124
epoch=045 train_wf1=0.8943 val8_wf1=0.7996 cls=0.5551 jepa=2.2036
epoch=046 train_wf1=0.8945 val8_wf1=0.7847 cls=0.5619 jepa=2.1752
epoch=047 train_wf1=0.8947 val8_wf1=0.7834 cls=0.5453 jepa=2.1722
epoch=048 train_wf1=0.8998 val8_wf1=0.7943 cls=0.5343 jepa=2.1363
epoch=049 train_wf1=0.8991 val8_wf1=0.8033 cls=0.5448 jepa=2.1500
epoch=050 train_wf1=0.9022 val8_wf1=0.7940 cls=0.5121 jepa=2.1099
epoch=051 train_wf1=0.9038 val8_wf1=0.7922 cls=0.5237 jepa=2.1268
epoch=052 train_wf1=0.9086 val8_wf1=0.7976 cls=0.4945 jepa=2.1130
epoch=053 train_wf1=0.9059 val8_wf1=0.7978 cls=0.5078 jepa=2.0983
epoch=054 train_wf1=0.9032 val8_wf1=0.7813 cls=0.4994 jepa=2.0978
epoch=055 train_wf1=0.9002 val8_wf1=0.8067 cls=0.5449 jepa=2.0796
epoch=056 train_wf1=0.9103 val8_wf1=0.8029 cls=0.4880 jepa=2.0508
epoch=057 train_wf1=0.9168 val8_wf1=0.7937 cls=0.4526 jepa=2.0515
epoch=058 train_wf1=0.9091 val8_wf1=0.7876 cls=0.4747 jepa=2.0516
epoch=059 train_wf1=0.9136 val8_wf1=0.7814 cls=0.4650 jepa=2.0131
epoch=060 train_wf1=0.9008 val8_wf1=0.7813 cls=0.4922 jepa=2.0503
epoch=061 train_wf1=0.9091 val8_wf1=0.8002 cls=0.4524 jepa=2.0214
epoch=062 train_wf1=0.9194 val8_wf1=0.7868 cls=0.4329 jepa=2.0069
epoch=063 train_wf1=0.9197 val8_wf1=0.7943 cls=0.4166 jepa=1.9792
epoch=064 train_wf1=0.9217 val8_wf1=0.7686 cls=0.4184 jepa=1.9855
epoch=065 train_wf1=0.9177 val8_wf1=0.7792 cls=0.4252 jepa=1.9821
epoch=066 train_wf1=0.9096 val8_wf1=0.7830 cls=0.4600 jepa=1.9615
epoch=067 train_wf1=0.9171 val8_wf1=0.7978 cls=0.4195 jepa=1.9475
epoch=068 train_wf1=0.9239 val8_wf1=0.7961 cls=0.4074 jepa=1.9568
epoch=069 train_wf1=0.9294 val8_wf1=0.7907 cls=0.3725 jepa=1.9371
epoch=070 train_wf1=0.9299 val8_wf1=0.7931 cls=0.3783 jepa=1.9174
epoch=071 train_wf1=0.9294 val8_wf1=0.7985 cls=0.3544 jepa=1.9223
epoch=072 train_wf1=0.9272 val8_wf1=0.7838 cls=0.3519 jepa=1.9109
epoch=073 train_wf1=0.9229 val8_wf1=0.7870 cls=0.3717 jepa=1.8862
epoch=074 train_wf1=0.9049 val8_wf1=0.7952 cls=0.4286 jepa=1.9097
epoch=075 train_wf1=0.9271 val8_wf1=0.7753 cls=0.3702 jepa=1.8911
epoch=076 train_wf1=0.9148 val8_wf1=0.7846 cls=0.3787 jepa=1.8834
epoch=077 train_wf1=0.9142 val8_wf1=0.7936 cls=0.3814 jepa=1.8828
epoch=078 train_wf1=0.9385 val8_wf1=0.8080 cls=0.3628 jepa=1.8728
epoch=079 train_wf1=0.9422 val8_wf1=0.8000 cls=0.3350 jepa=1.8402
epoch=080 train_wf1=0.9329 val8_wf1=0.7930 cls=0.3555 jepa=1.8269
epoch=081 train_wf1=0.9306 val8_wf1=0.8032 cls=0.3482 jepa=1.8501
epoch=082 train_wf1=0.9294 val8_wf1=0.8007 cls=0.3536 jepa=1.8570
epoch=083 train_wf1=0.9306 val8_wf1=0.8040 cls=0.3338 jepa=1.8402
epoch=084 train_wf1=0.9405 val8_wf1=0.8047 cls=0.3154 jepa=1.8296
epoch=085 train_wf1=0.9343 val8_wf1=0.8110 cls=0.3258 jepa=1.7985
epoch=086 train_wf1=0.9427 val8_wf1=0.8061 cls=0.3072 jepa=1.7844
epoch=087 train_wf1=0.9490 val8_wf1=0.7895 cls=0.2814 jepa=1.7832
epoch=088 train_wf1=0.9388 val8_wf1=0.8014 cls=0.2972 jepa=1.7896
epoch=089 train_wf1=0.9382 val8_wf1=0.8097 cls=0.2959 jepa=1.7854
epoch=090 train_wf1=0.9442 val8_wf1=0.8023 cls=0.2777 jepa=1.7893
epoch=091 train_wf1=0.9473 val8_wf1=0.7828 cls=0.2598 jepa=1.7692
epoch=092 train_wf1=0.9457 val8_wf1=0.7889 cls=0.2658 jepa=1.7606
epoch=093 train_wf1=0.9507 val8_wf1=0.7979 cls=0.2608 jepa=1.7483
epoch=094 train_wf1=0.9450 val8_wf1=0.7998 cls=0.2588 jepa=1.7163
epoch=095 train_wf1=0.9464 val8_wf1=0.7856 cls=0.2379 jepa=1.7344
epoch=096 train_wf1=0.9471 val8_wf1=0.8057 cls=0.2473 jepa=1.7061
epoch=097 train_wf1=0.9547 val8_wf1=0.8044 cls=0.2232 jepa=1.6880
epoch=098 train_wf1=0.9516 val8_wf1=0.8035 cls=0.2274 jepa=1.6593
epoch=099 train_wf1=0.9563 val8_wf1=0.8019 cls=0.2119 jepa=1.6799
epoch=100 train_wf1=0.9566 val8_wf1=0.7919 cls=0.2127 jepa=1.6645
