audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4975 validation_wf1=0.2544 cls=2.3491 jepa=3.7245
epoch=002 train_wf1=0.4631 validation_wf1=0.3818 cls=2.4775 jepa=3.1034
epoch=003 train_wf1=0.4859 validation_wf1=0.4187 cls=2.3608 jepa=3.0580
epoch=004 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2630 jepa=2.9284
epoch=005 train_wf1=0.3922 validation_wf1=0.4187 cls=2.3156 jepa=2.8764
epoch=006 train_wf1=0.3922 validation_wf1=0.4187 cls=2.3053 jepa=2.8717
epoch=007 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2643 jepa=2.7727
epoch=008 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2007 jepa=2.8041
epoch=009 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2498 jepa=2.6925
epoch=010 train_wf1=0.3922 validation_wf1=0.3882 cls=2.1766 jepa=2.7655
epoch=011 train_wf1=0.5443 validation_wf1=0.4161 cls=2.2185 jepa=2.7511
epoch=012 train_wf1=0.5970 validation_wf1=0.3848 cls=2.1674 jepa=2.7844
epoch=013 train_wf1=0.5258 validation_wf1=0.4371 cls=2.0829 jepa=2.7025
epoch=014 train_wf1=0.6337 validation_wf1=0.3937 cls=2.0042 jepa=2.7815
epoch=015 train_wf1=0.6040 validation_wf1=0.4399 cls=1.9666 jepa=2.7494
epoch=016 train_wf1=0.6375 validation_wf1=0.4907 cls=1.9899 jepa=2.7370
epoch=017 train_wf1=0.6567 validation_wf1=0.5137 cls=1.7867 jepa=2.6794
epoch=018 train_wf1=0.6797 validation_wf1=0.4728 cls=1.8429 jepa=2.7774
epoch=019 train_wf1=0.6487 validation_wf1=0.5819 cls=1.7702 jepa=2.7154
epoch=020 train_wf1=0.6968 validation_wf1=0.5059 cls=1.6718 jepa=2.7383
epoch=021 train_wf1=0.6685 validation_wf1=0.6305 cls=1.9840 jepa=2.6956
epoch=022 train_wf1=0.7202 validation_wf1=0.6555 cls=1.5690 jepa=2.7333
epoch=023 train_wf1=0.7288 validation_wf1=0.6792 cls=1.4652 jepa=2.6843
epoch=024 train_wf1=0.7436 validation_wf1=0.7196 cls=1.4273 jepa=2.7465
epoch=025 train_wf1=0.7625 validation_wf1=0.7241 cls=1.4442 jepa=2.6886
epoch=026 train_wf1=0.7630 validation_wf1=0.6997 cls=1.4197 jepa=2.7425
epoch=027 train_wf1=0.7718 validation_wf1=0.7127 cls=1.3847 jepa=2.6643
