audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.4975 validation_wf1=0.2544 cls=2.3491 jepa=3.7404
epoch=002 train_wf1=0.4631 validation_wf1=0.3793 cls=2.4773 jepa=3.0997
epoch=003 train_wf1=0.4867 validation_wf1=0.4187 cls=2.3609 jepa=3.0590
epoch=004 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2629 jepa=2.9187
epoch=005 train_wf1=0.3922 validation_wf1=0.4187 cls=2.3160 jepa=2.8639
epoch=006 train_wf1=0.3922 validation_wf1=0.4187 cls=2.3051 jepa=2.8661
epoch=007 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2639 jepa=2.7664
epoch=008 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2009 jepa=2.7983
epoch=009 train_wf1=0.3922 validation_wf1=0.4187 cls=2.2509 jepa=2.6897
epoch=010 train_wf1=0.3922 validation_wf1=0.3879 cls=2.1773 jepa=2.7628
epoch=011 train_wf1=0.5400 validation_wf1=0.4095 cls=2.2141 jepa=2.7493
epoch=012 train_wf1=0.5848 validation_wf1=0.3816 cls=2.1582 jepa=2.7841
epoch=013 train_wf1=0.5661 validation_wf1=0.3816 cls=2.1007 jepa=2.6988
epoch=014 train_wf1=0.6087 validation_wf1=0.4300 cls=1.8905 jepa=2.7815
epoch=015 train_wf1=0.5975 validation_wf1=0.5131 cls=2.3532 jepa=2.7491
epoch=016 train_wf1=0.6333 validation_wf1=0.5221 cls=1.8863 jepa=2.7344
epoch=017 train_wf1=0.6671 validation_wf1=0.4511 cls=1.8347 jepa=2.6784
epoch=018 train_wf1=0.6172 validation_wf1=0.5734 cls=1.8716 jepa=2.7762
epoch=019 train_wf1=0.6792 validation_wf1=0.5554 cls=1.7535 jepa=2.7149
epoch=020 train_wf1=0.7028 validation_wf1=0.5438 cls=1.7171 jepa=2.7380
epoch=021 train_wf1=0.7064 validation_wf1=0.5533 cls=1.6777 jepa=2.6977
epoch=022 train_wf1=0.6901 validation_wf1=0.6416 cls=1.6821 jepa=2.7333
epoch=023 train_wf1=0.7426 validation_wf1=0.6576 cls=1.5689 jepa=2.6851
epoch=024 train_wf1=0.7309 validation_wf1=0.7073 cls=1.6084 jepa=2.7462
epoch=025 train_wf1=0.7503 validation_wf1=0.7173 cls=1.4332 jepa=2.6898
epoch=026 train_wf1=0.7434 validation_wf1=0.7166 cls=1.4862 jepa=2.7468
epoch=027 train_wf1=0.7568 validation_wf1=0.7224 cls=1.4400 jepa=2.6680
epoch=028 train_wf1=0.7604 validation_wf1=0.7172 cls=1.3937 jepa=2.7249
epoch=029 train_wf1=0.7669 validation_wf1=0.7160 cls=1.3217 jepa=2.6751
epoch=030 train_wf1=0.7730 validation_wf1=0.7181 cls=1.2965 jepa=2.6837
epoch=031 train_wf1=0.7724 validation_wf1=0.7319 cls=1.2540 jepa=2.6076
epoch=032 train_wf1=0.7956 validation_wf1=0.7304 cls=1.2017 jepa=2.6832
epoch=033 train_wf1=0.8271 validation_wf1=0.7415 cls=1.0786 jepa=2.6659
epoch=034 train_wf1=0.8056 validation_wf1=0.7592 cls=1.1162 jepa=2.6871
epoch=035 train_wf1=0.8133 validation_wf1=0.7746 cls=1.0510 jepa=2.6402
epoch=036 train_wf1=0.8222 validation_wf1=0.7373 cls=1.0123 jepa=2.6658
epoch=037 train_wf1=0.7942 validation_wf1=0.7591 cls=1.0948 jepa=2.6174
epoch=038 train_wf1=0.7961 validation_wf1=0.7399 cls=1.1735 jepa=2.6955
epoch=039 train_wf1=0.8081 validation_wf1=0.7493 cls=1.0558 jepa=2.6430
epoch=040 train_wf1=0.7855 validation_wf1=0.7509 cls=1.0878 jepa=2.6459
epoch=041 train_wf1=0.8075 validation_wf1=0.7673 cls=1.1087 jepa=2.6649
epoch=042 train_wf1=0.8176 validation_wf1=0.7537 cls=1.0265 jepa=2.6897
epoch=043 train_wf1=0.8183 validation_wf1=0.7679 cls=1.0007 jepa=2.6132
epoch=044 train_wf1=0.8371 validation_wf1=0.7676 cls=1.0053 jepa=2.6710
epoch=045 train_wf1=0.8214 validation_wf1=0.7621 cls=0.9067 jepa=2.6087
epoch=046 train_wf1=0.8426 validation_wf1=0.7603 cls=0.9489 jepa=2.6799
epoch=047 train_wf1=0.8290 validation_wf1=0.7686 cls=0.9189 jepa=2.6227
epoch=048 train_wf1=0.8521 validation_wf1=0.7530 cls=0.8692 jepa=2.6114
epoch=049 train_wf1=0.8256 validation_wf1=0.7597 cls=0.9439 jepa=2.5988
epoch=050 train_wf1=0.8280 validation_wf1=0.7741 cls=0.9707 jepa=2.6515
epoch=051 train_wf1=0.8434 validation_wf1=0.7590 cls=0.8450 jepa=2.6102
epoch=052 train_wf1=0.8233 validation_wf1=0.7772 cls=0.9545 jepa=2.6631
epoch=053 train_wf1=0.8492 validation_wf1=0.7656 cls=0.8668 jepa=2.5639
epoch=054 train_wf1=0.8405 validation_wf1=0.7557 cls=0.8966 jepa=2.6271
epoch=055 train_wf1=0.8464 validation_wf1=0.7598 cls=0.8702 jepa=2.5959
epoch=056 train_wf1=0.8460 validation_wf1=0.7629 cls=0.8065 jepa=2.5634
epoch=057 train_wf1=0.8636 validation_wf1=0.7503 cls=0.7637 jepa=2.5542
epoch=058 train_wf1=0.8312 validation_wf1=0.7672 cls=0.9049 jepa=2.6463
epoch=059 train_wf1=0.8525 validation_wf1=0.7639 cls=0.7485 jepa=2.5085
epoch=060 train_wf1=0.8541 validation_wf1=0.7486 cls=0.8457 jepa=2.6028
epoch=061 train_wf1=0.8586 validation_wf1=0.7670 cls=0.7637 jepa=2.4976
epoch=062 train_wf1=0.8768 validation_wf1=0.7728 cls=0.7424 jepa=2.5849
