audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1812 validation_wf1=0.0906 task=1.8154 recon=3.5000
epoch=002 train_wf1=0.1258 validation_wf1=0.1080 task=1.7797 recon=3.4506
epoch=003 train_wf1=0.1916 validation_wf1=0.2553 task=1.7136 recon=3.4628
epoch=004 train_wf1=0.1662 validation_wf1=0.2376 task=1.6866 recon=3.4970
epoch=005 train_wf1=0.2650 validation_wf1=0.2759 task=1.5874 recon=3.4824
epoch=006 train_wf1=0.3025 validation_wf1=0.3691 task=1.4919 recon=3.5387
epoch=007 train_wf1=0.3735 validation_wf1=0.3558 task=1.4205 recon=3.4598
epoch=008 train_wf1=0.3788 validation_wf1=0.4188 task=1.3074 recon=3.5173
epoch=009 train_wf1=0.4403 validation_wf1=0.4715 task=1.2552 recon=3.4909
epoch=010 train_wf1=0.4315 validation_wf1=0.4287 task=1.2807 recon=3.5094
epoch=011 train_wf1=0.4236 validation_wf1=0.4249 task=1.2947 recon=3.4739
epoch=012 train_wf1=0.3648 validation_wf1=0.4174 task=1.2514 recon=3.4918
epoch=013 train_wf1=0.4280 validation_wf1=0.4941 task=1.2169 recon=3.4748
epoch=014 train_wf1=0.4561 validation_wf1=0.4814 task=1.2053 recon=3.4651
epoch=015 train_wf1=0.4753 validation_wf1=0.4911 task=1.1205 recon=3.4620
epoch=016 train_wf1=0.5202 validation_wf1=0.5284 task=1.1029 recon=3.4577
epoch=017 train_wf1=0.4945 validation_wf1=0.4978 task=1.1272 recon=3.4818
epoch=018 train_wf1=0.5074 validation_wf1=0.4931 task=1.1188 recon=3.4740
epoch=019 train_wf1=0.5225 validation_wf1=0.5383 task=1.0914 recon=3.4833
epoch=020 train_wf1=0.5235 validation_wf1=0.4167 task=1.0874 recon=3.4494
epoch=021 train_wf1=0.4809 validation_wf1=0.5497 task=1.1004 recon=3.4826
epoch=022 train_wf1=0.5192 validation_wf1=0.5243 task=1.0517 recon=3.5348
epoch=023 train_wf1=0.5289 validation_wf1=0.5299 task=1.0179 recon=3.4757
epoch=024 train_wf1=0.5659 validation_wf1=0.5376 task=1.0200 recon=3.5136
epoch=025 train_wf1=0.5257 validation_wf1=0.5889 task=1.0709 recon=3.4416
epoch=026 train_wf1=0.5427 validation_wf1=0.5665 task=1.0345 recon=3.4639
epoch=027 train_wf1=0.5534 validation_wf1=0.5928 task=0.9985 recon=3.4625
epoch=028 train_wf1=0.5520 validation_wf1=0.5611 task=1.0107 recon=3.4644
epoch=029 train_wf1=0.5625 validation_wf1=0.5850 task=0.9814 recon=3.4781
epoch=030 train_wf1=0.5597 validation_wf1=0.5842 task=0.9973 recon=3.4975
epoch=031 train_wf1=0.5816 validation_wf1=0.5777 task=0.9658 recon=3.5055
epoch=032 train_wf1=0.5899 validation_wf1=0.5841 task=0.9348 recon=3.4540
epoch=033 train_wf1=0.5969 validation_wf1=0.5814 task=0.9217 recon=3.4554
epoch=034 train_wf1=0.5888 validation_wf1=0.5608 task=0.9360 recon=3.5174
epoch=035 train_wf1=0.6020 validation_wf1=0.5449 task=0.9452 recon=3.5071
epoch=036 train_wf1=0.5917 validation_wf1=0.5560 task=0.9461 recon=3.4903
epoch=037 train_wf1=0.6075 validation_wf1=0.5553 task=0.9186 recon=3.4284
epoch=038 train_wf1=0.5983 validation_wf1=0.6034 task=0.9034 recon=3.4530
epoch=039 train_wf1=0.6243 validation_wf1=0.5371 task=0.8815 recon=3.4710
epoch=040 train_wf1=0.6130 validation_wf1=0.5942 task=0.9007 recon=3.5295
epoch=041 train_wf1=0.6188 validation_wf1=0.5207 task=0.8975 recon=3.4868
epoch=042 train_wf1=0.6041 validation_wf1=0.5929 task=0.9068 recon=3.4583
epoch=043 train_wf1=0.6142 validation_wf1=0.5364 task=0.8945 recon=3.4970
epoch=044 train_wf1=0.6220 validation_wf1=0.6032 task=0.8916 recon=3.4853
epoch=045 train_wf1=0.6303 validation_wf1=0.5716 task=0.8776 recon=3.5130
epoch=046 train_wf1=0.6159 validation_wf1=0.6010 task=0.8776 recon=3.4816
epoch=047 train_wf1=0.6222 validation_wf1=0.5550 task=0.8598 recon=3.4557
epoch=048 train_wf1=0.6108 validation_wf1=0.5923 task=0.8926 recon=3.4616
epoch=049 train_wf1=0.6275 validation_wf1=0.5915 task=0.8455 recon=3.4892
epoch=050 train_wf1=0.6223 validation_wf1=0.5540 task=0.9160 recon=3.5007
epoch=051 train_wf1=0.6027 validation_wf1=0.5781 task=0.9363 recon=3.4654
epoch=052 train_wf1=0.6361 validation_wf1=0.5520 task=0.8460 recon=3.5331
epoch=053 train_wf1=0.6425 validation_wf1=0.5784 task=0.8597 recon=3.4572
epoch=054 train_wf1=0.6046 validation_wf1=0.5979 task=0.9000 recon=3.4827
epoch=055 train_wf1=0.5997 validation_wf1=0.5803 task=0.8903 recon=3.4517
epoch=056 train_wf1=0.6388 validation_wf1=0.5451 task=0.8300 recon=3.4650
epoch=057 train_wf1=0.6227 validation_wf1=0.5633 task=0.8755 recon=3.4560
epoch=058 train_wf1=0.6272 validation_wf1=0.5870 task=0.8488 recon=3.4991
epoch=059 train_wf1=0.6523 validation_wf1=0.4937 task=0.8087 recon=3.5086
epoch=060 train_wf1=0.6458 validation_wf1=0.6027 task=0.8285 recon=3.4813
epoch=061 train_wf1=0.6652 validation_wf1=0.5733 task=0.7839 recon=3.4852
epoch=062 train_wf1=0.6520 validation_wf1=0.5920 task=0.7798 recon=3.4698
epoch=063 train_wf1=0.6625 validation_wf1=0.5639 task=0.7768 recon=3.4760
epoch=064 train_wf1=0.6782 validation_wf1=0.5912 task=0.7752 recon=3.4973
epoch=065 train_wf1=0.6601 validation_wf1=0.5999 task=0.7945 recon=3.4935
epoch=066 train_wf1=0.6835 validation_wf1=0.5562 task=0.7668 recon=3.5030
epoch=067 train_wf1=0.6758 validation_wf1=0.6057 task=0.7570 recon=3.5111
epoch=068 train_wf1=0.6937 validation_wf1=0.5871 task=0.7389 recon=3.4989
epoch=069 train_wf1=0.6912 validation_wf1=0.6062 task=0.7225 recon=3.4619
epoch=070 train_wf1=0.7020 validation_wf1=0.5836 task=0.7040 recon=3.5044
epoch=071 train_wf1=0.6873 validation_wf1=0.5978 task=0.7272 recon=3.5069
epoch=072 train_wf1=0.7110 validation_wf1=0.6193 task=0.6904 recon=3.4654
epoch=073 train_wf1=0.7245 validation_wf1=0.6200 task=0.6660 recon=3.5118
epoch=074 train_wf1=0.7299 validation_wf1=0.5762 task=0.6460 recon=3.5406
epoch=075 train_wf1=0.7135 validation_wf1=0.5944 task=0.6822 recon=3.4459
epoch=076 train_wf1=0.7175 validation_wf1=0.5861 task=0.7066 recon=3.4803
epoch=077 train_wf1=0.7205 validation_wf1=0.5984 task=0.6845 recon=3.4650
epoch=078 train_wf1=0.7186 validation_wf1=0.5870 task=0.6874 recon=3.5293
epoch=079 train_wf1=0.7453 validation_wf1=0.6098 task=0.6370 recon=3.4645
epoch=080 train_wf1=0.7387 validation_wf1=0.5889 task=0.6455 recon=3.4659
epoch=081 train_wf1=0.7343 validation_wf1=0.6275 task=0.6497 recon=3.5050
epoch=082 train_wf1=0.7388 validation_wf1=0.5868 task=0.6331 recon=3.4847
