audio dimension: 512; text dimension: 1024; video dimension: 1024
epoch=001 train_wf1=0.1974 validation_wf1=0.0573 task=1.9254 recon=3.3090
epoch=002 train_wf1=0.1385 validation_wf1=0.0339 task=1.8180 recon=2.8289
epoch=003 train_wf1=0.1122 validation_wf1=0.0893 task=1.7961 recon=2.3657
epoch=004 train_wf1=0.1122 validation_wf1=0.1041 task=1.7801 recon=2.1529
epoch=005 train_wf1=0.1572 validation_wf1=0.1478 task=1.7273 recon=1.8831
epoch=006 train_wf1=0.1983 validation_wf1=0.2676 task=1.6558 recon=1.6262
epoch=007 train_wf1=0.2224 validation_wf1=0.1771 task=1.5624 recon=1.2475
epoch=008 train_wf1=0.1633 validation_wf1=0.2194 task=1.7006 recon=1.1875
epoch=009 train_wf1=0.2514 validation_wf1=0.2511 task=1.5352 recon=1.0832
epoch=010 train_wf1=0.2478 validation_wf1=0.2966 task=1.5525 recon=1.0285
epoch=011 train_wf1=0.2634 validation_wf1=0.3174 task=1.5499 recon=0.9515
epoch=012 train_wf1=0.2411 validation_wf1=0.3344 task=1.5502 recon=0.9368
epoch=013 train_wf1=0.2629 validation_wf1=0.2982 task=1.4839 recon=0.8953
epoch=014 train_wf1=0.2688 validation_wf1=0.3202 task=1.4430 recon=0.8827
epoch=015 train_wf1=0.2751 validation_wf1=0.2823 task=1.4834 recon=0.8616
epoch=016 train_wf1=0.2422 validation_wf1=0.3144 task=1.5852 recon=0.8695
epoch=017 train_wf1=0.2244 validation_wf1=0.2231 task=1.5732 recon=0.8741
epoch=018 train_wf1=0.2373 validation_wf1=0.2963 task=1.5748 recon=0.8663
epoch=019 train_wf1=0.2387 validation_wf1=0.3050 task=1.4897 recon=0.8857
epoch=020 train_wf1=0.2955 validation_wf1=0.2725 task=1.5100 recon=0.8565
epoch=021 train_wf1=0.2527 validation_wf1=0.2132 task=1.4834 recon=0.8762
epoch=022 train_wf1=0.2225 validation_wf1=0.2735 task=1.4656 recon=0.9010
epoch=023 train_wf1=0.2550 validation_wf1=0.3566 task=1.4417 recon=0.8639
epoch=024 train_wf1=0.3030 validation_wf1=0.2933 task=1.4249 recon=0.8804
epoch=025 train_wf1=0.2588 validation_wf1=0.3108 task=1.4275 recon=0.8284
epoch=026 train_wf1=0.3245 validation_wf1=0.2569 task=1.4089 recon=0.8398
epoch=027 train_wf1=0.2680 validation_wf1=0.3755 task=1.4332 recon=0.8484
epoch=028 train_wf1=0.3219 validation_wf1=0.3436 task=1.3872 recon=0.8464
epoch=029 train_wf1=0.2918 validation_wf1=0.2906 task=1.3442 recon=0.8640
epoch=030 train_wf1=0.3279 validation_wf1=0.4043 task=1.3552 recon=0.8709
epoch=031 train_wf1=0.3270 validation_wf1=0.3623 task=1.3182 recon=0.8829
epoch=032 train_wf1=0.3742 validation_wf1=0.4022 task=1.2780 recon=0.8347
epoch=033 train_wf1=0.3819 validation_wf1=0.3335 task=1.2746 recon=0.8478
epoch=034 train_wf1=0.3113 validation_wf1=0.3234 task=1.3827 recon=0.8992
epoch=035 train_wf1=0.3155 validation_wf1=0.3693 task=1.3425 recon=0.8765
epoch=036 train_wf1=0.4041 validation_wf1=0.4044 task=1.2456 recon=0.8636
epoch=037 train_wf1=0.3911 validation_wf1=0.4171 task=1.2682 recon=0.8433
epoch=038 train_wf1=0.4182 validation_wf1=0.4121 task=1.2695 recon=0.8675
epoch=039 train_wf1=0.4112 validation_wf1=0.3460 task=1.2834 recon=0.8585
epoch=040 train_wf1=0.4157 validation_wf1=0.4379 task=1.2384 recon=0.9023
epoch=041 train_wf1=0.4759 validation_wf1=0.5119 task=1.1681 recon=0.8682
epoch=042 train_wf1=0.4499 validation_wf1=0.4580 task=1.1775 recon=0.8523
epoch=043 train_wf1=0.5118 validation_wf1=0.4871 task=1.1409 recon=0.8827
epoch=044 train_wf1=0.4310 validation_wf1=0.4972 task=1.2271 recon=0.8769
epoch=045 train_wf1=0.5219 validation_wf1=0.4798 task=1.1217 recon=0.8733
epoch=046 train_wf1=0.4651 validation_wf1=0.4969 task=1.1602 recon=0.8711
epoch=047 train_wf1=0.4794 validation_wf1=0.4757 task=1.1495 recon=0.8321
epoch=048 train_wf1=0.4625 validation_wf1=0.5249 task=1.1287 recon=0.8323
epoch=049 train_wf1=0.5011 validation_wf1=0.5669 task=1.1009 recon=0.8514
epoch=050 train_wf1=0.5268 validation_wf1=0.5695 task=1.0704 recon=0.8625
epoch=051 train_wf1=0.5382 validation_wf1=0.5711 task=1.0484 recon=0.8402
epoch=052 train_wf1=0.5437 validation_wf1=0.5559 task=1.0304 recon=0.8838
epoch=053 train_wf1=0.5393 validation_wf1=0.4574 task=1.0758 recon=0.8336
epoch=054 train_wf1=0.5512 validation_wf1=0.5294 task=1.0183 recon=0.8541
epoch=055 train_wf1=0.5338 validation_wf1=0.5265 task=1.0528 recon=0.8288
epoch=056 train_wf1=0.5276 validation_wf1=0.4520 task=1.0679 recon=0.8500
epoch=057 train_wf1=0.5106 validation_wf1=0.5871 task=1.0996 recon=0.8319
epoch=058 train_wf1=0.5463 validation_wf1=0.5497 task=1.0663 recon=0.8695
epoch=059 train_wf1=0.5435 validation_wf1=0.5083 task=1.0023 recon=0.8668
epoch=060 train_wf1=0.5487 validation_wf1=0.5976 task=1.0214 recon=0.8518
epoch=061 train_wf1=0.5273 validation_wf1=0.5570 task=1.0468 recon=0.8618
epoch=062 train_wf1=0.5349 validation_wf1=0.5830 task=0.9971 recon=0.8406
