model,seed,rate,selected_epoch,weighted_f1,macro_f1,accuracy,mae,correlation
p0,66,0.0,30,0.8751164636870977,0.8721466396661057,0.875,0.9241436123847961,0.7812483604178156
p0,66,0.1,30,0.8628048780487805,0.8594058085594811,0.8628048780487805,0.9399734139442444,0.7413187939566587
p0,66,0.2,51,0.8191162971876397,0.8119860847564832,0.823170731707317,0.877258837223053,0.7185866458862886
p0,66,0.3,30,0.8041429817076766,0.8003091263052327,0.8033536585365854,1.0161067247390747,0.6553183823838424
p0,66,0.4,47,0.7939383606605204,0.7915669856459331,0.7926829268292683,0.9714673161506653,0.6665641021861963
p0,66,0.5,48,0.7709875569396195,0.7649711468643712,0.7713414634146342,0.9713833928108215,0.6483736762445459
p0,66,0.6,30,0.7454147694902017,0.7417419669303738,0.7439024390243902,1.0816144943237305,0.5837583482998944
p0,66,0.7,29,0.7482835686041683,0.7440367058735039,0.7469512195121951,1.1255120038986206,0.5725884266990824
b2,66,0.0,29,0.8704579785185191,0.867280754995418,0.8704268292682927,0.8042924404144287,0.797509176438695
b2,66,0.1,17,0.8597560975609756,0.8562814931941362,0.8597560975609756,0.8176792860031128,0.7569619737043318
b2,66,0.2,16,0.8319056177736404,0.8262640104770304,0.8338414634146342,0.8745335936546326,0.7121344281020763
b2,66,0.3,15,0.8174720895576233,0.8134031175332803,0.8170731707317073,0.9540177583694458,0.660941222492382
b2,66,0.4,47,0.812632420607084,0.8081301199662336,0.8125,0.9327141642570496,0.6760368901806239
b2,66,0.5,29,0.7606317623326609,0.7533834586466166,0.7621951219512195,1.0454429388046265,0.6149343014606133
b2,66,0.6,17,0.7485317196691796,0.7410434899819955,0.75,1.0257577896118164,0.5978949262585296
b2,66,0.7,17,0.7515984060146773,0.7442014962017272,0.7530487804878049,1.0355356931686401,0.5824668229003647
p0,67,0.0,41,0.8757562492925215,0.872025278957243,0.8765243902439024,0.7784489393234253,0.7791554052004406
p0,67,0.1,41,0.8592963916652153,0.8553888915512531,0.8597560975609756,0.8358336687088013,0.7414834656398465
p0,67,0.2,41,0.8385651847662483,0.8347261439586245,0.8384146341463414,0.8552155494689941,0.7305976874175512
p0,67,0.3,54,0.8047724935213554,0.798614921621001,0.8064024390243902,0.9486525058746338,0.6863807907532283
p0,67,0.4,41,0.766343024033531,0.7601462522851921,0.7667682926829268,1.0190390348434448,0.6123954795604827
