variant,seed,rate,epoch,weighted_f1,mask_sha256
full,66,0.0,30,0.8751164636870977,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
full,66,0.1,30,0.8628048780487805,eb2795dc2edf8b07135ed297a0d25e9c7cb42530214cbed97f650c76fbd48509
full,66,0.2,51,0.8191162971876397,992cda7724b267e584f66b16f96a79efafaaf360f4d9a4abd72130824315403c
full,66,0.3,30,0.8041429817076766,2479f1c5c543be6d83a1a43fe04247c688b58cb1ca94ca709199dfff0a868f43
full,66,0.4,47,0.7939383606605204,68171473b0f9f645f95ac216dab871fe910e54b4f8c9a01be15d21db34795b76
full,66,0.5,48,0.7709875569396195,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
full,66,0.6,30,0.7454147694902017,6b52889567e922a3d693c4a6cc057ff1ceb96acaef17527989a70e21abfe1fe7
full,66,0.7,29,0.7482835686041683,f1208aad19deff6a211236caa7b64e705390ff94e26bc77d8c86717fbffed9cb
local-only,66,0.0,36,0.8701171667022102,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-only,66,0.1,36,0.8485444609673123,eb2795dc2edf8b07135ed297a0d25e9c7cb42530214cbed97f650c76fbd48509
local-only,66,0.2,36,0.8053771339066187,992cda7724b267e584f66b16f96a79efafaaf360f4d9a4abd72130824315403c
local-only,66,0.3,50,0.7867842062950449,2479f1c5c543be6d83a1a43fe04247c688b58cb1ca94ca709199dfff0a868f43
local-only,66,0.4,50,0.7686096078286011,68171473b0f9f645f95ac216dab871fe910e54b4f8c9a01be15d21db34795b76
local-only,66,0.5,95,0.7298558231497478,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
local-only,66,0.6,38,0.7075897686332043,6b52889567e922a3d693c4a6cc057ff1ceb96acaef17527989a70e21abfe1fe7
local-only,66,0.7,35,0.7166510441951994,f1208aad19deff6a211236caa7b64e705390ff94e26bc77d8c86717fbffed9cb
local-base,66,0.0,45,0.8725057687369348,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-base,66,0.1,72,0.852427642985923,eb2795dc2edf8b07135ed297a0d25e9c7cb42530214cbed97f650c76fbd48509
local-base,66,0.2,49,0.8206599570686647,992cda7724b267e584f66b16f96a79efafaaf360f4d9a4abd72130824315403c
local-base,66,0.3,47,0.80373207388814,2479f1c5c543be6d83a1a43fe04247c688b58cb1ca94ca709199dfff0a868f43
local-base,66,0.4,39,0.7954155508660602,68171473b0f9f645f95ac216dab871fe910e54b4f8c9a01be15d21db34795b76
local-base,66,0.5,75,0.7771793874732399,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
local-base,66,0.6,45,0.7448128078817733,6b52889567e922a3d693c4a6cc057ff1ceb96acaef17527989a70e21abfe1fe7
local-base,66,0.7,54,0.7485317196691796,f1208aad19deff6a211236caa7b64e705390ff94e26bc77d8c86717fbffed9cb
local-gap,66,0.0,34,0.8671362293524001,79a5ae976e4e1919c5f09b44d269c74da8f124b90cba3ad0f48145eff0c0f17b
local-gap,66,0.1,47,0.8495197688911695,eb2795dc2edf8b07135ed297a0d25e9c7cb42530214cbed97f650c76fbd48509
local-gap,66,0.2,39,0.806929372811577,992cda7724b267e584f66b16f96a79efafaaf360f4d9a4abd72130824315403c
local-gap,66,0.3,61,0.809585793299882,2479f1c5c543be6d83a1a43fe04247c688b58cb1ca94ca709199dfff0a868f43
local-gap,66,0.4,48,0.7929664912150641,68171473b0f9f645f95ac216dab871fe910e54b4f8c9a01be15d21db34795b76
local-gap,66,0.5,48,0.7696731156497493,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
local-gap,66,0.6,48,0.7455452012169788,6b52889567e922a3d693c4a6cc057ff1ceb96acaef17527989a70e21abfe1fe7
local-gap,66,0.7,48,0.7439090597336097,f1208aad19deff6a211236caa7b64e705390ff94e26bc77d8c86717fbffed9cb
