seed,pattern,observed_count,checkpoint_rate,checkpoint_epoch,weighted_f1,accuracy,mae,correlation
66,A,1,0.7,39,35.64297409694734,45.1219512195122,1.4882887601852417,0.1541868943386852
66,AL,2,0.3,76,86.47751783640287,86.58536585365853,0.741936206817627,0.7972803108892128
66,ALV,3,0.0,76,88.20513840478105,88.26219512195121,0.7476819157600403,0.7932911466432752
66,AV,2,0.3,76,57.95814869082759,58.079268292682926,1.355500340461731,0.2575402521873923
66,L,1,0.7,39,85.62038618377093,85.82317073170732,0.8084353804588318,0.7766093427590292
66,LV,2,0.3,76,86.75392634546161,86.89024390243902,0.7598033547401428,0.7967105953477419
66,V,1,0.7,39,53.38050510626228,56.40243902439024,1.4457595348358154,0.22430079210522003
67,A,1,0.7,72,45.27668211593186,49.08536585365854,1.4674091339111328,0.11895932787072282
67,AL,2,0.3,70,86.98810413119791,87.04268292682927,0.7523092031478882,0.803119874505936
67,ALV,3,0.0,69,88.32149267689337,88.41463414634147,0.80488520860672,0.7917741236534485
67,AV,2,0.3,70,63.29471086918662,63.41463414634146,1.326497197151184,0.2300376429260914
67,L,1,0.7,72,86.80405869269798,86.89024390243902,0.716296374797821,0.8074774674134104
67,LV,2,0.3,70,87.8048780487805,87.8048780487805,0.7751892805099487,0.7899320722992083
67,V,1,0.7,72,61.187547381167796,60.97560975609756,1.355173945426941,0.1911618479417635
68,A,1,0.7,57,43.03443486327955,48.01829268292683,1.4917691946029663,0.10362371924062307
68,AL,2,0.3,88,85.56618191405096,85.67073170731707,0.7938113212585449,0.8124846856387538
68,ALV,3,0.0,44,88.73002233273807,88.71951219512195,0.8557636141777039,0.781225788062886
68,AV,2,0.3,88,62.47615081229622,62.34756097560976,1.3514354228973389,0.2461806793892963
68,L,1,0.7,57,86.19991144525986,86.28048780487805,0.8250161409378052,0.7807674552837791
68,LV,2,0.3,88,85.55263936528905,85.51829268292683,0.8022782802581787,0.79668811449387
68,V,1,0.7,57,61.51529426131377,61.28048780487805,1.3352855443954468,0.2561589719721597
69,A,1,0.7,62,48.2099518251515,50.762195121951216,1.4382901191711426,0.13400971837813508
69,AL,2,0.3,64,85.43188250221905,85.67073170731707,0.7280414700508118,0.813292043127155
69,ALV,3,0.0,58,87.67694750707193,87.65243902439023,0.7438984513282776,0.8065727729576352
69,AV,2,0.3,64,59.273215193089435,59.45121951219512,1.3534512519836426,0.2620758278938451
69,L,1,0.7,62,84.04109427285246,84.45121951219512,0.757737934589386,0.807398326430724
69,LV,2,0.3,64,87.14523919850598,87.1951219512195,0.7120034098625183,0.8080955499765512
69,V,1,0.7,62,54.90541183458964,56.09756097560976,1.3573031425476074,0.24965396848562696
70,A,1,0.7,73,25.072870101691368,42.22560975609756,1.509387493133545,0.12545686791013522
70,AL,2,0.3,50,84.40657734376205,84.7560975609756,0.7624200582504272,0.7893652437909495
70,ALV,3,0.0,39,87.36213935363453,87.34756097560977,0.9047658443450928,0.757646803245353
70,AV,2,0.3,50,53.98349934460418,55.79268292682927,1.388252854347229,0.2807268285917477
70,L,1,0.7,73,84.99164033320797,84.90853658536585,0.811208188533783,0.8003491011741259
70,LV,2,0.3,50,85.78929000388888,85.82317073170732,0.7968786358833313,0.789207466057233
70,V,1,0.7,73,59.546279224057976,59.29878048780488,1.3553580045700073,0.2098391871567708
