seed,mode,rate,selected_epoch,weighted_f1
66,joint,0.0,30,87.51164636870978
66,joint,0.1,30,86.28048780487805
66,joint,0.2,51,81.91162971876396
66,joint,0.3,30,80.41429817076767
66,joint,0.4,47,79.39383606605203
66,joint,0.5,48,77.09875569396195
66,joint,0.6,30,74.54147694902016
66,joint,0.7,29,74.82835686041683
66,emotion_only,0.0,79,87.466490502451
66,emotion_only,0.1,79,86.06961736398836
66,emotion_only,0.2,79,82.6043699914451
66,emotion_only,0.3,63,81.13878258762107
66,emotion_only,0.4,79,81.0784375345543
66,emotion_only,0.5,39,77.35113573070099
66,emotion_only,0.6,39,75.41366879345975
66,emotion_only,0.7,79,75.49917143504452
66,state,0.0,54,86.95417888015908
66,state,0.1,54,85.44533026793792
66,state,0.2,41,82.21321919611272
66,state,0.3,47,80.7391350163711
66,state,0.4,45,79.97686540593034
66,state,0.5,27,76.59323487676643
66,state,0.6,79,74.66952121561302
66,state,0.7,55,74.83564680933102
67,joint,0.0,41,87.57562492925214
67,joint,0.1,41,85.92963916652153
67,joint,0.2,41,83.85651847662483
67,joint,0.3,54,80.47724935213554
67,joint,0.4,41,76.6343024033531
67,joint,0.5,54,76.25709678884498
67,joint,0.6,93,75.15984060146774
67,joint,0.7,59,76.36290764593038
67,emotion_only,0.0,51,86.97969823904404
67,emotion_only,0.1,65,84.88926185751124
67,emotion_only,0.2,37,83.63056295303274
67,emotion_only,0.3,33,80.24740002329798
67,emotion_only,0.4,33,75.54871885657127
67,emotion_only,0.5,41,75.33865557120616
67,emotion_only,0.6,51,75.47981029909067
67,emotion_only,0.7,41,75.97623996659827
67,state,0.0,40,87.79254034487374
67,state,0.1,45,85.20978604153095
67,state,0.2,45,83.67677105723553
67,state,0.3,31,80.09212982853323
67,state,0.4,72,75.19165857490941
67,state,0.5,45,75.05451890620851
67,state,0.6,31,75.51552566117408
67,state,0.7,71,75.90186889263553
68,joint,0.0,39,87.63666879250923
68,joint,0.1,28,85.18645315768138
68,joint,0.2,47,82.01219512195121
68,joint,0.3,47,81.71602091149379
68,joint,0.4,47,78.60132524808702
68,joint,0.5,26,77.85733982814212
68,joint,0.6,31,75.38740677467975
68,joint,0.7,48,71.1713877667324
68,emotion_only,0.0,37,87.47369905986095
68,emotion_only,0.1,38,84.88101920216965
68,emotion_only,0.2,38,82.44712235973529
68,emotion_only,0.3,51,80.75530803714405
68,emotion_only,0.4,52,79.13060294566705
68,emotion_only,0.5,38,77.91195202278631
68,emotion_only,0.6,38,75.90882070755458
68,emotion_only,0.7,37,70.89495785328293
68,state,0.0,38,86.97102252208249
68,state,0.1,38,84.8146526913082
68,state,0.2,68,82.36862494136072
68,state,0.3,38,81.3705819365953
68,state,0.4,49,78.7217232263119
68,state,0.5,38,78.2556808312691
68,state,0.6,29,76.49423183735594
68,state,0.7,31,68.80050423880863
69,joint,0.0,46,87.23122621224397
69,joint,0.1,92,84.45121951219512
69,joint,0.2,46,81.13335637404957
69,joint,0.3,36,81.98435447925007
69,joint,0.4,37,78.15094651794455
69,joint,0.5,58,76.91318720460049
69,joint,0.6,91,76.27137164249103
69,joint,0.7,56,76.4749957953486
69,emotion_only,0.0,73,87.37267460601196
69,emotion_only,0.1,56,84.20110330509841
69,emotion_only,0.2,83,81.52124569154068
69,emotion_only,0.3,41,81.875979506149
69,emotion_only,0.4,81,77.7832185337731
69,emotion_only,0.5,83,76.56345683027924
69,emotion_only,0.6,56,75.64421181799231
69,emotion_only,0.7,35,76.19083633039142
69,state,0.0,45,87.29426638693444
69,state,0.1,35,84.60735980043582
69,state,0.2,77,81.4999712036865
69,state,0.3,35,81.22605261084733
69,state,0.4,35,77.87230191411378
69,state,0.5,35,76.17775819359757
69,state,0.6,35,75.24961890243902
69,state,0.7,51,75.30323088729854
70,joint,0.0,46,87.12862485410514
70,joint,0.1,53,85.14153799043848
70,joint,0.2,51,80.76295478292805
70,joint,0.3,56,79.94355621298547
70,joint,0.4,78,77.65739661899046
70,joint,0.5,46,75.02329273741954
70,joint,0.6,65,74.09143725585736
70,joint,0.7,53,73.92653003197722
70,emotion_only,0.0,64,87.32449084626343
70,emotion_only,0.1,67,84.76335075957819
70,emotion_only,0.2,64,80.86129345275687
70,emotion_only,0.3,55,80.67080146634045
70,emotion_only,0.4,67,79.55250507766353
70,emotion_only,0.5,65,75.45129435759259
70,emotion_only,0.6,55,75.22913864161006
70,emotion_only,0.7,72,73.89963411751944
70,state,0.0,36,87.68792169263965
70,state,0.1,42,84.81938368976081
70,state,0.2,31,81.33998142257845
70,state,0.3,45,81.04688807687708
70,state,0.4,44,77.87533115807706
70,state,0.5,59,75.67214173832735
70,state,0.6,45,76.02832707362323
70,state,0.7,46,74.24251978119426
