pattern,component,mean,mean_abs,p90_abs
ALL,odd1,-0.010098827802604673,0.02116263617552625,0.054194201700655475
ALL,even1,0.0025550501175285877,0.004840128323907893,0.011405385285615922
ALL,oddhalf,-0.005116778179523558,0.010719042701080466,0.027538589143327307
ALL,evenhalf,0.0006721216028705051,0.0012488266670487237,0.0029701867699623106
AT,odd1,-0.0065495295307228295,0.01765001484455981,0.035804303043654985
AT,even1,0.002724876725550885,0.004633139049193242,0.010858332025153296
AT,oddhalf,-0.003306252013054259,0.008964246752072401,0.018250018081494745
AT,evenhalf,0.0007088441449607131,0.0011882887668911717,0.002799394875764847
AV,odd1,0.007673678007784376,0.012035945507160644,0.022589736399906024
AV,even1,0.0015512314275686477,0.003597709344935303,0.00702581703130688
AV,oddhalf,0.0038761339897880817,0.006085749393711892,0.011428569007132735
AV,evenhalf,0.0003962777718634905,0.0009111679269300756,0.0017804721529994694
TV,odd1,-0.03113452598629013,0.03381595292761112,0.060292858555912966
TV,even1,0.0034097138000149484,0.0063398579262053355,0.014525053926876615
TV,oddhalf,-0.01578049282277899,0.017113392440608843,0.030582937960113795
TV,evenhalf,0.0009173702842274978,0.001660503392794129,0.0038356497883796693
