pattern,t,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent,weighted_f1_seed_sd
ALL,-1.0,79.20571234080309,0.020197655605209343,0.0423252723510525,0.10838840340131095,0.9798419724609797,0.8742529466317635
ALL,-0.5,79.2430149782214,0.013332677467470147,0.031215135251276886,0.07788799020860877,0.8029602679398355,0.8111900313104673
ALL,0.0,79.27256771331247,0.007543777685076086,0.020468204693377963,0.049990384238106866,0.6223784910732612,0.8586923476492804
ALL,0.5,79.12815955819904,0.0030991211084230334,0.010081926141877477,0.023777762566293992,0.30946033156960306,0.9976210724370359
ALL,1.0,79.18160302770329,0.0,0.0,0.0,0.0,1.0941116840674412
AT,-1.0,86.97372903038163,0.01309905906144566,0.03530002968911962,0.07160860608730998,0.32517784321308624,1.669654979941031
AT,-0.5,87.1222268389909,0.00783974896318692,0.025989167341743235,0.05427255552794254,0.17414179392720858,1.6697930740948017
AT,0.0,87.1194613550701,0.0038246528051719443,0.017341221789884002,0.03610333340508597,0.17703327309952263,1.594533911419628
AT,0.5,87.00690042581667,0.0012272449370783992,0.008747875737617986,0.018308051962937628,0.06722689075630253,1.5217885505743163
AT,1.0,87.07273247292122,0.0,0.0,0.0,0.0,1.6138475017222658
AV,-1.0,63.26512492584267,-0.01534735601556875,0.02407189101432129,0.04517947279981205,1.964743459162711,2.7867354084405536
AV,-0.5,63.32612255357494,-0.012704765653277614,0.0200864049136589,0.036995857432484625,1.6435108368476747,2.5139502768492217
AV,0.0,63.29319350085105,-0.009224909435353024,0.014731612382433496,0.026914193875023296,1.2023566872873774,2.6565156034222204
AV,0.5,62.97067065458691,-0.0049524976737014515,0.00800649008007854,0.014728290630238398,0.5442558923101848,3.021322823413064
AV,1.0,62.959143796857006,0.0,0.0,0.0,0.0,3.0933308826041075
TV,-1.0,86.83994137953346,0.06226905197258026,0.06763190585522225,0.12058571711182595,0.6846358378234186,1.9923250694050527
TV,-0.5,86.75963685108736,0.04442267529328167,0.04748928754728669,0.083689301439694,0.6098292828990434,2.026595726095644
TV,0.0,86.8610365601445,0.027724812186275177,0.029223679403012272,0.05212073577301842,0.5077199377305049,1.972740773475829
TV,0.5,86.78715037415827,0.01286168964772369,0.013413571817227752,0.024245054540889606,0.31047214079825597,1.9555785088880482
TV,1.0,86.84780926378896,0.0,0.0,0.0,0.0,1.9138775421801315
