seed,rate,pattern,component,n,mean,mean_abs,p90_abs
66,0.0,ALL,odd1,0,,,
66,0.0,ALL,even1,0,,,
66,0.0,ALL,oddhalf,0,,,
66,0.0,ALL,evenhalf,0,,,
66,0.0,AT,odd1,0,,,
66,0.0,AT,even1,0,,,
66,0.0,AT,oddhalf,0,,,
66,0.0,AT,evenhalf,0,,,
66,0.0,AV,odd1,0,,,
66,0.0,AV,even1,0,,,
66,0.0,AV,oddhalf,0,,,
66,0.0,AV,evenhalf,0,,,
66,0.0,TV,odd1,0,,,
66,0.0,TV,even1,0,,,
66,0.0,TV,oddhalf,0,,,
66,0.0,TV,evenhalf,0,,,
66,0.1,ALL,odd1,165,-0.006928471114599343,0.010913118674899592,0.040154051780700674
66,0.1,ALL,even1,165,-0.00022632947022264654,0.002854349667375738,0.005267420411109924
66,0.1,ALL,oddhalf,165,-0.0035622262593471643,0.005538554670232715,0.020569676160812372
66,0.1,ALL,evenhalf,165,-4.2110636378779556e-05,0.0007300099414406401,0.0013543009757995604
66,0.1,AT,odd1,50,0.0019624797999858857,0.002469141632318497,0.006454300880432129
66,0.1,AT,even1,50,-0.0014830969274044036,0.002307584136724472,0.004544961452484131
66,0.1,AT,oddhalf,50,0.0009083162248134613,0.0011700625717639924,0.003019976615905762
66,0.1,AT,evenhalf,50,-0.00037151023745536806,0.0005760471522808075,0.001131206750869751
66,0.1,AV,odd1,55,0.0015086427330970765,0.002851195294748653,0.005331827700138092
66,0.1,AV,even1,55,-7.392574440349232e-05,0.002600695937871933,0.005267420411109925
66,0.1,AV,oddhalf,55,0.0008039472116665407,0.0014575629410418598,0.0027208089828491214
66,0.1,AV,evenhalf,55,-1.5353106639601968e-05,0.0006549502976916053,0.0013264939188957214
66,0.1,TV,odd1,60,-0.022071617903808752,0.025339862642188866,0.04995968341827393
66,0.1,TV,even1,60,0.0006812733287612597,0.0035425035282969477,0.007992863655090334
66,0.1,TV,oddhalf,60,-0.011290004011243582,0.012919873837381602,0.025557065010070802
66,0.1,TV,evenhalf,60,0.00020786129559079806,0.0009271169391771157,0.0021345436573028567
66,0.2,ALL,odd1,255,-0.006059121179814432,0.009599968513437345,0.03761547803878784
66,0.2,ALL,even1,255,-4.7802852064955465e-05,0.0025489158636214687,0.005239808559417724
66,0.2,ALL,oddhalf,255,-0.0031138899498710446,0.004874671433194011,0.019281375408172607
66,0.2,ALL,evenhalf,255,5.123881148357017e-07,0.0006506819716271232,0.0013403937220573424
66,0.2,AT,odd1,77,0.001984604888341644,0.0024361716123757426,0.005376076698303223
66,0.2,AT,even1,77,-0.0009962155592518967,0.0018970879012501084,0.003451573848724366
66,0.2,AT,oddhalf,77,0.0009211229232998638,0.001164340450392141,0.0024909257888793947
66,0.2,AT,evenhalf,77,-0.00024995328737543776,0.00047436554904107923,0.0008623600006103518
66,0.2,AV,odd1,93,0.0017431727860884,0.0030847350235587807,0.005753844976425171
66,0.2,AV,even1,93,-0.00013796137946267282,0.0024553004812489275,0.005006662011146546
66,0.2,AV,oddhalf,93,0.0009138748169906678,0.00157753107768874,0.0029298365116119385
66,0.2,AV,evenhalf,93,-3.179413096238208e-05,0.0006174208215808355,0.0012591302394866944
66,0.2,TV,odd1,85,-0.0218824181924848,0.023217957642148523,0.0478082299232483
66,0.2,TV,even1,85,0.0009099915185395409,0.003241821553777246,0.006549119949340822
66,0.2,TV,oddhalf,85,-0.011175985415192212,0.011843254241873236,0.024428737163543705
66,0.2,TV,evenhalf,85,0.0002627519561963923,0.0008467955186086543,0.0017720580101013193
66,0.3,ALL,odd1,291,-0.003457498195808368,0.007465515432949738,0.026471853256225586
66,0.3,ALL,even1,291,-0.0006031589422541386,0.0025034135469968375,0.005381405353546143
66,0.3,ALL,oddhalf,291,-0.001784732590887145,0.003772970449012989,0.01353156566619873
66,0.3,ALL,evenhalf,291,-0.00014375609144107583,0.0006354555833278244,0.0013501942157745361
66,0.3,AT,odd1,100,0.0019646888226270676,0.002562645301222801,0.006735068559646606
66,0.3,AT,even1,100,-0.0008534287661314011,0.0020709987729787827,0.00409044623374939
66,0.3,AT,oddhalf,100,0.0009136791527271271,0.0012254266440868378,0.00316542387008667
66,0.3,AT,evenhalf,100,-0.00021367445588111879,0.0005174906551837921,0.001022636890411377
66,0.3,AV,odd1,114,0.001223545113022913,0.0029677257039829306,0.006089699268341064
66,0.3,AV,even1,114,-0.0008260515404113552,0.002547256566845534,0.005360206216573716
66,0.3,AV,oddhalf,114,0.0006527612639362352,0.001512165998288414,0.0031115025281906127
66,0.3,AV,evenhalf,114,-0.0002065477892756462,0.0006408149115087694,0.0013504303991794587
66,0.3,TV,odd1,77,-0.01742967532633187,0.02049194455340311,0.0495062291622162
66,0.3,TV,even1,77,5.186363667636723e-05,0.0030000807306209167,0.0060452222824096714
66,0.3,TV,oddhalf,77,-0.008897920562462374,0.010428633927911907,0.025202208757400518
66,0.3,TV,evenhalf,77,4.001131111925299e-05,0.0007807221989352982,0.0015703916549682632
66,0.4,ALL,odd1,287,-0.005751636917686628,0.009662784142776649,0.03205671310424807
66,0.4,ALL,even1,287,-0.0003024991407003968,0.0024320530844690077,0.004906445741653443
66,0.4,ALL,oddhalf,287,-0.002943063738921378,0.004899500560937027,0.01637449264526368
66,0.4,ALL,evenhalf,287,-6.658484581663219e-05,0.0006192672270827177,0.0012455105781555176
66,0.4,AT,odd1,97,0.0016322994662314346,0.00214922074804601,0.004788446426391602
66,0.4,AT,even1,97,-0.001196030296922959,0.0018146828815494617,0.0032266974449157715
66,0.4,AT,oddhalf,97,0.0007718696460588692,0.0010431122572458896,0.00219935178756714
66,0.4,AT,evenhalf,97,-0.00030014097460151945,0.0004538023633133505,0.0008088231086730958
66,0.4,AV,odd1,90,0.0016768532080782784,0.0032572122911612195,0.006050978600978851
66,0.4,AV,even1,90,-0.00015715029504564072,0.0024632564021481408,0.0049418270587921155
66,0.4,AV,oddhalf,90,0.0008840151958995396,0.00166958872642782,0.0030813217163085946
