seed,rate,pattern,t,n,weighted_f1,score_delta_mean,score_mae,score_p90_abs,sign_flip_percent
66,0.0,ALL,-1.0,0,,,,,
66,0.0,ALL,-0.5,0,,,,,
66,0.0,ALL,0.0,0,,,,,
66,0.0,ALL,0.5,0,,,,,
66,0.0,ALL,1.0,0,,,,,
66,0.0,AT,-1.0,0,,,,,
66,0.0,AT,-0.5,0,,,,,
66,0.0,AT,0.0,0,,,,,
66,0.0,AT,0.5,0,,,,,
66,0.0,AT,1.0,0,,,,,
66,0.0,AV,-1.0,0,,,,,
66,0.0,AV,-0.5,0,,,,,
66,0.0,AV,0.0,0,,,,,
66,0.0,AV,0.5,0,,,,,
66,0.0,AV,1.0,0,,,,,
66,0.0,TV,-1.0,0,,,,,
66,0.0,TV,-0.5,0,,,,,
66,0.0,TV,0.0,0,,,,,
66,0.0,TV,0.5,0,,,,,
66,0.0,TV,1.0,0,,,,,
66,0.1,ALL,-1.0,165,83.19372870578634,0.013856942229198687,0.021826237349799184,0.08030810356140135,0.0
66,0.1,ALL,-0.5,165,83.19372870578634,0.010674916207790375,0.016547228982954316,0.05797954797744751,0.0
66,0.1,ALL,0.0,165,83.19372870578634,0.00715480058482199,0.011205871628992486,0.03766565322875976,0.0
66,0.1,ALL,0.5,165,83.19372870578634,0.003550463689096046,0.00571432068492427,0.016947889328002928,0.0
66,0.1,ALL,1.0,165,83.19372870578634,0.0,0.0,0.0,0.0
66,0.1,AT,-1.0,50,82.3011583011583,-0.0039249595999717715,0.004938283264636994,0.012908601760864257,0.0
66,0.1,AT,-0.5,50,82.3011583011583,-0.0017592093348503112,0.0037769296765327452,0.008927035331726079,0.0
66,0.1,AT,0.0,50,82.3011583011583,-0.00047938287258148194,0.003095162510871887,0.007358714938163758,0.0
66,0.1,AT,0.5,50,82.3011583011583,5.742311477661133e-05,0.001979820728302002,0.0046578764915466316,0.0
66,0.1,AT,1.0,50,82.3011583011583,0.0,0.0,0.0,0.0
66,0.1,AV,-1.0,55,72.76352759902112,-0.003017285466194153,0.005702390589497306,0.010663655400276185,0.0
66,0.1,AV,-0.5,55,72.76352759902112,-0.002254017306999727,0.006098375604911284,0.011308217048645021,0.0
66,0.1,AV,0.0,55,72.76352759902112,-0.0014347169886935842,0.005328019234267148,0.009350520372390748,0.0
66,0.1,AV,0.5,55,72.76352759902112,-0.0006461228836666455,0.003272568095814098,0.005869722366333008,0.0
66,0.1,AV,1.0,55,72.76352759902112,0.0,0.0,0.0,0.0
66,0.1,TV,-1.0,60,93.43915343915344,0.044143235807617504,0.05067972528437773,0.09991936683654785,0.0
66,0.1,TV,-0.5,60,93.43915343915344,0.032888209881881875,0.0367672606681784,0.069099760055542,0.0
66,0.1,TV,0.0,60,93.43915343915344,0.021390344575047494,0.02335282725592454,0.04215040504932403,0.0
66,0.1,TV,0.5,60,93.43915343915344,0.01030820185939471,0.011064677188793818,0.019679218530654907,0.0
66,0.1,TV,1.0,60,93.43915343915344,0.0,0.0,0.0,0.0
66,0.2,ALL,-1.0,255,80.13168777671463,0.012118242359628864,0.01919993702687469,0.07523095607757568,0.0
66,0.2,ALL,-0.5,255,80.13168777671463,0.009221326369865267,0.014658444973767972,0.05505216121673583,0.0
66,0.2,ALL,0.0,255,80.13168777671463,0.006106924031879388,0.010000343927565743,0.035294950008392334,0.0
66,0.2,ALL,0.5,255,80.13168777671463,0.002993546470123179,0.0051317926277132594,0.01617443561553955,0.0
66,0.2,ALL,1.0,255,80.13168777671463,0.0,0.0,0.0,0.0
66,0.2,AT,-1.0,77,88.26446280991736,-0.003969209776683288,0.004872343224751485,0.010752153396606446,0.0
66,0.2,AT,-0.5,77,88.26446280991736,-0.0021594655397650484,0.0035473295039944834,0.008953762054443365,0.0
66,0.2,AT,0.0,77,88.26446280991736,-0.0009883893290897469,0.0027619130522399753,0.0061912536621093785,0.0
66,0.2,AT,0.5,77,88.26446280991736,-0.00031721969316532086,0.0017334276979619806,0.003649258613586428,0.0
66,0.2,AT,1.0,77,88.26446280991736,0.0,0.0,0.0,0.0
66,0.2,AV,-1.0,93,63.777135321566234,-0.0034863455721768,0.006169470047117561,0.011507689952850342,0.0
66,0.2,AV,-0.5,93,63.777135321566234,-0.002550880354578777,0.006283098331061742,0.011722755432128905,0.0
66,0.2,AV,0.0,93,63.777135321566234,-0.001605211406625727,0.005344890859178318,0.010002088546752927,0.0
66,0.2,AV,0.5,93,63.777135321566234,-0.0007231307205974415,0.003246698929097063,0.0059509754180908205,0.0
66,0.2,AV,1.0,93,63.777135321566234,0.0,0.0,0.0,0.0
66,0.2,TV,-1.0,85,90.65289198116521,0.0437648363849696,0.046435915284297045,0.0956164598464966,0.0
66,0.2,TV,-0.5,85,90.65289198116521,0.03241116404533386,0.033887422961347245,0.06893957853317262,0.0
66,0.2,TV,0.0,85,90.65289198116521,0.02097242667394526,0.021651124077684738,0.04247822761535645,0.0
66,0.2,TV,0.5,85,90.65289198116521,0.01005919321494944,0.010272825728444492,0.01949119567871094,0.0
66,0.2,TV,1.0,85,90.65289198116521,0.0,0.0,0.0,0.0
66,0.3,ALL,-1.0,291,77.31958762886599,0.006914996391616736,0.014931030865899477,0.05294370651245117,0.3436426116838488
66,0.3,ALL,-0.5,291,77.31958762886599,0.005701633637508576,0.011656263823976222,0.03837621212005615,0.3436426116838488
