group,rate,mode,n_seeds,mean,sd
one_missing,0.0,normal,0,,
one_missing,0.0,no_gap,0,,
one_missing,0.0,no_base,0,,
one_missing,0.0,base_to_gap,0,,
one_missing,0.0,gap_to_base,0,,
one_missing,0.0,move_base_to_gap,0,,
one_missing,0.0,move_gap_to_base,0,,
one_missing,0.0,swap,0,,
one_missing,0.1,normal,5,80.35111815225078,2.53459293918685
one_missing,0.1,no_gap,5,79.21843771838378,1.5379431809171882
one_missing,0.1,no_base,5,78.80888885041234,3.2842136771160404
one_missing,0.1,base_to_gap,5,80.03717053189197,2.3598119773402764
one_missing,0.1,gap_to_base,5,79.14911912687606,3.2716263321959747
one_missing,0.1,move_base_to_gap,5,79.77425438797034,1.9209765724260373
one_missing,0.1,move_gap_to_base,5,78.36931586448162,3.3062198645818444
one_missing,0.1,swap,5,80.08519866246404,2.5023065044844146
one_missing,0.2,normal,5,79.7324337460206,1.4822171358300216
one_missing,0.2,no_gap,5,78.12668330012382,1.9828970772821206
one_missing,0.2,no_base,5,77.75830101827147,1.513539591037946
one_missing,0.2,base_to_gap,5,79.4117700286,1.5273321799598292
one_missing,0.2,gap_to_base,5,78.52142746823893,1.1063235137244605
one_missing,0.2,move_base_to_gap,5,78.41446562983909,1.8619362292919879
one_missing,0.2,move_gap_to_base,5,77.1359703527036,1.872788927214575
one_missing,0.2,swap,5,79.6339573874313,1.3699594175848735
one_missing,0.3,normal,5,79.73567692381083,2.4719417444380762
one_missing,0.3,no_gap,5,79.03179722580296,3.3115740810800607
one_missing,0.3,no_base,5,78.97508703167645,2.4891158107892375
one_missing,0.3,base_to_gap,5,79.74795036617472,3.0793649310028157
one_missing,0.3,gap_to_base,5,79.48724559016107,2.3979403889072826
one_missing,0.3,move_base_to_gap,5,80.04085742683914,2.3784829588417926
one_missing,0.3,move_gap_to_base,5,78.56576918956048,2.8931865703190955
one_missing,0.3,swap,5,80.01475384610639,2.4452469813855946
one_missing,0.4,normal,5,78.7564814016068,2.428817750323309
one_missing,0.4,no_gap,5,78.21507643231384,2.209392961339653
one_missing,0.4,no_base,5,77.79516428457731,3.039392475198206
one_missing,0.4,base_to_gap,5,77.90413794904606,2.2246154707796086
