seed,rate,group,mode,count,nonzero_count,weighted_f1
66,0.0,one_missing,normal,0,0,
66,0.0,one_missing,no_gap,0,0,
66,0.0,one_missing,no_base,0,0,
66,0.0,one_missing,base_to_gap,0,0,
66,0.0,one_missing,gap_to_base,0,0,
66,0.0,AT,normal,0,0,
66,0.0,AT,no_gap,0,0,
66,0.0,AT,no_base,0,0,
66,0.0,AT,base_to_gap,0,0,
66,0.0,AT,gap_to_base,0,0,
66,0.0,AV,normal,0,0,
66,0.0,AV,no_gap,0,0,
66,0.0,AV,no_base,0,0,
66,0.0,AV,base_to_gap,0,0,
66,0.0,AV,gap_to_base,0,0,
66,0.0,TV,normal,0,0,
66,0.0,TV,no_gap,0,0,
66,0.0,TV,no_base,0,0,
66,0.0,TV,base_to_gap,0,0,
66,0.0,TV,gap_to_base,0,0,
66,0.1,one_missing,normal,171,165,83.19372870578634
66,0.1,one_missing,no_gap,171,165,80.84146790029143
66,0.1,one_missing,no_base,171,165,82.69266773952647
66,0.1,one_missing,base_to_gap,171,165,81.88311688311688
66,0.1,one_missing,gap_to_base,171,165,83.85343681569584
66,0.1,AT,normal,51,50,82.3011583011583
66,0.1,AT,no_gap,51,50,82.3011583011583
66,0.1,AT,no_base,51,50,84.32597623089983
66,0.1,AT,base_to_gap,51,50,84.19444444444444
66,0.1,AT,gap_to_base,51,50,84.32597623089983
66,0.1,AV,normal,58,55,72.76352759902112
66,0.1,AV,no_gap,58,55,65.52315608919382
66,0.1,AV,no_base,58,55,69.0909090909091
66,0.1,AV,base_to_gap,58,55,67.11876832844575
66,0.1,AV,gap_to_base,58,55,72.7814390177846
66,0.1,TV,normal,62,60,93.43915343915344
66,0.1,TV,no_gap,62,60,93.43915343915344
66,0.1,TV,no_base,62,60,93.43915343915344
66,0.1,TV,base_to_gap,62,60,93.43915343915344
66,0.1,TV,gap_to_base,62,60,93.43915343915344
66,0.2,one_missing,normal,265,255,80.13168777671463
66,0.2,one_missing,no_gap,265,255,79.84108676150198
66,0.2,one_missing,no_base,265,255,77.53965152744796
66,0.2,one_missing,base_to_gap,265,255,80.84273247717879
66,0.2,one_missing,gap_to_base,265,255,79.7887413029728
66,0.2,AT,normal,82,77,88.26446280991736
66,0.2,AT,no_gap,82,77,89.6103896103896
66,0.2,AT,no_base,82,77,85.65656565656565
66,0.2,AT,base_to_gap,82,77,89.6103896103896
66,0.2,AT,gap_to_base,82,77,87.01298701298701
66,0.2,AV,normal,96,93,63.777135321566234
66,0.2,AV,no_gap,96,93,61.668417104276074
66,0.2,AV,no_base,96,93,58.35597089936216
66,0.2,AV,base_to_gap,96,93,65.73133714050523
66,0.2,AV,gap_to_base,96,93,63.81811212653069
66,0.2,TV,normal,87,85,90.65289198116521
66,0.2,TV,no_gap,87,85,90.65289198116521
66,0.2,TV,no_base,87,85,90.65289198116521
66,0.2,TV,base_to_gap,87,85,89.4499836330983
66,0.2,TV,gap_to_base,87,85,90.65289198116521
66,0.3,one_missing,normal,307,291,77.6706849713896
66,0.3,one_missing,no_gap,307,291,76.67062285264204
66,0.3,one_missing,no_base,307,291,76.3320288733749
66,0.3,one_missing,base_to_gap,307,291,77.6375978380383
66,0.3,one_missing,gap_to_base,307,291,76.66010255967467
66,0.3,AT,normal,105,100,81.83354350567465
66,0.3,AT,no_gap,105,100,81.83354350567465
66,0.3,AT,no_base,105,100,80.87477769641175
66,0.3,AT,base_to_gap,105,100,82.88795899152632
66,0.3,AT,gap_to_base,105,100,81.83354350567465
66,0.3,AV,normal,122,114,65.64441324574253
66,0.3,AV,no_gap,122,114,62.700796656654056
66,0.3,AV,no_base,122,114,62.700796656654056
66,0.3,AV,base_to_gap,122,114,64.91228070175438
66,0.3,AV,gap_to_base,122,114,62.83881680694158
66,0.3,TV,normal,80,77,89.49232585596222
66,0.3,TV,no_gap,80,77,89.49232585596222
66,0.3,TV,no_base,80,77,89.49232585596222
66,0.3,TV,base_to_gap,80,77,89.49232585596222
66,0.3,TV,gap_to_base,80,77,89.49232585596222
66,0.4,one_missing,normal,299,287,81.92402651143705
66,0.4,one_missing,no_gap,299,287,80.58695221098552
66,0.4,one_missing,no_base,299,287,82.3132983640487
66,0.4,one_missing,base_to_gap,299,287,81.20772699323632
66,0.4,one_missing,gap_to_base,299,287,83.00689450663504
66,0.4,AT,normal,103,97,85.56701030927834
66,0.4,AT,no_gap,103,97,85.56701030927834
66,0.4,AT,no_base,103,97,85.56701030927834
66,0.4,AT,base_to_gap,103,97,85.56701030927834
66,0.4,AT,gap_to_base,103,97,86.60364539945846
66,0.4,AV,normal,94,90,70.51428571428572
66,0.4,AV,no_gap,94,90,66.13542835765058
66,0.4,AV,no_base,94,90,71.61666666666666
66,0.4,AV,base_to_gap,94,90,69.39656637769845
66,0.4,AV,gap_to_base,94,90,72.72306981044845
66,0.4,TV,normal,102,100,88.83982310430375
66,0.4,TV,no_gap,102,100,88.83982310430375
66,0.4,TV,no_base,102,100,88.83982310430375
66,0.4,TV,base_to_gap,102,100,87.78125
66,0.4,TV,gap_to_base,102,100,88.912
66,0.5,one_missing,normal,259,249,79.11646586345381
66,0.5,one_missing,no_gap,259,249,77.98756276147947
66,0.5,one_missing,no_base,259,249,78.80247979519562
66,0.5,one_missing,base_to_gap,259,249,78.28528399311531
66,0.5,one_missing,gap_to_base,259,249,79.14051890066519
66,0.5,AT,normal,80,76,77.70088150940501
66,0.5,AT,no_gap,80,76,76.45308924485126
66,0.5,AT,no_base,80,76,76.45308924485126
66,0.5,AT,base_to_gap,80,76,77.70088150940501
66,0.5,AT,gap_to_base,80,76,76.45308924485126
66,0.5,AV,normal,85,84,64.28571428571429
66,0.5,AV,no_gap,85,84,62.166285278413426
66,0.5,AV,no_base,85,84,64.52991452991454
66,0.5,AV,base_to_gap,85,84,61.725490196078425
66,0.5,AV,gap_to_base,85,84,65.54135811432168
66,0.5,TV,normal,94,89,94.3777475365685
66,0.5,TV,no_gap,94,89,94.3777475365685
66,0.5,TV,no_base,94,89,94.3777475365685
66,0.5,TV,base_to_gap,94,89,94.3777475365685
66,0.5,TV,gap_to_base,94,89,94.3777475365685
66,0.6,one_missing,normal,212,203,80.29556650246306
66,0.6,one_missing,no_gap,212,203,79.34656621269197
66,0.6,one_missing,no_base,212,203,78.90207298632987
66,0.6,one_missing,base_to_gap,212,203,79.69542925330337
66,0.6,one_missing,gap_to_base,212,203,79.85438997761464
66,0.6,AT,normal,63,61,90.09193619849357
66,0.6,AT,no_gap,63,61,90.09193619849357
66,0.6,AT,no_base,63,61,90.09193619849357
66,0.6,AT,base_to_gap,63,61,90.09193619849357
66,0.6,AT,gap_to_base,63,61,90.09193619849357
66,0.6,AV,normal,66,64,59.66666666666668
66,0.6,AV,no_gap,66,64,56.78137651821862
66,0.6,AV,no_base,66,64,55.39850560398505
66,0.6,AV,base_to_gap,66,64,57.168674698795186
66,0.6,AV,gap_to_base,66,64,58.39622641509435
66,0.6,TV,normal,83,78,89.74358974358975
66,0.6,TV,no_gap,83,78,89.74358974358975
66,0.6,TV,no_base,83,78,89.74358974358975
66,0.6,TV,base_to_gap,83,78,89.74358974358975
66,0.6,TV,gap_to_base,83,78,89.74358974358975
66,0.7,one_missing,normal,127,120,78.94387491702929
66,0.7,one_missing,no_gap,127,120,79.83548766157462
66,0.7,one_missing,no_base,127,120,79.12885662431943
66,0.7,one_missing,base_to_gap,127,120,78.70182555780933
66,0.7,one_missing,gap_to_base,127,120,78.25123870591665
66,0.7,AT,normal,38,37,91.81246552675123
66,0.7,AT,no_gap,38,37,91.81246552675123
66,0.7,AT,no_base,38,37,86.59297595467808
66,0.7,AT,base_to_gap,38,37,88.95495495495493
66,0.7,AT,gap_to_base,38,37,86.59297595467808
66,0.7,AV,normal,41,37,59.139991054884675
66,0.7,AV,no_gap,41,37,62.16216216216216
66,0.7,AV,no_base,41,37,62.16216216216216
66,0.7,AV,base_to_gap,41,37,60.522522522522515
66,0.7,AV,gap_to_base,41,37,62.16216216216216
66,0.7,TV,normal,48,46,84.62800530068782
66,0.7,TV,no_gap,48,46,84.62800530068782
66,0.7,TV,no_base,48,46,86.88127090301003
66,0.7,TV,base_to_gap,48,46,84.62800530068782
66,0.7,TV,gap_to_base,48,46,84.62800530068782
67,0.0,one_missing,normal,0,0,
67,0.0,one_missing,no_gap,0,0,
67,0.0,one_missing,no_base,0,0,
67,0.0,one_missing,base_to_gap,0,0,
67,0.0,one_missing,gap_to_base,0,0,
67,0.0,AT,normal,0,0,
67,0.0,AT,no_gap,0,0,
67,0.0,AT,no_base,0,0,
67,0.0,AT,base_to_gap,0,0,
67,0.0,AT,gap_to_base,0,0,
67,0.0,AV,normal,0,0,
67,0.0,AV,no_gap,0,0,
67,0.0,AV,no_base,0,0,
67,0.0,AV,base_to_gap,0,0,
67,0.0,AV,gap_to_base,0,0,
67,0.0,TV,normal,0,0,
67,0.0,TV,no_gap,0,0,
67,0.0,TV,no_base,0,0,
67,0.0,TV,base_to_gap,0,0,
67,0.0,TV,gap_to_base,0,0,
67,0.1,one_missing,normal,182,172,82.01954592933211
67,0.1,one_missing,no_gap,182,172,80.91415711070624
67,0.1,one_missing,no_base,182,172,78.61196431183266
67,0.1,one_missing,base_to_gap,182,172,81.9923034731541
67,0.1,one_missing,gap_to_base,182,172,80.29233597059059
67,0.1,AT,normal,61,55,81.73264907135875
67,0.1,AT,no_gap,61,55,81.73264907135875
67,0.1,AT,no_base,61,55,81.73264907135875
67,0.1,AT,base_to_gap,61,55,83.50373031224096
67,0.1,AT,gap_to_base,61,55,81.73264907135875
67,0.1,AV,normal,62,59,76.64805583250248
67,0.1,AV,no_gap,62,59,73.16254002968054
67,0.1,AV,no_base,62,59,69.61426066627703
67,0.1,AV,base_to_gap,62,59,74.95225061284646
67,0.1,AV,gap_to_base,62,59,74.95225061284646
67,0.1,TV,normal,59,58,87.90554948769959
67,0.1,TV,no_gap,59,58,87.90554948769959
67,0.1,TV,no_base,59,58,84.50599498094617
67,0.1,TV,base_to_gap,59,58,87.90554948769959
67,0.1,TV,gap_to_base,59,58,84.50599498094617
67,0.2,one_missing,normal,258,248,80.77076791321723
67,0.2,one_missing,no_gap,258,248,79.56132948771064
