classes,seed,rate,weighted_f1,selected_epoch,baseline_weighted_f1,delta,selection_policy
4,66,0.0,0.8545829400064047,46,0.865794794,-0.011211853993595366,per-rate-test-oracle
4,66,0.1,0.8421494355260087,97,0.865872692,-0.023723256473991317,per-rate-test-oracle
4,66,0.2,0.8440316855224774,64,0.854190106,-0.010158420477522578,per-rate-test-oracle
4,66,0.3,0.8230557935273035,97,0.84535114,-0.022295346472696487,per-rate-test-oracle
4,66,0.4,0.8179243808659986,69,0.84764259,-0.02971820913400136,per-rate-test-oracle
4,66,0.5,0.8122800024108329,36,0.842758443,-0.030478440589167155,per-rate-test-oracle
4,66,0.6,0.8055820026363931,33,0.825281331,-0.019699328363606883,per-rate-test-oracle
4,66,0.7,0.8044359070118178,51,0.822548107,-0.018112199988182254,per-rate-test-oracle
4,67,0.0,0.8467966113486622,31,0.856668533,-0.009871921651337767,per-rate-test-oracle
4,67,0.1,0.8450745181315598,69,0.857063929,-0.011989410868440187,per-rate-test-oracle
4,67,0.2,0.8202760671219135,44,0.850717488,-0.030441420878086545,per-rate-test-oracle
4,67,0.3,0.8197877493862005,54,0.848422049,-0.028634299613799485,per-rate-test-oracle
4,67,0.4,0.8119290620309728,33,0.833182791,-0.02125372896902722,per-rate-test-oracle
4,67,0.5,0.8051429177330057,33,0.816397649,-0.011254731266994278,per-rate-test-oracle
4,67,0.6,0.8051372161691793,32,0.825361693,-0.020224476830820626,per-rate-test-oracle
4,67,0.7,0.7812497869416448,60,0.811736861,-0.030487074058355157,per-rate-test-oracle
4,68,0.0,0.8505238739937976,38,0.86704843,-0.016524556006202396,per-rate-test-oracle
4,68,0.1,0.8439417711804842,38,0.867286107,-0.023344335819515782,per-rate-test-oracle
4,68,0.2,0.8342459623790567,31,0.861594735,-0.027348772620943262,per-rate-test-oracle
4,68,0.3,0.8179398839624563,25,0.850936006,-0.03299612203754365,per-rate-test-oracle
4,68,0.4,0.8117595642539303,28,0.84242421,-0.030664645746069752,per-rate-test-oracle
4,68,0.5,0.7972917852878723,51,0.826778484,-0.029486698712127724,per-rate-test-oracle
4,68,0.6,0.7909822258458935,57,0.812216001,-0.021233775154106516,per-rate-test-oracle
4,68,0.7,0.7953989763596584,97,0.827147396,-0.031748419640341585,per-rate-test-oracle
4,69,0.0,0.8402846788891568,30,0.858882645,-0.01859796611084319,per-rate-test-oracle
4,69,0.1,0.8322346442193946,44,0.854278087,-0.022043442780605327,per-rate-test-oracle
4,69,0.2,0.823250921596182,26,0.8441216,-0.020870678403818066,per-rate-test-oracle
4,69,0.3,0.8182524477117213,30,0.850270212,-0.03201776428827863,per-rate-test-oracle
4,69,0.4,0.8139799437241981,49,0.838486555,-0.024506611275801893,per-rate-test-oracle
4,69,0.5,0.8037673962777395,39,0.801919486,0.0018479102777395617,per-rate-test-oracle
4,69,0.6,0.8019040125272732,36,0.828863196,-0.026959183472726855,per-rate-test-oracle
4,69,0.7,0.7858908996946108,44,0.818709469,-0.03281856930538918,per-rate-test-oracle
4,70,0.0,0.8487885254078809,48,0.864593441,-0.015804915592119162,per-rate-test-oracle
4,70,0.1,0.8419318815887809,64,0.862405769,-0.020473887411219138,per-rate-test-oracle
4,70,0.2,0.837460860079102,51,0.862682289,-0.02522142892089796,per-rate-test-oracle
4,70,0.3,0.8301643464268517,64,0.843062589,-0.01289824257314831,per-rate-test-oracle
4,70,0.4,0.8349393120753913,64,0.847213522,-0.012274209924608703,per-rate-test-oracle
4,70,0.5,0.8159117239494522,64,0.840304534,-0.02439281005054783,per-rate-test-oracle
4,70,0.6,0.8111522844136461,64,0.838853737,-0.027701452586353925,per-rate-test-oracle
4,70,0.7,0.7914557993276369,64,0.826335271,-0.03487947167236316,per-rate-test-oracle
6,66,0.0,0.6641327307053256,42,0.668702262,-0.0045695312946744115,per-rate-test-oracle
6,66,0.1,0.6562357052652318,37,0.660370441,-0.004134735734768191,per-rate-test-oracle
6,66,0.2,0.6487484054674255,42,0.646055297,0.0026931084674255423,per-rate-test-oracle
6,66,0.3,0.6380206985887281,51,0.662547046,-0.02452634741127191,per-rate-test-oracle
6,66,0.4,0.6564644027232385,42,0.647477292,0.008987110723238434,per-rate-test-oracle
6,66,0.5,0.6265645016597804,46,0.642832729,-0.0162682273402196,per-rate-test-oracle
6,66,0.6,0.6182322708714411,41,0.634401428,-0.01616915712855893,per-rate-test-oracle
6,66,0.7,0.6071813586406805,46,0.627532132,-0.020350773359319563,per-rate-test-oracle
6,67,0.0,0.6683577010465704,40,0.666345904,0.002011797046570396,per-rate-test-oracle
6,67,0.1,0.6553202891443943,38,0.657486351,-0.002166061855605639,per-rate-test-oracle
6,67,0.2,0.6475325356824164,40,0.663392695,-0.015860159317583555,per-rate-test-oracle
6,67,0.3,0.6557373802041229,34,0.64444023,0.011297150204122919,per-rate-test-oracle
6,67,0.4,0.6240929754844893,38,0.650333846,-0.026240870515510717,per-rate-test-oracle
6,67,0.5,0.6198637260033367,38,0.624706527,-0.004842800996663232,per-rate-test-oracle
6,67,0.6,0.6156898246163303,38,0.647049517,-0.03135969238366976,per-rate-test-oracle
6,67,0.7,0.591830357825896,37,0.622560349,-0.03072999117410402,per-rate-test-oracle
6,68,0.0,0.6621896660103038,61,0.668124496,-0.005934829989696189,per-rate-test-oracle
6,68,0.1,0.6587855137271668,46,0.657736249,0.00104926472716671,per-rate-test-oracle
6,68,0.2,0.653195770837982,37,0.651426142,0.0017696288379819292,per-rate-test-oracle
6,68,0.3,0.6388063008733147,61,0.642129703,-0.0033234021266853597,per-rate-test-oracle
6,68,0.4,0.6377741963567208,37,0.643231657,-0.005457460643279122,per-rate-test-oracle
6,68,0.5,0.6228547040617846,33,0.626611475,-0.00375677093821547,per-rate-test-oracle
6,68,0.6,0.5984344894699278,79,0.616577242,-0.018142752530072137,per-rate-test-oracle
6,68,0.7,0.6016844757051721,62,0.630601641,-0.028917165294827907,per-rate-test-oracle
6,69,0.0,0.6585851465286859,41,0.665348088,-0.006762941471314066,per-rate-test-oracle
6,69,0.1,0.6529002092607201,34,0.661168183,-0.008267973739279899,per-rate-test-oracle
6,69,0.2,0.654087255383477,41,0.656031815,-0.0019445596165229562,per-rate-test-oracle
6,69,0.3,0.6285308763458768,80,0.643831315,-0.015300438654123227,per-rate-test-oracle
6,69,0.4,0.6227067213551196,87,0.652718405,-0.030011683644880383,per-rate-test-oracle
6,69,0.5,0.6154448048174488,34,0.647379601,-0.03193479618255124,per-rate-test-oracle
6,69,0.6,0.6026090029340387,41,0.635270514,-0.03266151106596127,per-rate-test-oracle
6,69,0.7,0.5913719421465947,91,0.626250386,-0.03487844385340533,per-rate-test-oracle
6,70,0.0,0.6679012084923018,46,0.687184763,-0.019283554507698142,per-rate-test-oracle
6,70,0.1,0.6588132747806215,31,0.684614647,-0.025801372219378504,per-rate-test-oracle
6,70,0.2,0.6458266611739846,52,0.660501834,-0.014675172826015381,per-rate-test-oracle
6,70,0.3,0.6335098609815105,39,0.661463212,-0.027953351018489503,per-rate-test-oracle
6,70,0.4,0.6405933644133608,42,0.661756873,-0.02116350858663918,per-rate-test-oracle
6,70,0.5,0.6131234039464707,42,0.650301518,-0.03717811405352933,per-rate-test-oracle
6,70,0.6,0.620107612747097,52,0.623761763,-0.0036541502529029435,per-rate-test-oracle
