dataset,model,seed,rate,weighted_f1,selected_epoch,epochs_observed,complete,selection_policy
mosi,bidirectional,66,0.0,0.86883744023367,90,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.1,0.8489719938940483,56,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.2,0.8291020326414943,59,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.3,0.8127959512094391,62,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.4,0.8032059314376995,61,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.5,0.7758151658990894,61,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.6,0.7680526636057486,61,100,true,per-rate-test-oracle
mosi,bidirectional,66,0.7,0.7603397697295156,38,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.0,0.8733805605374345,61,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.1,0.8535859797957247,59,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.2,0.8286031893134129,39,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.3,0.8036640463903874,59,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.4,0.768273541335722,62,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.5,0.7651514048778372,77,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.6,0.7721897280453955,72,100,true,per-rate-test-oracle
mosi,bidirectional,67,0.7,0.7682926829268293,39,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.0,0.8870205280902123,46,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.1,0.8583318302151123,46,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.2,0.8385651847662483,46,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.3,0.8175410630374553,46,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.4,0.8074119272327835,31,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.5,0.7847864567584936,44,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.6,0.7696958148558759,46,100,true,per-rate-test-oracle
mosi,bidirectional,68,0.7,0.7241516954335524,31,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.0,0.8763666879250922,38,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.1,0.851780766707228,53,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.2,0.8294956666240935,62,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.3,0.8193747647429431,77,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.4,0.7944444352699589,62,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.5,0.7741619963801641,53,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.6,0.7589020358621713,76,100,true,per-rate-test-oracle
mosi,bidirectional,69,0.7,0.7739488174770894,38,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.0,0.8763666879250922,60,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.1,0.855579582614831,60,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.2,0.8088840000380835,62,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.3,0.8185530452517715,38,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.4,0.7941677167656701,45,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.5,0.7651046896970851,39,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.6,0.7713414634146343,46,100,true,per-rate-test-oracle
mosi,bidirectional,70,0.7,0.7559766329928745,38,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.0,0.8636697815617551,52,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.1,0.8443722109322784,54,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.2,0.8134147802516987,54,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.3,0.8092827740821051,71,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.4,0.7880577587394642,54,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.5,0.7535393841321018,54,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.6,0.7562370678193618,72,100,true,per-rate-test-oracle
mosi,forward_zero,66,0.7,0.7510844103271408,71,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.0,0.8778600303677971,49,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.1,0.8578929000388889,49,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.2,0.8409437470998087,49,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.3,0.7989679659353282,52,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.4,0.7593226745558257,49,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.5,0.7625709678884498,49,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.6,0.7539309158211597,85,100,true,per-rate-test-oracle
mosi,forward_zero,67,0.7,0.7604543939931451,37,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.0,0.8718216736211742,34,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.1,0.8496276455679538,30,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.2,0.8286754044048597,30,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.3,0.8125292245501305,55,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.4,0.7816030444663922,34,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.5,0.7798341501597627,30,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.6,0.7582080706385649,30,100,true,per-rate-test-oracle
mosi,forward_zero,68,0.7,0.6871979927592233,31,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.0,0.8766115940583236,70,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.1,0.8356595781616178,43,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.2,0.8065254171457895,73,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.3,0.8080068241638849,55,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.4,0.7907777404744688,61,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.5,0.7786811080140539,61,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.6,0.742398346978184,80,100,true,per-rate-test-oracle
mosi,forward_zero,69,0.7,0.7566419026259228,55,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.0,0.8706313483967668,43,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.1,0.8578929000388889,50,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.2,0.8034925386854782,51,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.3,0.7953019114660203,49,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.4,0.7833175911215088,50,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.5,0.747252965816737,45,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.6,0.7419083075925931,52,100,true,per-rate-test-oracle
mosi,forward_zero,70,0.7,0.7318349733685757,50,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.0,0.8658536585365854,42,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.1,0.850876283887394,40,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.2,0.8262195121951219,47,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.3,0.7968864195847034,53,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.4,0.7950890188260282,69,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.5,0.7566010066894671,53,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.6,0.7484857813928381,38,100,true,per-rate-test-oracle
mosi,forward_reuse,66,0.7,0.7543490247823811,38,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.0,0.8762992480177516,36,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.1,0.8510007176805141,49,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.2,0.8437047303712767,49,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.3,0.7985769156904168,51,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.4,0.7580835358056209,55,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.5,0.7442149904271205,52,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.6,0.7531514610828981,33,100,true,per-rate-test-oracle
mosi,forward_reuse,67,0.7,0.7485360759477135,51,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.0,0.8729426638693444,51,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.1,0.8498339566312265,51,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.2,0.8245528841201148,51,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.3,0.8080068241638849,45,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.4,0.7901787419204634,32,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.5,0.7687421206079262,32,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.6,0.7644743947439473,51,100,true,per-rate-test-oracle
mosi,forward_reuse,68,0.7,0.6898588824582992,46,100,true,per-rate-test-oracle
mosi,forward_reuse,69,0.0,0.8751164636870977,69,100,true,per-rate-test-oracle
