model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
OSRAM,66,0.0,0.865794794,0.870530557,0.866236906,,,54,0.846179900,per-rate-test-oracle
OSRAM,66,0.1,0.865872692,0.870321377,0.866236906,,,54,0.846179900,per-rate-test-oracle
OSRAM,66,0.2,0.854190106,0.854229533,0.854955681,,,73,0.846179900,per-rate-test-oracle
OSRAM,66,0.3,0.845351140,0.845193754,0.845286060,,,85,0.846179900,per-rate-test-oracle
OSRAM,66,0.4,0.847642590,0.844170064,0.848509267,,,42,0.846179900,per-rate-test-oracle
OSRAM,66,0.5,0.842758443,0.838893889,0.844480258,,,42,0.846179900,per-rate-test-oracle
OSRAM,66,0.6,0.825281331,0.819507429,0.825946817,,,45,0.846179900,per-rate-test-oracle
OSRAM,66,0.7,0.822548107,0.825534486,0.823529412,,,54,0.846179900,per-rate-test-oracle
OSRAM,67,0.0,0.856668533,0.857397564,0.857373086,,,45,0.837443874,per-rate-test-oracle
OSRAM,67,0.1,0.857063929,0.853237005,0.858984690,,,34,0.837443874,per-rate-test-oracle
OSRAM,67,0.2,0.850717488,0.847011539,0.853344077,,,34,0.837443874,per-rate-test-oracle
OSRAM,67,0.3,0.848422049,0.844540295,0.850926672,,,34,0.837443874,per-rate-test-oracle
OSRAM,67,0.4,0.833182791,0.829235954,0.835616438,,,34,0.837443874,per-rate-test-oracle
OSRAM,67,0.5,0.816397649,0.807040387,0.817082998,,,45,0.837443874,per-rate-test-oracle
OSRAM,67,0.6,0.825361693,0.818742241,0.825946817,,,45,0.837443874,per-rate-test-oracle
OSRAM,67,0.7,0.811736861,0.802622997,0.813053989,,,30,0.837443874,per-rate-test-oracle
OSRAM,68,0.0,0.867048430,0.867045348,0.867848509,,,45,0.844428921,per-rate-test-oracle
OSRAM,68,0.1,0.867286107,0.866736180,0.867848509,,,45,0.844428921,per-rate-test-oracle
OSRAM,68,0.2,0.861594735,0.859741607,0.862207897,,,45,0.844428921,per-rate-test-oracle
OSRAM,68,0.3,0.850936006,0.845888350,0.852538276,,,49,0.844428921,per-rate-test-oracle
OSRAM,68,0.4,0.842424210,0.837952133,0.842868654,,,45,0.844428921,per-rate-test-oracle
OSRAM,68,0.5,0.826778484,0.818817259,0.828364222,,,49,0.844428921,per-rate-test-oracle
OSRAM,68,0.6,0.812216001,0.799795747,0.814665592,,,49,0.844428921,per-rate-test-oracle
OSRAM,68,0.7,0.827147396,0.823313352,0.826752619,,,98,0.844428921,per-rate-test-oracle
OSRAM,69,0.0,0.858882645,0.855773722,0.860596293,,,34,0.836941406,per-rate-test-oracle
OSRAM,69,0.1,0.854278087,0.856100686,0.854955681,,,97,0.836941406,per-rate-test-oracle
OSRAM,69,0.2,0.844121600,0.838779971,0.846091861,,,34,0.836941406,per-rate-test-oracle
OSRAM,69,0.3,0.850270212,0.844910974,0.852538276,,,34,0.836941406,per-rate-test-oracle
OSRAM,69,0.4,0.838486555,0.834498295,0.841257051,,,31,0.836941406,per-rate-test-oracle
OSRAM,69,0.5,0.801919486,0.795739580,0.804190169,,,30,0.836941406,per-rate-test-oracle
OSRAM,69,0.6,0.828863196,0.822614749,0.829975826,,,30,0.836941406,per-rate-test-oracle
OSRAM,69,0.7,0.818709469,0.810750974,0.819500403,,,34,0.836941406,per-rate-test-oracle
OSRAM,70,0.0,0.864593441,0.865408334,0.866236906,,,31,0.848181394,per-rate-test-oracle
OSRAM,70,0.1,0.862405769,0.863746047,0.864625302,,,31,0.848181394,per-rate-test-oracle
OSRAM,70,0.2,0.862682289,0.862309684,0.863013699,,,38,0.848181394,per-rate-test-oracle
OSRAM,70,0.3,0.843062589,0.837713997,0.844480258,,,38,0.848181394,per-rate-test-oracle
OSRAM,70,0.4,0.847213522,0.840772575,0.848509267,,,38,0.848181394,per-rate-test-oracle
OSRAM,70,0.5,0.840304534,0.839616491,0.843674456,,,31,0.848181394,per-rate-test-oracle
OSRAM,70,0.6,0.838853737,0.833772322,0.841257051,,,56,0.848181394,per-rate-test-oracle
OSRAM,70,0.7,0.826335271,0.824437869,0.825946817,,,87,0.848181394,per-rate-test-oracle
