seed,rate,control_wf1,dual_projector_wf1,delta,selected_epoch
66,0.0,86.604,86.533,-0.071,64
66,0.1,84.679,85.259,0.580,42
66,0.2,80.882,82.315,1.433,39
66,0.3,79.962,80.235,0.273,67
66,0.4,80.137,78.810,-1.327,42
66,0.5,76.073,76.732,0.659,43
66,0.6,75.317,74.933,-0.384,43
66,0.7,74.797,75.400,0.603,58
67,0.0,87.168,87.331,0.163,60
67,0.1,85.248,84.472,-0.776,67
67,0.2,83.564,82.815,-0.749,37
67,0.3,79.321,77.394,-1.927,37
67,0.4,76.037,73.837,-2.200,47
67,0.5,74.533,70.969,-3.564,65
67,0.6,75.496,71.755,-3.741,63
67,0.7,76.342,69.430,-6.912,66
68,0.0,86.795,87.500,0.705,68
68,0.1,85.396,84.881,-0.515,41
68,0.2,81.355,81.772,0.417,41
68,0.3,81.986,80.462,-1.524,41
68,0.4,79.163,77.878,-1.285,39
68,0.5,77.817,77.258,-0.559,100
68,0.6,77.106,75.287,-1.819,41
68,0.7,69.033,68.939,-0.094,46
