model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
KV64,66,0.0,0.8701171667022102,0.866607657619942,0.8704268292682927,0.7945080399513245,0.7934155004671791,41,0.7964528065475623,per-rate-test-oracle
KV64,66,0.1,0.8543722293599155,0.8517723485383422,0.8536585365853658,0.927248477935791,0.7544975795601772,31,0.7964528065475623,per-rate-test-oracle
KV64,66,0.2,0.8192731393746572,0.8156463500745075,0.8185975609756098,0.882289707660675,0.7168371473552203,43,0.7964528065475623,per-rate-test-oracle
KV64,66,0.3,0.8120905830402696,0.8059265725786896,0.8140243902439024,0.9706751704216003,0.6782930482142607,37,0.7964528065475623,per-rate-test-oracle
KV64,66,0.4,0.7926298648130865,0.7861938595919432,0.7942073170731707,0.9983408451080322,0.6535080652557538,37,0.7964528065475623,per-rate-test-oracle
KV64,66,0.5,0.7580835358056209,0.7500867484731055,0.760670731707317,1.0422487258911133,0.6175695279794156,37,0.7964528065475623,per-rate-test-oracle
KV64,66,0.6,0.7528103089992914,0.7485792214815599,0.7515243902439024,1.0646225214004517,0.5998660175372579,38,0.7964528065475623,per-rate-test-oracle
KV64,66,0.7,0.7547981029909067,0.746568602438971,0.7576219512195121,1.0514920949935913,0.597781139051529,37,0.7964528065475623,per-rate-test-oracle
KV64,67,0.0,0.8758415087398448,0.8721755132970086,0.8765243902439024,0.750163733959198,0.8055038071808256,35,0.7957518148314235,per-rate-test-oracle
KV64,67,0.1,0.8560576321808865,0.8519158909925747,0.8567073170731707,0.8460866808891296,0.7546022261085946,39,0.7957518148314235,per-rate-test-oracle
KV64,67,0.2,0.8288213171823312,0.823076194155508,0.8307926829268293,0.8830152750015259,0.7383177623202835,28,0.7957518148314235,per-rate-test-oracle
KV64,67,0.3,0.8027682880393021,0.797340307064495,0.8033536585365854,0.9146748185157776,0.69957956734815,35,0.7957518148314235,per-rate-test-oracle
KV64,67,0.4,0.7559226182906845,0.7459258155817071,0.7621951219512195,1.0224086046218872,0.6077765999003389,28,0.7957518148314235,per-rate-test-oracle
KV64,67,0.5,0.7492397436862369,0.7412040902765171,0.7515243902439024,1.0691770315170288,0.570634305018266,39,0.7957518148314235,per-rate-test-oracle
KV64,67,0.6,0.7654938880287531,0.7575639691508709,0.7682926829268293,1.0187608003616333,0.6234532372438544,54,0.7957518148314235,per-rate-test-oracle
KV64,67,0.7,0.7691485317369933,0.7616925640330143,0.7713414634146342,1.0232950448989868,0.6107615034686099,39,0.7957518148314235,per-rate-test-oracle
KV64,68,0.0,0.8736753166697843,0.8707653016417802,0.8734756097560976,0.8883172273635864,0.7950708381330609,37,0.7982726835521375,per-rate-test-oracle
KV64,68,0.1,0.8506808374438659,0.8470556887823074,0.850609756097561,0.8769060373306274,0.7579335612412632,29,0.7982726835521375,per-rate-test-oracle
KV64,68,0.2,0.8455782720307715,0.8413284574691008,0.8460365853658537,0.8802571892738342,0.7244628549003562,56,0.7982726835521375,per-rate-test-oracle
