seed,mode,rate,selected_epoch,weighted_f1
66,flat,0.0,30,87.51164636870978
66,flat,0.1,30,86.28048780487805
66,flat,0.2,51,81.91162971876396
66,flat,0.3,30,80.41429817076767
66,flat,0.4,47,79.39383606605203
66,flat,0.5,48,77.09875569396195
66,flat,0.6,30,74.54147694902016
66,flat,0.7,29,74.82835686041683
66,cross,0.0,46,87.29426638693444
66,cross,0.1,49,85.51473890665402
66,cross,0.2,55,80.75226928710339
66,cross,0.3,46,80.86129345275687
66,cross,0.4,49,79.8780487804878
66,cross,0.5,55,74.40242927609133
66,cross,0.6,55,74.82866564900806
66,cross,0.7,88,74.19676608231332
67,flat,0.0,41,87.57562492925214
67,flat,0.1,41,85.92963916652153
67,flat,0.2,41,83.85651847662483
67,flat,0.3,54,80.47724935213554
67,flat,0.4,41,76.6343024033531
67,flat,0.5,54,76.25709678884498
67,flat,0.6,93,75.15984060146774
67,flat,0.7,59,76.36290764593038
67,cross,0.0,46,87.79883164964372
67,cross,0.1,33,86.13784575223141
67,cross,0.2,33,83.71476973935772
67,cross,0.3,43,80.63673024161217
67,cross,0.4,34,76.13313799325562
67,cross,0.5,46,75.19291107798257
67,cross,0.6,34,75.74643591540739
67,cross,0.7,33,76.06120008783873
68,flat,0.0,39,87.63666879250923
68,flat,0.1,28,85.18645315768138
68,flat,0.2,47,82.01219512195121
68,flat,0.3,47,81.71602091149379
68,flat,0.4,47,78.60132524808702
68,flat,0.5,26,77.85733982814212
68,flat,0.6,31,75.38740677467975
68,flat,0.7,48,71.1713877667324
68,cross,0.0,90,86.42959750202324
68,cross,0.1,93,84.435488939714
68,cross,0.2,93,81.98435447925007
68,cross,0.3,99,79.89031535823172
68,cross,0.4,75,77.5170749934189
68,cross,0.5,67,76.2968800279576
68,cross,0.6,54,75.12915787210758
68,cross,0.7,43,69.00277905734106
69,flat,0.0,46,87.23122621224397
69,flat,0.1,92,84.45121951219512
69,flat,0.2,46,81.13335637404957
69,flat,0.3,36,81.98435447925007
69,flat,0.4,37,78.15094651794455
69,flat,0.5,58,76.91318720460049
69,flat,0.6,91,76.27137164249103
69,flat,0.7,56,76.4749957953486
69,cross,0.0,69,87.48065311269919
69,cross,0.1,69,83.8991833808907
69,cross,0.2,92,80.7404351183497
69,cross,0.3,71,81.20299361357856
69,cross,0.4,55,77.4196963907583
69,cross,0.5,71,76.3301920611066
69,cross,0.6,70,73.78506488857981
69,cross,0.7,55,75.5060314646738
70,flat,0.0,46,87.12862485410514
70,flat,0.1,53,85.14153799043848
70,flat,0.2,51,80.76295478292805
70,flat,0.3,56,79.94355621298547
70,flat,0.4,78,77.65739661899046
70,flat,0.5,46,75.02329273741954
70,flat,0.6,65,74.09143725585736
70,flat,0.7,53,73.92653003197722
70,cross,0.0,45,87.3022123841282
70,cross,0.1,52,84.74853956205466
70,cross,0.2,45,80.91037778051724
70,cross,0.3,43,80.28837000539426
70,cross,0.4,90,76.00787985231769
70,cross,0.5,71,74.22991059926093
70,cross,0.6,89,74.82866564900806
70,cross,0.7,43,72.22802928458776
