rate,flat_mean,flat_sd,cross_mean,cross_sd,delta,positive_seeds
0.0,87.41675823136406,0.22363251911304963,87.26111220708576,0.5078251512755073,-0.15564602427829471,3
0.1,85.3978675263429,0.7190867406514985,84.94715930830895,0.8859162943453809,-0.45070821803395233,1
0.2,81.93533089486353,1.1953096313654312,81.62044128091563,1.2797429565497118,-0.31488961394790066,1
0.3,80.90709582532651,0.8903471381837074,80.57594053431471,0.5077144699468057,-0.3311552910117939,3
0.4,78.08756137088544,1.0333595596528224,77.39116760204766,1.557029869159349,-0.6963937688377712,1
0.5,76.62993445059381,1.0638203511695492,75.29046460847981,1.0020982264306086,-1.3394698421140077,0
0.6,75.0903066447032,0.8347113390585674,74.86359799482219,0.709858972133906,-0.2267086498810272,3
0.7,74.55283562008108,2.172177519600399,73.39896119535094,2.8662367578586645,-1.1538744247301538,0
all8,80.00221132052006,0.46770925105372785,79.4186055914157,0.5876573040262981,-0.583605729104363,0
high,75.42435890512604,0.876699663000675,74.51767459955097,0.9290993424223427,-0.9066843055750639,0
