model,seed,rate,weighted_f1,selected_epoch,selection_8rate_mean
lr1e-3,66,0.0,0.868837440,90,0.808390119
lr1e-3,66,0.1,0.848971994,56,0.808390119
lr1e-3,66,0.2,0.829102033,59,0.808390119
lr1e-3,66,0.3,0.812795951,62,0.808390119
lr1e-3,66,0.4,0.803205931,61,0.808390119
lr1e-3,66,0.5,0.775815166,61,0.808390119
lr1e-3,66,0.6,0.768052664,61,0.808390119
lr1e-3,66,0.7,0.760339770,38,0.808390119
lr1e-3,67,0.0,0.873380561,61,0.804142642
lr1e-3,67,0.1,0.853585980,59,0.804142642
lr1e-3,67,0.2,0.828603189,39,0.804142642
lr1e-3,67,0.3,0.803664046,59,0.804142642
lr1e-3,67,0.4,0.768273541,62,0.804142642
lr1e-3,67,0.5,0.765151405,77,0.804142642
lr1e-3,67,0.6,0.772189728,72,0.804142642
lr1e-3,67,0.7,0.768292683,39,0.804142642
lr1e-3,68,0.0,0.887020528,46,0.810938063
lr1e-3,68,0.1,0.858331830,46,0.810938063
lr1e-3,68,0.2,0.838565185,46,0.810938063
lr1e-3,68,0.3,0.817541063,46,0.810938063
lr1e-3,68,0.4,0.807411927,31,0.810938063
lr1e-3,68,0.5,0.784786457,44,0.810938063
lr1e-3,68,0.6,0.769695815,46,0.810938063
lr1e-3,68,0.7,0.724151695,31,0.810938063
lr1e-3,69,0.0,0.876366688,38,0.809809396
lr1e-3,69,0.1,0.851780767,53,0.809809396
lr1e-3,69,0.2,0.829495667,62,0.809809396
lr1e-3,69,0.3,0.819374765,77,0.809809396
lr1e-3,69,0.4,0.794444435,62,0.809809396
lr1e-3,69,0.5,0.774161996,53,0.809809396
lr1e-3,69,0.6,0.758902036,76,0.809809396
lr1e-3,69,0.7,0.773948817,38,0.809809396
lr1e-3,70,0.0,0.876366688,60,0.805746727
lr1e-3,70,0.1,0.855579583,60,0.805746727
lr1e-3,70,0.2,0.808884000,62,0.805746727
lr1e-3,70,0.3,0.818553045,38,0.805746727
lr1e-3,70,0.4,0.794167717,45,0.805746727
lr1e-3,70,0.5,0.765104690,39,0.805746727
lr1e-3,70,0.6,0.771341463,46,0.805746727
lr1e-3,70,0.7,0.755976633,38,0.805746727
lr5e-4,66,0.0,0.873506026,28,0.808381469
lr5e-4,66,0.1,0.858759680,30,0.808381469
lr5e-4,66,0.2,0.825542532,47,0.808381469
lr5e-4,66,0.3,0.817323375,31,0.808381469
lr5e-4,66,0.4,0.797103790,31,0.808381469
lr5e-4,66,0.5,0.761557624,39,0.808381469
lr5e-4,66,0.6,0.769266967,31,0.808381469
lr5e-4,66,0.7,0.763991759,46,0.808381469
lr5e-4,67,0.0,0.878048780,30,0.800340222
lr5e-4,67,0.1,0.865571405,33,0.800340222
lr5e-4,67,0.2,0.824652103,33,0.800340222
lr5e-4,67,0.3,0.804918465,33,0.800340222
lr5e-4,67,0.4,0.753489367,34,0.800340222
lr5e-4,67,0.5,0.750633809,39,0.800340222
lr5e-4,67,0.6,0.765309079,75,0.800340222
lr5e-4,67,0.7,0.760098767,39,0.800340222
lr5e-4,68,0.0,0.880913530,54,0.807325688
