dataset,missing_rate,target_modality,missing_count,no_history_count,no_history_ratio
CMUMOSI,0.1,audio,77,1,0.012987012987012988
CMUMOSI,0.1,text,73,2,0.0273972602739726
CMUMOSI,0.1,visual,65,5,0.07692307692307693
CMUMOSI,0.3,audio,164,11,0.06707317073170732
CMUMOSI,0.3,text,211,16,0.07582938388625593
CMUMOSI,0.3,visual,196,11,0.05612244897959184
CMUMOSI,0.5,audio,345,26,0.07536231884057971
CMUMOSI,0.5,text,309,15,0.04854368932038835
CMUMOSI,0.5,visual,311,33,0.10610932475884244
CMUMOSI,0.7,audio,423,61,0.14420803782505912
CMUMOSI,0.7,text,382,51,0.13350785340314136
CMUMOSI,0.7,visual,408,24,0.058823529411764705
