dataset,missing_rate,target_modality,history_query_count,distance_mean,distance_median,distance_p90
CMUMOSI,0.1,audio,76,1.118421052631579,1.0,1.5
CMUMOSI,0.1,text,71,1.1126760563380282,1.0,1.0
CMUMOSI,0.1,visual,60,1.1333333333333333,1.0,2.0
CMUMOSI,0.3,audio,153,1.2745098039215685,1.0,2.0
CMUMOSI,0.3,text,195,1.405128205128205,1.0,2.0
CMUMOSI,0.3,visual,185,1.281081081081081,1.0,2.0
CMUMOSI,0.5,audio,319,1.8025078369905956,1.0,3.0
CMUMOSI,0.5,text,294,1.6360544217687074,1.0,3.0
CMUMOSI,0.5,visual,278,1.8669064748201438,1.0,4.0
CMUMOSI,0.7,audio,362,2.2596685082872927,2.0,4.0
CMUMOSI,0.7,text,331,2.093655589123867,2.0,4.0
CMUMOSI,0.7,visual,384,2.3984375,2.0,5.0
