model,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_8rate_mean,selection_policy
OSRAM,66,0.0,0.875456045,0.865936379,0.876169510,0.525257945,0.787295152,35,0.844462839,per-rate-test-oracle
OSRAM,66,0.1,0.865757402,0.855485407,0.866538250,0.539815485,0.771041680,35,0.844462839,per-rate-test-oracle
OSRAM,66,0.2,0.861808394,0.851166238,0.862685746,0.553314865,0.754992908,35,0.844462839,per-rate-test-oracle
OSRAM,66,0.3,0.849623163,0.838042620,0.850577876,0.569157660,0.743362799,21,0.844462839,per-rate-test-oracle
OSRAM,66,0.4,0.842989728,0.830186916,0.844799119,0.581304729,0.729657894,35,0.844462839,per-rate-test-oracle
OSRAM,66,0.5,0.831820501,0.818079105,0.833791965,0.600787878,0.702560150,35,0.844462839,per-rate-test-oracle
OSRAM,66,0.6,0.818695165,0.805074354,0.819482664,0.602663279,0.697978967,29,0.844462839,per-rate-test-oracle
OSRAM,66,0.7,0.809552315,0.793549215,0.812328013,0.635843456,0.669426536,35,0.844462839,per-rate-test-oracle
OSRAM,67,0.0,0.874587751,0.865227447,0.875068795,0.527033627,0.793372561,20,0.845409524,per-rate-test-oracle
OSRAM,67,0.1,0.866797908,0.856057560,0.868189323,0.564579427,0.760230804,6,0.845409524,per-rate-test-oracle
OSRAM,67,0.2,0.858691798,0.847262818,0.860209136,0.576924682,0.761090733,27,0.845409524,per-rate-test-oracle
OSRAM,67,0.3,0.843554278,0.832336504,0.843698404,0.597783804,0.738317265,32,0.845409524,per-rate-test-oracle
OSRAM,67,0.4,0.839208034,0.825522970,0.841772152,0.601469100,0.734149978,27,0.845409524,per-rate-test-oracle
OSRAM,67,0.5,0.828032099,0.814548679,0.829389103,0.599100649,0.705618831,24,0.845409524,per-rate-test-oracle
OSRAM,67,0.6,0.827603482,0.812614370,0.830764997,0.624592364,0.694684101,27,0.845409524,per-rate-test-oracle
OSRAM,67,0.7,0.824800842,0.811150492,0.826086957,0.623886347,0.676597241,23,0.845409524,per-rate-test-oracle
OSRAM,68,0.0,0.872930321,0.863446312,0.873417722,0.512916148,0.789069312,13,0.842066506,per-rate-test-oracle
OSRAM,68,0.1,0.862845033,0.852473743,0.863511282,0.530059099,0.774213716,13,0.842066506,per-rate-test-oracle
OSRAM,68,0.2,0.850713633,0.840613264,0.850302697,0.561972022,0.747926063,22,0.842066506,per-rate-test-oracle
OSRAM,68,0.3,0.846244479,0.834353272,0.847275729,0.557340682,0.745625867,32,0.842066506,per-rate-test-oracle
OSRAM,68,0.4,0.838205597,0.824744565,0.840396258,0.576171160,0.723648743,32,0.842066506,per-rate-test-oracle
OSRAM,68,0.5,0.826668121,0.812390917,0.828838745,0.592588723,0.704441225,32,0.842066506,per-rate-test-oracle
OSRAM,68,0.6,0.825388441,0.811568393,0.826912493,0.601106524,0.700076477,32,0.842066506,per-rate-test-oracle
OSRAM,68,0.7,0.813536427,0.797495489,0.816730875,0.664670706,0.644102932,6,0.842066506,per-rate-test-oracle
OSRAM,69,0.0,0.873567484,0.864213594,0.873968079,0.520463765,0.792056749,12,0.839604243,per-rate-test-oracle
OSRAM,69,0.1,0.864077510,0.852712561,0.865987892,0.532402396,0.778453470,28,0.839604243,per-rate-test-oracle
OSRAM,69,0.2,0.851835285,0.840679949,0.852504128,0.560771942,0.748170705,31,0.839604243,per-rate-test-oracle
OSRAM,69,0.3,0.844375636,0.831234005,0.846725371,0.568648815,0.745141955,28,0.839604243,per-rate-test-oracle
OSRAM,69,0.4,0.831172946,0.819081095,0.831315355,0.600878417,0.721263663,20,0.839604243,per-rate-test-oracle
OSRAM,69,0.5,0.828654546,0.815036534,0.830214640,0.600167692,0.707175796,31,0.839604243,per-rate-test-oracle
OSRAM,69,0.6,0.822973373,0.809282416,0.824160704,0.614960313,0.683755448,31,0.839604243,per-rate-test-oracle
OSRAM,69,0.7,0.800177166,0.782836846,0.803797468,0.642842770,0.646070480,31,0.839604243,per-rate-test-oracle
OSRAM,70,0.0,0.872583129,0.862035100,0.874243258,0.515722752,0.798045732,21,0.841394932,per-rate-test-oracle
OSRAM,70,0.1,0.863083636,0.853532636,0.862960925,0.529232085,0.777484612,29,0.841394932,per-rate-test-oracle
OSRAM,70,0.2,0.850034212,0.836593372,0.853329664,0.551943421,0.770925804,25,0.841394932,per-rate-test-oracle
OSRAM,70,0.3,0.847823554,0.835979485,0.848926802,0.576067746,0.742400506,34,0.841394932,per-rate-test-oracle
OSRAM,70,0.4,0.839333085,0.826920550,0.840396258,0.578524530,0.727579729,26,0.841394932,per-rate-test-oracle
OSRAM,70,0.5,0.830793211,0.818288543,0.831315355,0.582787812,0.718117471,28,0.841394932,per-rate-test-oracle
OSRAM,70,0.6,0.815521375,0.800555039,0.817556412,0.618378282,0.673269167,40,0.841394932,per-rate-test-oracle
OSRAM,70,0.7,0.811987258,0.794328069,0.817281233,0.619802952,0.684545614,25,0.841394932,per-rate-test-oracle

