spec_id,group,learning_rate,batch_size,optimizer,lr_schedule,weight_decay,dropout,projector_dropout,epochs,latent_dim,output_dim,heads,key_dim,value_dim,all8_mean,high_missing_mean,parameter_count,trainable_parameter_count,selected_epochs
cfg01_baseline,optimization,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.8082770924240813,0.7608799198640175,7181217,6321057,"{""0.0"": 79, ""0.1"": 79, ""0.2"": 79, ""0.3"": 63, ""0.4"": 79, ""0.5"": 39, ""0.6"": 39, ""0.7"": 79}"
cfg11_capacity_baseline,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,700,8,32,32,0.8082770924240813,0.7608799198640175,7181217,6321057,"{""0.0"": 79, ""0.1"": 79, ""0.2"": 79, ""0.3"": 63, ""0.4"": 79, ""0.5"": 39, ""0.6"": 39, ""0.7"": 79}"
cfg56_adam_lr1e3_constant400,schedule,0.001,32,adam,constant,1e-05,0.5,0.1,400,256,700,8,32,32,0.8082770924240813,0.7608799198640175,7181217,6321057,"{""0.0"": 79, ""0.1"": 79, ""0.2"": 79, ""0.3"": 63, ""0.4"": 79, ""0.5"": 39, ""0.6"": 39, ""0.7"": 79}"
cfg35_lr1e3_b32_d0,optimization,0.001,32,adam,constant,1e-05,0.0,0.1,100,256,700,8,32,32,0.8066200981277264,0.7578242044490643,7181217,6321057,"{""0.0"": 35, ""0.1"": 48, ""0.2"": 38, ""0.3"": 59, ""0.4"": 38, ""0.5"": 29, ""0.6"": 36, ""0.7"": 36}"
cfg17_heads4_kv64,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,700,4,64,64,0.806082430879036,0.7585508069123272,7181201,6321041,"{""0.0"": 46, ""0.1"": 46, ""0.2"": 48, ""0.3"": 46, ""0.4"": 70, ""0.5"": 49, ""0.6"": 70, ""0.7"": 45}"
cfg23_adamw_lr1e3_wd1e3_d3,schedule,0.001,32,adamw,constant,0.001,0.3,0.1,100,256,700,8,32,32,0.8060227257977858,0.7558384447349757,7181217,6321057,"{""0.0"": 35, ""0.1"": 49, ""0.2"": 50, ""0.3"": 48, ""0.4"": 53, ""0.5"": 50, ""0.6"": 49, ""0.7"": 48}"
cfg18_out1024_kv48,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,1024,8,48,48,0.8058560213722928,0.7620220408836441,10641577,9781417,"{""0.0"": 48, ""0.1"": 49, ""0.2"": 50, ""0.3"": 83, ""0.4"": 83, ""0.5"": 69, ""0.6"": 83, ""0.7"": 74}"
cfg29_long200_clip05,schedule,0.001,32,adam,constant,1e-05,0.5,0.1,200,256,700,8,32,32,0.8056017571179918,0.7573820366369549,7181217,6321057,"{""0.0"": 60, ""0.1"": 58, ""0.2"": 73, ""0.3"": 69, ""0.4"": 51, ""0.5"": 73, ""0.6"": 99, ""0.7"": 67}"
cfg47_lat512_out1400_kv32,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,512,1400,8,32,32,0.8054813355577337,0.7558007521476192,19051577,16943161,"{""0.0"": 60, ""0.1"": 58, ""0.2"": 68, ""0.3"": 72, ""0.4"": 66, ""0.5"": 58, ""0.6"": 68, ""0.7"": 70}"
cfg07_lr3e4_b8_d1,optimization,0.0003,8,adam,constant,1e-05,0.1,0.1,100,256,700,8,32,32,0.8051175584984925,0.7556118767719215,7181217,6321057,"{""0.0"": 21, ""0.1"": 27, ""0.2"": 25, ""0.3"": 25, ""0.4"": 25, ""0.5"": 25, ""0.6"": 25, ""0.7"": 13}"
cfg12_out1400,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,1400,8,32,32,0.8047666538669896,0.7590142274596298,10447417,9587257,"{""0.0"": 73, ""0.1"": 53, ""0.2"": 64, ""0.3"": 50, ""0.4"": 64, ""0.5"": 66, ""0.6"": 71, ""0.7"": 52}"
cfg15_lat512_out1024_kv64,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,512,1024,8,64,64,0.804745430544989,0.7569246516280213,23155241,21046825,"{""0.0"": 57, ""0.1"": 39, ""0.2"": 44, ""0.3"": 44, ""0.4"": 39, ""0.5"": 39, ""0.6"": 37, ""0.7"": 44}"
cfg26_adam_cosine_lr3e4,schedule,0.0003,32,adam,cosine,1e-05,0.5,0.1,100,256,700,8,32,32,0.804684535197027,0.7549986436908015,7181217,6321057,"{""0.0"": 20, ""0.1"": 21, ""0.2"": 21, ""0.3"": 23, ""0.4"": 39, ""0.5"": 37, ""0.6"": 21, ""0.7"": 23}"
cfg42_out900_kv32,capacity,0.001,32,adam,constant,1e-05,0.5,0.1,100,256,900,8,32,32,0.8043873507752249,0.7547819440045452,8014417,7154257,"{""0.0"": 38, ""0.1"": 43, ""0.2"": 43, ""0.3"": 43, ""0.4"": 69, ""0.5"": 40, ""0.6"": 43, ""0.7"": 64}"
