variant,seed,rate,epoch,weighted_f1
local-only,66,0.0,70,0.8662614719398258
local-only,66,0.1,100,0.846939184899391
local-only,66,0.2,82,0.8027682880393021
local-only,66,0.3,70,0.7837238413610561
local-only,66,0.4,77,0.7714528536368606
local-only,66,0.5,62,0.7178310902703395
local-only,66,0.6,96,0.7215594135665457
local-only,66,0.7,70,0.7218100413794285
local-only,67,0.0,60,0.8745902621363877
local-only,67,0.1,60,0.8520230647244718
local-only,67,0.2,60,0.827523897969573
local-only,67,0.3,51,0.784309815102498
local-only,67,0.4,96,0.750362005099341
local-only,67,0.5,96,0.7158792164642459
local-only,67,0.6,96,0.7370272008384146
local-only,67,0.7,54,0.712096989052575
local-only,68,0.0,50,0.8693359208607496
local-only,68,0.1,63,0.8412180394781362
local-only,68,0.2,53,0.8112001490194376
local-only,68,0.3,49,0.8000845207055967
local-only,68,0.4,64,0.7595073674741071
local-only,68,0.5,64,0.7393919332549034
local-only,68,0.6,42,0.7327460034182223
local-only,68,0.7,55,0.6765747943716943
local-only,69,0.0,94,0.8758415087398448
local-only,69,0.1,91,0.8339163710477264
local-only,69,0.2,91,0.7854770809017523
local-only,69,0.3,79,0.7919968100306334
local-only,69,0.4,78,0.746547612549328
local-only,69,0.5,78,0.723028535383876
local-only,69,0.6,83,0.711778370608166
local-only,69,0.7,78,0.7198823814630548
local-only,70,0.0,79,0.8735649667511216
local-only,70,0.1,76,0.8368502171591558
local-only,70,0.2,78,0.7961348229925844
local-only,70,0.3,78,0.7854770809017523
local-only,70,0.4,78,0.7615576241929698
local-only,70,0.5,39,0.719075998859293
local-only,70,0.6,94,0.7299276141342081
local-only,70,0.7,94,0.7116075533702221
local-base,66,0.0,91,0.8701905689075172
local-base,66,0.1,82,0.8561491053166145
local-base,66,0.2,81,0.8288213171823312
local-base,66,0.3,81,0.8038087491246328
local-base,66,0.4,99,0.801431971149622
local-base,66,0.5,81,0.7616202953348697
local-base,66,0.6,100,0.7478745000689963
local-base,66,0.7,82,0.7515160731832858
local-base,67,0.0,68,0.8792146880240689
local-base,67,0.1,68,0.8524848440455829
local-base,67,0.2,55,0.8471523232006217
local-base,67,0.3,67,0.7977369511140466
local-base,67,0.4,55,0.7595970960971697
local-base,67,0.5,55,0.7436736409405698
local-base,67,0.6,84,0.7418923856093307
local-base,67,0.7,76,0.755060314646738
local-base,68,0.0,69,0.8701171667022102
local-base,68,0.1,44,0.8488926185751124
local-base,68,0.2,51,0.8204098978477578
local-base,68,0.3,69,0.8185065623187143
local-base,68,0.4,32,0.7767094911208852
local-base,68,0.5,32,0.7781711802046493
local-base,68,0.6,69,0.7644717565123909
local-base,68,0.7,73,0.6802994446096865
local-base,69,0.0,76,0.8737756912967359
local-base,69,0.1,72,0.8391609782470143
local-base,69,0.2,86,0.8148899635548079
local-base,69,0.3,72,0.821418549225133
local-base,69,0.4,76,0.7784748744180489
local-base,69,0.5,39,0.7551552566117409
local-base,69,0.6,55,0.7484857813928381
local-base,69,0.7,44,0.7667694094523363
local-base,70,0.0,62,0.8674305200219836
local-base,70,0.1,72,0.8485410225287999
local-base,70,0.2,74,0.8003833668964494
local-base,70,0.3,65,0.797811684734357
local-base,70,0.4,74,0.7780323645910232
local-base,70,0.5,53,0.7514634149246953
local-base,70,0.6,67,0.7530337479184741
local-base,70,0.7,72,0.7404033122474936
raw-gap,66,0.0,84,0.8710169447638597
raw-gap,66,0.1,84,0.8555553041615758
raw-gap,66,0.2,84,0.8237255988281746
raw-gap,66,0.3,55,0.8130585990715268
raw-gap,66,0.4,60,0.7971627675460429
raw-gap,66,0.5,84,0.7649176566915971
raw-gap,66,0.6,63,0.7583568465554785
raw-gap,66,0.7,63,0.7510713262579447
raw-gap,67,0.0,59,0.8825337730287043
raw-gap,67,0.1,58,0.8686265998961025
raw-gap,67,0.2,58,0.8488101920216966
raw-gap,67,0.3,44,0.8133033282637145
raw-gap,67,0.4,59,0.7784351667272998
raw-gap,67,0.5,53,0.7590115723256237
raw-gap,67,0.6,55,0.7498952308373102
raw-gap,67,0.7,55,0.7568086198808376
raw-gap,68,0.0,58,0.8813096953389464
raw-gap,68,0.1,58,0.8557642113351108
raw-gap,68,0.2,58,0.8223105656036547
raw-gap,68,0.3,56,0.8075473340557365
raw-gap,68,0.4,58,0.7959220260252572
raw-gap,68,0.5,63,0.7828270393093542
raw-gap,68,0.6,57,0.7646535263944395
raw-gap,68,0.7,59,0.7006831630795963
raw-gap,69,0.0,82,0.8683917346513707
raw-gap,69,0.1,48,0.8443548893971401
raw-gap,69,0.2,70,0.8101227843047949
raw-gap,69,0.3,43,0.8105682981428105
raw-gap,69,0.4,71,0.7761318967786598
raw-gap,69,0.5,71,0.761116921491684
raw-gap,69,0.6,54,0.7562136121532507
raw-gap,69,0.7,100,0.761415620649713
raw-gap,70,0.0,73,0.8734445609739246
raw-gap,70,0.1,73,0.8473250379597463
raw-gap,70,0.2,75,0.808418116189328
raw-gap,70,0.3,72,0.8036332306816031
raw-gap,70,0.4,73,0.7777409724355246
raw-gap,70,0.5,83,0.7471869874641247
raw-gap,70,0.6,85,0.7559246559238869
raw-gap,70,0.7,61,0.7419295227259338
full,66,0.0,76,0.8820513840478106
full,66,0.1,76,0.8650658007980964
full,66,0.2,76,0.8318675555206839
full,66,0.3,76,0.8076295478292804
full,66,0.4,76,0.8082658168094468
full,66,0.5,48,0.7749401851535997
full,66,0.6,76,0.7578955627319776
full,66,0.7,39,0.7577317787056731
full,67,0.0,69,0.8832149267689338
full,67,0.1,70,0.8610275502421655
full,67,0.2,70,0.8487247000413978
full,67,0.3,70,0.8006653875426425
full,67,0.4,72,0.7711450035342037
full,67,0.5,70,0.7669330109990555
full,67,0.6,87,0.7553635340152728
full,67,0.7,72,0.7573890151510694
full,68,0.0,44,0.8873002233273808
full,68,0.1,54,0.8492592525313034
full,68,0.2,48,0.8223465051128567
full,68,0.3,88,0.821689217490197
full,68,0.4,48,0.7904710488729533
full,68,0.5,88,0.7779243756284419
full,68,0.6,87,0.7621951219512195
full,68,0.7,57,0.6930749849773997
full,69,0.0,58,0.8767694750707192
full,69,0.1,38,0.8418689212991277
full,69,0.2,52,0.8182667964705242
full,69,0.3,64,0.8179473823748501
full,69,0.4,76,0.7901722224930735
full,69,0.5,59,0.7725757592696139
full,69,0.6,93,0.7596626292468323
full,69,0.7,62,0.7655649974052932
full,70,0.0,39,0.8736213935363453
full,70,0.1,50,0.8520978604153094
full,70,0.2,39,0.8188095176444695
full,70,0.3,50,0.8185530452517715
full,70,0.4,100,0.7917088346403606
full,70,0.5,37,0.7451058551619247
full,70,0.6,59,0.7484138862734644
full,70,0.7,73,0.7527091090521181
