variant,seed,rate,pattern,count,excluded_original_neutral,weighted_f1
no-JEPA,66,0.0,ATV,656,30,0.8746649050245099
no-JEPA,66,0.1,V,8,0,0.7500000000000001
no-JEPA,66,0.1,T,6,1,0.6666666666666666
no-JEPA,66,0.1,TV,60,2,0.9015873015873016
no-JEPA,66,0.1,A,6,1,0.8285714285714286
no-JEPA,66,0.1,AV,55,3,0.7276352759902112
no-JEPA,66,0.1,AT,50,1,0.8432597623089982
no-JEPA,66,0.1,ATV,471,22,0.8801142240632687
no-JEPA,66,0.2,V,30,2,0.7127086007702182
no-JEPA,66,0.2,T,23,0,0.7301003344481607
no-JEPA,66,0.2,TV,85,2,0.9413887979616573
no-JEPA,66,0.2,A,21,0,0.756456358287022
no-JEPA,66,0.2,AV,93,3,0.5930596285434995
no-JEPA,66,0.2,AT,77,5,0.845219435736677
no-JEPA,66,0.2,ATV,327,18,0.8807001996424554
no-JEPA,66,0.3,V,41,0,0.6849323521698216
no-JEPA,66,0.3,T,41,2,0.9030281607163896
no-JEPA,66,0.3,TV,77,3,0.8949232585596222
no-JEPA,66,0.3,A,47,1,0.7259267883303743
no-JEPA,66,0.3,AV,114,8,0.6802925427713203
no-JEPA,66,0.3,AT,100,5,0.8594166666666666
no-JEPA,66,0.3,ATV,236,11,0.8465595062638173
no-JEPA,66,0.4,V,93,3,0.6873003049830599
no-JEPA,66,0.4,T,68,3,0.8382003028336579
no-JEPA,66,0.4,TV,100,2,0.8778125
no-JEPA,66,0.4,A,69,4,0.7212864156157217
no-JEPA,66,0.4,AV,90,4,0.7702214825246448
no-JEPA,66,0.4,AT,97,6,0.8763676244790524
no-JEPA,66,0.4,ATV,139,8,0.8561151079136691
no-JEPA,66,0.5,V,118,4,0.6425508861543223
no-JEPA,66,0.5,T,120,9,0.8995475113122171
no-JEPA,66,0.5,TV,89,5,0.9324643738010415
no-JEPA,66,0.5,A,99,3,0.6745638200183655
no-JEPA,66,0.5,AV,84,1,0.6503657262277952
no-JEPA,66,0.5,AT,76,4,0.8181444377990431
no-JEPA,66,0.5,ATV,70,4,0.8041343669250647
no-JEPA,66,0.6,V,155,6,0.6361929587736039
no-JEPA,66,0.6,T,136,8,0.8384828029572485
no-JEPA,66,0.6,TV,78,5,0.8717948717948718
no-JEPA,66,0.6,A,129,7,0.6959458561038201
no-JEPA,66,0.6,AV,64,2,0.5964912280701755
no-JEPA,66,0.6,AT,61,2,0.9016393442622951
no-JEPA,66,0.6,ATV,33,0,0.8794612794612795
no-JEPA,66,0.7,V,170,3,0.6705882352941176
no-JEPA,66,0.7,T,189,13,0.8676028743469733
no-JEPA,66,0.7,TV,46,2,0.9132081686429511
no-JEPA,66,0.7,A,161,7,0.633730255892626
no-JEPA,66,0.7,AV,37,4,0.6256347256347257
no-JEPA,66,0.7,AT,37,1,0.9459459459459459
no-JEPA,66,0.7,ATV,16,0,0.873015873015873
no-JEPA,67,0.0,ATV,656,30,0.8697969823904403
no-JEPA,67,0.1,V,6,0,0.8380952380952381
no-JEPA,67,0.1,T,7,0,0.6714285714285715
no-JEPA,67,0.1,TV,58,1,0.8790554948769959
no-JEPA,67,0.1,A,5,0,0.4
no-JEPA,67,0.1,AV,59,3,0.765819209039548
no-JEPA,67,0.1,AT,55,6,0.8705516705516704
no-JEPA,67,0.1,ATV,466,20,0.8603666549305783
no-JEPA,67,0.2,V,24,0,0.6018518518518519
no-JEPA,67,0.2,T,14,2,0.789152024446142
no-JEPA,67,0.2,TV,81,4,0.8658312447786131
no-JEPA,67,0.2,A,18,1,0.7213622291021671
no-JEPA,67,0.2,AV,92,1,0.6851178274740687
no-JEPA,67,0.2,AT,75,5,0.9063660762211486
no-JEPA,67,0.2,ATV,352,17,0.8787321746880569
no-JEPA,67,0.3,V,50,3,0.662060606060606
no-JEPA,67,0.3,T,56,2,0.8368012955783481
no-JEPA,67,0.3,TV,89,4,0.864117358499381
no-JEPA,67,0.3,A,45,4,0.6497354497354497
no-JEPA,67,0.3,AV,99,4,0.6621997732192558
no-JEPA,67,0.3,AT,95,2,0.926163356903925
no-JEPA,67,0.3,ATV,222,11,0.8375657764970743
no-JEPA,67,0.4,V,90,4,0.5613472886247147
no-JEPA,67,0.4,T,88,2,0.9088530517101945
no-JEPA,67,0.4,TV,81,4,0.8242487770789658
no-JEPA,67,0.4,A,75,4,0.6399999999999999
no-JEPA,67,0.4,AV,89,3,0.6384291480309806
no-JEPA,67,0.4,AT,86,7,0.7921707699652185
no-JEPA,67,0.4,ATV,147,6,0.8361507253503812
no-JEPA,67,0.5,V,119,1,0.658242879452666
no-JEPA,67,0.5,T,105,5,0.8233122822299652
no-JEPA,67,0.5,TV,78,7,0.8833474218089603
no-JEPA,67,0.5,A,121,4,0.6037393307139954
no-JEPA,67,0.5,AV,80,5,0.6665991902834008
no-JEPA,67,0.5,AT,77,4,0.8530138906588504
no-JEPA,67,0.5,ATV,76,4,0.8923872180451126
no-JEPA,67,0.6,V,147,14,0.5986394557823129
no-JEPA,67,0.6,T,149,4,0.8178096557344395
no-JEPA,67,0.6,TV,58,0,0.8953266787658802
no-JEPA,67,0.6,A,139,9,0.6714784099290033
no-JEPA,67,0.6,AV,64,1,0.7327437975927291
no-JEPA,67,0.6,AT,67,1,0.8935999786398955
no-JEPA,67,0.6,ATV,32,1,0.8665458937198067
no-JEPA,67,0.7,V,177,10,0.7002017305359792
no-JEPA,67,0.7,T,163,8,0.8528680224039811
no-JEPA,67,0.7,TV,38,3,0.7606542784021364
no-JEPA,67,0.7,A,164,4,0.7095263343937785
no-JEPA,67,0.7,AV,52,3,0.6119248068273556
no-JEPA,67,0.7,AT,44,2,0.9083139083139083
no-JEPA,67,0.7,ATV,18,0,0.9442724458204333
no-JEPA,68,0.0,ATV,656,30,0.8747369905986095
no-JEPA,68,0.1,V,3,0,0.3333333333333333
no-JEPA,68,0.1,T,8,0,0.7333333333333334
no-JEPA,68,0.1,TV,71,4,0.887458081824279
no-JEPA,68,0.1,A,4,0,1.0
no-JEPA,68,0.1,AV,53,4,0.6407337601807184
no-JEPA,68,0.1,AT,47,3,0.8712605983042713
no-JEPA,68,0.1,ATV,470,19,0.8676600209194346
no-JEPA,68,0.2,V,29,0,0.6258085532132719
no-JEPA,68,0.2,T,19,0,0.8947368421052632
no-JEPA,68,0.2,TV,94,3,0.8302572186701394
no-JEPA,68,0.2,A,23,2,0.5959079283887468
no-JEPA,68,0.2,AV,86,5,0.7458607696113881
no-JEPA,68,0.2,AT,79,4,0.8729626871845786
no-JEPA,68,0.2,ATV,326,16,0.8584877953269807
no-JEPA,68,0.3,V,41,0,0.6787672527888069
no-JEPA,68,0.3,T,59,4,0.782919505311336
no-JEPA,68,0.3,TV,97,5,0.8360064366677866
no-JEPA,68,0.3,A,47,2,0.6672316213189673
no-JEPA,68,0.3,AV,92,5,0.686683979122207
no-JEPA,68,0.3,AT,93,3,0.9041482341275178
no-JEPA,68,0.3,ATV,227,11,0.8593162885805645
no-JEPA,68,0.4,V,65,5,0.5715244755244755
no-JEPA,68,0.4,T,64,4,0.9217790469172193
no-JEPA,68,0.4,TV,104,4,0.9126448893572181
no-JEPA,68,0.4,A,85,2,0.7141509433962264
no-JEPA,68,0.4,AV,89,3,0.5735728067188742
no-JEPA,68,0.4,AT,92,4,0.835538752362949
no-JEPA,68,0.4,ATV,157,8,0.8777030029585208
no-JEPA,68,0.5,V,98,7,0.6434150042397466
no-JEPA,68,0.5,T,116,1,0.8628856624319419
no-JEPA,68,0.5,TV,86,4,0.8377401415571284
no-JEPA,68,0.5,A,109,7,0.7098378757701159
no-JEPA,68,0.5,AV,83,5,0.6615540174883932
no-JEPA,68,0.5,AT,88,4,0.8629227914942201
no-JEPA,68,0.5,ATV,76,2,0.8819458432850853
no-JEPA,68,0.6,V,150,2,0.6026196308998858
no-JEPA,68,0.6,T,140,10,0.8360440239087761
no-JEPA,68,0.6,TV,64,3,0.8904906656841072
no-JEPA,68,0.6,A,150,4,0.7101612903225807
no-JEPA,68,0.6,AV,44,8,0.6671185956900243
no-JEPA,68,0.6,AT,70,3,0.8564408564408564
no-JEPA,68,0.6,ATV,38,0,0.9735104452253157
no-JEPA,68,0.7,V,195,8,0.6251048227653623
no-JEPA,68,0.7,T,131,6,0.8994098681858813
no-JEPA,68,0.7,TV,42,2,0.7868601986249045
no-JEPA,68,0.7,A,177,11,0.6023410154436764
no-JEPA,68,0.7,AV,45,1,0.6011857707509881
no-JEPA,68,0.7,AT,44,2,0.8856749311294766
no-JEPA,68,0.7,ATV,22,0,0.7722567287784678
no-JEPA,69,0.0,ATV,656,30,0.8737267460601196
no-JEPA,69,0.1,V,7,0,0.7142857142857143
no-JEPA,69,0.1,T,6,1,1.0
no-JEPA,69,0.1,TV,49,3,0.8576318845895226
no-JEPA,69,0.1,A,8,1,0.5769230769230769
no-JEPA,69,0.1,AV,56,2,0.6138040042149632
