seed,pattern,n_all,n_scored,n_zero_excluded,true_positive,old_wf1,new_wf1,delta_wf1,old_accuracy,new_accuracy,old_correct_to_new_wrong,old_wrong_to_new_correct,net_extra_errors,old_tn,old_fp,old_fn,old_tp,new_tn,new_fp,new_fn,new_tp
66,ALL,686,656,30,277,0.7535393841321018,0.736103678730224,-0.017435705401877777,0.7545731707317073,0.7347560975609756,42,29,13,306,73,88,189,277,102,72,205
66,NO_TEXT,309,301,8,128,0.6306278225817223,0.588612842391604,-0.04201498019011829,0.6312292358803987,0.5880398671096345,36,23,13,119,54,57,71,90,83,41,87
66,TEXT_PRESENT,377,355,22,149,0.8581932285094654,0.8581932285094654,0.0,0.8591549295774648,0.8591549295774648,6,6,0,187,19,31,118,187,19,31,118
67,ALL,686,656,30,277,0.7625709678884498,0.7431732779406195,-0.01939768994783031,0.7637195121951219,0.7423780487804879,48,34,14,310,69,86,191,287,92,77,200
67,NO_TEXT,330,320,10,129,0.6439538456387593,0.6254468295644106,-0.018507016074348792,0.646875,0.621875,35,27,8,140,51,62,67,116,75,46,83
67,TEXT_PRESENT,356,336,20,148,0.8746885719443943,0.8561608604161797,-0.01852771152821464,0.875,0.8571428571428571,13,7,6,170,18,24,124,171,17,31,117
68,ALL,686,656,30,277,0.7798341501597627,0.7597623996659827,-0.02007175049377996,0.7820121951219512,0.7591463414634146,46,31,15,323,56,87,190,294,85,73,204
68,NO_TEXT,309,290,19,130,0.6970729384181412,0.6423039435209821,-0.05476899489715914,0.7,0.6413793103448275,36,19,17,125,35,52,78,102,58,46,84
68,TEXT_PRESENT,377,366,11,147,0.8455389525605687,0.8524590163934426,0.006920063832873913,0.8469945355191257,0.8524590163934426,10,12,-2,198,21,35,112,192,27,27,120
69,ALL,686,656,30,277,0.7786811080140539,0.7654784053974846,-0.013202702616569306,0.7789634146341463,0.7667682926829268,43,35,8,309,70,75,202,312,67,86,191
69,NO_TEXT,325,316,9,139,0.6900999712313004,0.6565461743999434,-0.03355379683135695,0.689873417721519,0.6582278481012658,35,25,10,127,50,48,91,128,49,59,80
69,TEXT_PRESENT,361,340,21,138,0.8611432916042167,0.866858493540246,0.005715201936029368,0.861764705882353,0.8676470588235294,8,10,-2,182,20,27,111,184,18,27,111
70,ALL,686,656,30,277,0.7414546858936947,0.7432159029770444,0.0017612170833497531,0.7423780487804879,0.7439024390243902,25,26,-1,301,78,91,186,300,79,89,188
70,NO_TEXT,325,309,16,136,0.5992666813132921,0.6063030562359213,0.007036374922629207,0.598705501618123,0.6051779935275081,19,21,-2,109,64,60,76,107,66,56,80
70,TEXT_PRESENT,361,347,14,141,0.8687268362109317,0.8654440623169314,-0.003282773894000335,0.8703170028818443,0.8674351585014409,6,5,1,192,14,31,110,193,13,33,108
