seed,source,npz_sha256,epoch,selection_protocol,write_step,full_mask_sha256
66,/data2/yb/remote_experiments/osram_forward_only_mosi_20260908/seed_66,96da196985ca24c39fc52c12fe5f7b69bfb13cf0d3380ef633d21ab51e69705e,54,8-rate-mean-test-oracle,1.0,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
66,/data2/yb/remote_experiments/osram_write_step_train_20260909/mosi/seed_66,354bfd11de7723d7fa87729d8a9f0c07def03aa8128ccebbc00ba1163bfa4236,30,8-rate-mean-test-oracle,0.6,d42e61495e88243750c9e238cae18b61f31063f90528f3fc353de7fab35d464d
67,/data2/yb/remote_experiments/osram_forward_only_mosi_20260908/seed_67,16be14a1e6b00351a7292c9428fd41c4cf0a44a630220fd22d414499133a5a89,49,8-rate-mean-test-oracle,1.0,1392c5ca7ea69bfecd51c8ac6242fb63dea6c4c502dc502c5a6ffef78506dd36
67,/data2/yb/remote_experiments/osram_write_step_train_20260909/mosi/seed_67,72d9771b7bb9f8a868ad7c5a33efe2a1198b3863f77c98dfdac6979fed73c6c9,41,8-rate-mean-test-oracle,0.6,1392c5ca7ea69bfecd51c8ac6242fb63dea6c4c502dc502c5a6ffef78506dd36
68,/data2/yb/remote_experiments/osram_forward_only_mosi_20260908/seed_68,b94fe2dcdf83125877ed67dd0c545ddd241cf03a801a7a89642d873ae716802d,30,8-rate-mean-test-oracle,1.0,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
68,/data2/yb/remote_experiments/osram_write_step_train_20260909/mosi/seed_68,af038b268916e56de0dbacbbb9b7b48e63e8bb3b28f647851a9fab28a51e4ac6,47,8-rate-mean-test-oracle,0.6,4ffe04d56ca4b12bde5c23ab0d4ee8574a1acd6031f14474bee586cffc7a17d2
69,/data2/yb/remote_experiments/osram_forward_only_mosi_20260908/seed_69,410e17ed6d5394b193cba1dbe5f39f3e14b4b24fbb7240f047a6e464d05a740b,61,8-rate-mean-test-oracle,1.0,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
69,/data2/yb/remote_experiments/osram_write_step_train_20260909/mosi/seed_69,7e32cd09189aa5f72d8f9970a918f238284d4c8755508c3510c449012da36770,46,8-rate-mean-test-oracle,0.6,5a558876a823dc6ee223ff20f6093d59cd08e259b6bfeca4ed575f53d3abb27e
70,/data2/yb/remote_experiments/osram_forward_only_mosi_20260908/seed_70,1c4b9e1abcd7934ff14e642f5de6f40df2992274e160f1732fefee0ed464c650,50,8-rate-mean-test-oracle,1.0,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
70,/data2/yb/remote_experiments/osram_write_step_train_20260909/mosi/seed_70,4167450b20d0c92a6069c90836e9920c75c1a9cc591f3a55d69f335d75adc4b9,53,8-rate-mean-test-oracle,0.6,b2599e91da8f17be24e596d48f887de70a3520f3554884c979d1aa9e5203c5d4
