pattern,n_seeds,n_scored_mean,old_mean,old_sd,new_mean,new_sd,delta_mean,delta_sd,positive_seeds,negative_seeds,net_extra_errors_sum
A,5,114.4,0.6542782122791171,0.078263990435363,0.625498369574297,0.02420965577133969,-0.0287798427048201,0.06455798621784305,1,4,15
T,5,115.4,0.8587488222324942,0.024906345575986994,0.8539614879047764,0.033928449229236844,-0.0047873343277176515,0.019051062412441994,2,3,2
V,5,112.4,0.6247119520491718,0.03786204877549035,0.5920356185375422,0.04225850677135566,-0.032676333511629685,0.01031007934042808,0,5,19
AT,5,77.8,0.8435703172892627,0.046680188889536116,0.8445436919748772,0.04703634956935768,0.0009733746856145364,0.03434563167613913,2,2,1
AV,5,80.4,0.6796708286894242,0.02649050794471863,0.657607545567388,0.03871732231200616,-0.02206328312203627,0.01941522101111886,1,4,12
TV,5,83.4,0.8800378744126162,0.0400879305417904,0.8888916894900922,0.04874195171615882,0.008853815077476046,0.02750817508360434,2,2,-4
ATV,5,72.2,0.8608468618096863,0.013698562766731806,0.8501356588732224,0.03129872010501468,-0.010711202936463859,0.035340309877457565,3,2,4
ALL,5,656,0.7632160592176126,0.016454028635218134,0.749546732942271,0.012445823366544333,-0.01366932627534152,0.009032029173243986,1,4,49
NO_TEXT,5,307.2,0.6522042518366431,0.04118641298633797,0.6238425692225723,0.027210705394298863,-0.028361682614070793,0.023774217425304656,1,4,46
TEXT_PRESENT,5,348.8,0.8616581761659153,0.011088930369841724,0.859823132235253,0.006152035980848703,-0.001835043930662339,0.010219669568963663,2,2,3
