variant,seed,rate,epoch,weighted_f1
external-beta-r1,66,0.0,85,0.8716079514885221
external-beta-r1,66,0.1,85,0.8520230647244718
external-beta-r1,66,0.2,67,0.8232548688111065
external-beta-r1,66,0.3,71,0.816982474744656
external-beta-r1,66,0.4,71,0.8004459113782764
external-beta-r1,66,0.5,67,0.7666020905250794
external-beta-r1,66,0.6,74,0.7493298100490197
external-beta-r1,66,0.7,74,0.7522392983670096
external-beta-r1,67,0.0,51,0.8730989760252875
external-beta-r1,67,0.1,31,0.8537281672919504
external-beta-r1,67,0.2,70,0.8362031931809621
external-beta-r1,67,0.3,51,0.7967694997117817
external-beta-r1,67,0.4,70,0.7510633965337797
external-beta-r1,67,0.5,47,0.7377327048126239
external-beta-r1,67,0.6,50,0.7513932793905823
external-beta-r1,67,0.7,76,0.7527989419836932
external-beta-r1,68,0.0,55,0.8662447409344605
external-beta-r1,68,0.1,55,0.8507489444065315
external-beta-r1,68,0.2,77,0.8132407561530454
external-beta-r1,68,0.3,67,0.8192170828608603
external-beta-r1,68,0.4,55,0.7876166491980338
external-beta-r1,68,0.5,67,0.7831785188761832
external-beta-r1,68,0.6,55,0.7652439024390244
external-beta-r1,68,0.7,86,0.689357334457837
external-beta-r1,69,0.0,44,0.8744332536046032
external-beta-r1,69,0.1,84,0.8445861777476973
external-beta-r1,69,0.2,84,0.8212201000489247
external-beta-r1,69,0.3,46,0.822628476665185
external-beta-r1,69,0.4,84,0.7717617691314775
external-beta-r1,69,0.5,42,0.7736415575316654
external-beta-r1,69,0.6,48,0.7603209608215276
external-beta-r1,69,0.7,84,0.7694698802700808
external-beta-r1,70,0.0,42,0.8806343639861269
external-beta-r1,70,0.1,42,0.8489719938940483
external-beta-r1,70,0.2,42,0.8201219512195121
external-beta-r1,70,0.3,43,0.8107923475776901
external-beta-r1,70,0.4,41,0.7746988286752168
external-beta-r1,70,0.5,99,0.7527934210892833
external-beta-r1,70,0.6,51,0.7474004558901984
external-beta-r1,70,0.7,43,0.7405853715543115
embedded-r05,66,0.0,84,0.8736753166697843
embedded-r05,66,0.1,66,0.8539776716460986
embedded-r05,66,0.2,52,0.820764494240104
embedded-r05,66,0.3,78,0.8068615999359697
embedded-r05,66,0.4,52,0.8035802381468498
embedded-r05,66,0.5,47,0.7613586942291134
embedded-r05,66,0.6,52,0.7555843718997257
embedded-r05,66,0.7,47,0.7533591070176435
embedded-r05,67,0.0,62,0.8781068060766253
embedded-r05,67,0.1,62,0.8640818897972828
embedded-r05,67,0.2,62,0.8425204160313808
embedded-r05,67,0.3,85,0.8006200781173701
embedded-r05,67,0.4,62,0.7687421206079262
