group,seed,rate,pattern,count,weighted_f1
PAM-A,66,0.0,V,0,None
PAM-A,66,0.0,T,0,None
PAM-A,66,0.0,TV,0,None
PAM-A,66,0.0,A,0,None
PAM-A,66,0.0,AV,0,None
PAM-A,66,0.0,AT,0,None
PAM-A,66,0.0,ATV,686,86.58098082438549
PAM-A,66,0.1,V,8,75.00000000000001
PAM-A,66,0.1,T,7,72.72727272727273
PAM-A,66,0.1,TV,62,92.00538497385182
PAM-A,66,0.1,A,7,70.23809523809523
PAM-A,66,0.1,AV,58,75.9774234746426
PAM-A,66,0.1,AT,51,84.64912280701753
PAM-A,66,0.1,ATV,493,85.62876909732896
PAM-A,66,0.2,V,32,69.80676328502415
PAM-A,66,0.2,T,23,67.9040596660734
PAM-A,66,0.2,TV,87,87.40401306672936
PAM-A,66,0.2,A,21,64.47058823529413
PAM-A,66,0.2,AV,96,63.515406162464984
PAM-A,66,0.2,AT,82,85.36585365853658
PAM-A,66,0.2,ATV,345,86.95115777757664
PAM-A,66,0.3,V,41,66.43950263032042
PAM-A,66,0.3,T,43,90.7996736026112
PAM-A,66,0.3,TV,80,85.0
PAM-A,66,0.3,A,48,77.33472283165132
PAM-A,66,0.3,AV,122,68.70162346683603
PAM-A,66,0.3,AT,105,82.05695061876727
PAM-A,66,0.3,ATV,247,80.82426317720436
PAM-A,66,0.4,V,96,66.94616977225672
PAM-A,66,0.4,T,71,81.624291201756
PAM-A,66,0.4,TV,102,87.14819881440948
PAM-A,66,0.4,A,73,64.99890117940078
PAM-A,66,0.4,AV,94,70.66482838930101
PAM-A,66,0.4,AT,103,85.43689320388349
PAM-A,66,0.4,ATV,147,85.68572713707404
PAM-A,66,0.5,V,122,60.73712875190287
PAM-A,66,0.5,T,129,84.5811233510132
PAM-A,66,0.5,TV,94,89.39064987697208
PAM-A,66,0.5,A,102,65.63172043010752
PAM-A,66,0.5,AV,85,60.93466635666124
PAM-A,66,0.5,AT,80,79.14901299951855
PAM-A,66,0.5,ATV,74,82.79878687028639
PAM-A,66,0.6,V,161,62.482662968099866
PAM-A,66,0.6,T,144,85.4846625766871
PAM-A,66,0.6,TV,83,84.29956824130535
PAM-A,66,0.6,A,136,64.14471664517714
PAM-A,66,0.6,AV,66,54.23483732762083
PAM-A,66,0.6,AT,63,88.92374727668845
PAM-A,66,0.6,ATV,33,87.87878787878788
PAM-A,66,0.7,V,173,67.70583014007057
PAM-A,66,0.7,T,202,86.06948694869486
PAM-A,66,0.7,TV,48,85.37139689578716
PAM-A,66,0.7,A,168,67.68606771567688
PAM-A,66,0.7,AV,41,49.88793671720501
PAM-A,66,0.7,AT,38,89.47368421052632
PAM-A,66,0.7,ATV,16,93.72549019607843
PAM-A,67,0.0,V,0,None
PAM-A,67,0.0,T,0,None
PAM-A,67,0.0,TV,0,None
PAM-A,67,0.0,A,0,None
PAM-A,67,0.0,AV,0,None
PAM-A,67,0.0,AT,0,None
PAM-A,67,0.0,ATV,686,86.58098082438549
PAM-A,67,0.1,V,6,66.66666666666666
PAM-A,67,0.1,T,7,71.42857142857143
PAM-A,67,0.1,TV,59,86.4406779661017
PAM-A,67,0.1,A,5,44.99999999999999
PAM-A,67,0.1,AV,62,76.82795698924733
PAM-A,67,0.1,AT,61,80.42514862186994
PAM-A,67,0.1,ATV,486,86.1966963738072
PAM-A,67,0.2,V,24,58.333333333333336
PAM-A,67,0.2,T,16,81.02226720647774
PAM-A,67,0.2,TV,85,82.87127935286264
PAM-A,67,0.2,A,19,68.42105263157895
PAM-A,67,0.2,AV,93,68.57920861072695
PAM-A,67,0.2,AT,80,90.0250626566416
PAM-A,67,0.2,ATV,369,88.28044187949006
PAM-A,67,0.3,V,53,71.570675068144
PAM-A,67,0.3,T,58,84.5458960660515
PAM-A,67,0.3,TV,93,87.0442969594073
PAM-A,67,0.3,A,49,68.1076731767976
PAM-A,67,0.3,AV,103,60.52532550613382
PAM-A,67,0.3,AT,97,92.7301394784718
PAM-A,67,0.3,ATV,233,80.03434120997571
PAM-A,67,0.4,V,94,58.59316072082029
PAM-A,67,0.4,T,90,88.91101155909517
PAM-A,67,0.4,TV,85,81.40954495005549
PAM-A,67,0.4,A,79,63.29408758550199
PAM-A,67,0.4,AV,92,66.19983003382212
PAM-A,67,0.4,AT,93,80.03625138066784
PAM-A,67,0.4,ATV,153,79.81658072033845
PAM-A,67,0.5,V,120,67.80789230002138
PAM-A,67,0.5,T,110,83.66921135071019
PAM-A,67,0.5,TV,85,84.81320949432406
PAM-A,67,0.5,A,125,56.823529411764696
PAM-A,67,0.5,AV,85,64.08220860217371
PAM-A,67,0.5,AT,81,86.50336242558294
PAM-A,67,0.5,ATV,80,83.94927536231883
PAM-A,67,0.6,V,161,58.67047105986958
PAM-A,67,0.6,T,153,84.96474980365335
PAM-A,67,0.6,TV,58,83.01563503962304
PAM-A,67,0.6,A,148,66.558680442528
