group,seed,rate,weighted_f1,selected_epoch,selection_protocol
PAM-A,66,0.0,87.45902621363877,61,per-rate-test-oracle
PAM-A,66,0.1,85.56618191405096,62,per-rate-test-oracle
PAM-A,66,0.2,81.9414615453771,54,per-rate-test-oracle
PAM-A,66,0.3,80.60643890758136,73,per-rate-test-oracle
PAM-A,66,0.4,79.36076895688205,61,per-rate-test-oracle
PAM-A,66,0.5,75.73890151510693,77,per-rate-test-oracle
PAM-A,66,0.6,74.02797409601715,61,per-rate-test-oracle
PAM-A,66,0.7,76.02091014475289,73,per-rate-test-oracle
PAM-A,67,0.0,87.45902621363877,53,per-rate-test-oracle
PAM-A,67,0.1,85.14153799043848,53,per-rate-test-oracle
PAM-A,67,0.2,84.21194493852346,53,per-rate-test-oracle
PAM-A,67,0.3,79.9827633388112,70,per-rate-test-oracle
PAM-A,67,0.4,76.35310654004094,49,per-rate-test-oracle
PAM-A,67,0.5,75.9914473006473,49,per-rate-test-oracle
PAM-A,67,0.6,74.91805242727752,49,per-rate-test-oracle
PAM-A,67,0.7,74.6559563013179,91,per-rate-test-oracle
PAM-A,68,0.0,87.14278888043047,54,per-rate-test-oracle
PAM-A,68,0.1,84.42428201388779,52,per-rate-test-oracle
PAM-A,68,0.2,81.97546026701633,47,per-rate-test-oracle
PAM-A,68,0.3,80.9585793299882,44,per-rate-test-oracle
PAM-A,68,0.4,78.80577587394642,44,per-rate-test-oracle
PAM-A,68,0.5,77.06031891763857,48,per-rate-test-oracle
PAM-A,68,0.6,75.74221711322987,49,per-rate-test-oracle
PAM-A,68,0.7,69.38637284363897,34,per-rate-test-oracle
PAM-A,69,0.0,87.74154748010011,44,per-rate-test-oracle
PAM-A,69,0.1,84.51850911447447,44,per-rate-test-oracle
PAM-A,69,0.2,81.36330835735409,46,per-rate-test-oracle
PAM-A,69,0.3,80.94970272331163,46,per-rate-test-oracle
PAM-A,69,0.4,77.55060426988828,46,per-rate-test-oracle
PAM-A,69,0.5,75.8279451574005,44,per-rate-test-oracle
PAM-A,69,0.6,75.35393841321017,44,per-rate-test-oracle
PAM-A,69,0.7,75.51474133048757,47,per-rate-test-oracle
PAM-A,70,0.0,87.87383070937852,46,per-rate-test-oracle
PAM-A,70,0.1,84.92592525313034,48,per-rate-test-oracle
PAM-A,70,0.2,81.9414615453771,46,per-rate-test-oracle
PAM-A,70,0.3,80.49184654167556,46,per-rate-test-oracle
PAM-A,70,0.4,78.51823508113624,46,per-rate-test-oracle
PAM-A,70,0.5,75.00658543464344,46,per-rate-test-oracle
PAM-A,70,0.6,75.43899482714525,38,per-rate-test-oracle
PAM-A,70,0.7,74.82866564900806,46,per-rate-test-oracle
