group,seed,rate,pattern,count,weighted_f1
PAM-E,66,0.0,V,0,None
PAM-E,66,0.0,T,0,None
PAM-E,66,0.0,TV,0,None
PAM-E,66,0.0,A,0,None
PAM-E,66,0.0,AV,0,None
PAM-E,66,0.0,AT,0,None
PAM-E,66,0.0,ATV,686,85.72374408275023
PAM-E,66,0.1,V,8,63.095238095238095
PAM-E,66,0.1,T,7,44.44444444444445
PAM-E,66,0.1,TV,62,87.6036866359447
PAM-E,66,0.1,A,7,71.42857142857143
PAM-E,66,0.1,AV,58,68.96551724137932
PAM-E,66,0.1,AT,51,84.73118279569893
PAM-E,66,0.1,ATV,493,86.77424276268908
PAM-E,66,0.2,V,32,67.14285714285715
PAM-E,66,0.2,T,23,67.9040596660734
PAM-E,66,0.2,TV,87,88.58851104401715
PAM-E,66,0.2,A,21,90.47619047619048
PAM-E,66,0.2,AV,96,64.74402601330914
PAM-E,66,0.2,AT,82,87.90009045178286
PAM-E,66,0.2,ATV,345,82.67896354852877
PAM-E,66,0.3,V,41,68.76329245667225
PAM-E,66,0.3,T,43,93.0545241352355
PAM-E,66,0.3,TV,80,81.15145723841376
PAM-E,66,0.3,A,48,75.17391304347825
PAM-E,66,0.3,AV,122,62.295081967213115
PAM-E,66,0.3,AT,105,84.6020646020646
PAM-E,66,0.3,ATV,247,83.89051025676146
PAM-E,66,0.4,V,96,70.679012345679
PAM-E,66,0.4,T,71,81.588115759232
PAM-E,66,0.4,TV,102,88.23529411764706
PAM-E,66,0.4,A,73,64.88879409976107
PAM-E,66,0.4,AV,94,68.66722938556916
PAM-E,66,0.4,AT,103,84.40446968309215
PAM-E,66,0.4,ATV,147,85.13680197353666
PAM-E,66,0.5,V,122,67.54309179319606
PAM-E,66,0.5,T,129,84.59723626558812
PAM-E,66,0.5,TV,94,87.25716928769658
PAM-E,66,0.5,A,102,67.31332674537543
PAM-E,66,0.5,AV,85,62.63750741057902
PAM-E,66,0.5,AT,80,80.36105738233397
PAM-E,66,0.5,ATV,74,85.34246799862325
PAM-E,66,0.6,V,161,61.67052125956235
PAM-E,66,0.6,T,144,86.78915353123497
PAM-E,66,0.6,TV,83,81.88411720150617
PAM-E,66,0.6,A,136,69.32825642191406
PAM-E,66,0.6,AV,66,60.98296790745182
PAM-E,66,0.6,AT,63,90.39987789987791
PAM-E,66,0.6,ATV,33,84.90496766358837
PAM-E,66,0.7,V,173,67.14494338520475
PAM-E,66,0.7,T,202,87.02790391821136
PAM-E,66,0.7,TV,48,85.37139689578716
PAM-E,66,0.7,A,168,63.52221821554602
PAM-E,66,0.7,AV,41,65.85365853658537
PAM-E,66,0.7,AT,38,86.70794633642932
PAM-E,66,0.7,ATV,16,93.72549019607843
PAM-E,67,0.0,V,0,None
PAM-E,67,0.0,T,0,None
PAM-E,67,0.0,TV,0,None
PAM-E,67,0.0,A,0,None
PAM-E,67,0.0,AV,0,None
PAM-E,67,0.0,AT,0,None
