group,seed,rate,weighted_f1,selected_epoch,selection_protocol
PAM-E,66,0.0,86.72044163908976,67,per-rate-test-oracle
PAM-E,66,0.1,85.22385756007085,50,per-rate-test-oracle
PAM-E,66,0.2,81.91575152362941,39,per-rate-test-oracle
PAM-E,66,0.3,80.52261667100656,92,per-rate-test-oracle
PAM-E,66,0.4,80.11064387884159,50,per-rate-test-oracle
PAM-E,66,0.5,77.52636846925961,50,per-rate-test-oracle
PAM-E,66,0.6,74.96130622539839,37,per-rate-test-oracle
PAM-E,66,0.7,75.49917143504452,37,per-rate-test-oracle
PAM-E,67,0.0,87.38661660891802,48,per-rate-test-oracle
PAM-E,67,0.1,85.43042641706506,48,per-rate-test-oracle
PAM-E,67,0.2,84.40953696646342,38,per-rate-test-oracle
PAM-E,67,0.3,80.28360818099374,48,per-rate-test-oracle
PAM-E,67,0.4,75.90186889263553,64,per-rate-test-oracle
PAM-E,67,0.5,74.22816736191791,63,per-rate-test-oracle
PAM-E,67,0.6,74.54587682218785,97,per-rate-test-oracle
PAM-E,67,0.7,76.207378246737,48,per-rate-test-oracle
PAM-E,68,0.0,87.74958571752225,42,per-rate-test-oracle
PAM-E,68,0.1,84.78934079646862,41,per-rate-test-oracle
PAM-E,68,0.2,83.04343860746299,52,per-rate-test-oracle
PAM-E,68,0.3,81.98435447925007,41,per-rate-test-oracle
PAM-E,68,0.4,79.43888214908755,64,per-rate-test-oracle
PAM-E,68,0.5,77.82340352462303,45,per-rate-test-oracle
PAM-E,68,0.6,76.05539851521112,42,per-rate-test-oracle
PAM-E,68,0.7,68.51337857932808,41,per-rate-test-oracle
PAM-E,69,0.0,87.20121463804566,48,per-rate-test-oracle
PAM-E,69,0.1,84.21194493852346,48,per-rate-test-oracle
PAM-E,69,0.2,81.36330835735409,80,per-rate-test-oracle
PAM-E,69,0.3,81.42787641782195,61,per-rate-test-oracle
PAM-E,69,0.4,77.8560382254,80,per-rate-test-oracle
PAM-E,69,0.5,76.82213211539438,54,per-rate-test-oracle
PAM-E,69,0.6,75.2981060778225,72,per-rate-test-oracle
PAM-E,69,0.7,75.74398689813503,51,per-rate-test-oracle
PAM-E,70,0.0,87.466490502451,46,per-rate-test-oracle
PAM-E,70,0.1,85.19452929473324,46,per-rate-test-oracle
PAM-E,70,0.2,81.31811821922145,46,per-rate-test-oracle
PAM-E,70,0.3,80.81057856655404,46,per-rate-test-oracle
PAM-E,70,0.4,77.60021151422976,48,per-rate-test-oracle
PAM-E,70,0.5,75.3986633400657,46,per-rate-test-oracle
PAM-E,70,0.6,74.66952121561302,46,per-rate-test-oracle
PAM-E,70,0.7,74.92520169242735,46,per-rate-test-oracle
