group,seed,rate,mode,weighted_f1,prior_write_coverage,t_missing_count,normal_minus_zero_abs
PAM-T,66,0.0,Normal,0.873022123841282,None,0,
PAM-T,66,0.0,Zero,0.873022123841282,None,0,0.0
PAM-T,66,0.0,Shuffle,0.873022123841282,None,0,
PAM-T,66,0.0,Oracle-Fusion,0.873022123841282,None,0,
PAM-T,66,0.1,Normal,0.853510484138485,0.9726027397260274,73,
PAM-T,66,0.1,Zero,0.8520230647244718,0.9726027397260274,73,0.0014874194140132024
PAM-T,66,0.1,Shuffle,0.853510484138485,0.9726027397260274,73,
PAM-T,66,0.1,Oracle-Fusion,0.854918871131931,0.9726027397260274,73,
PAM-T,66,0.2,Normal,0.8232191870468965,0.9463087248322147,149,
PAM-T,66,0.2,Zero,0.8172070660204245,0.9463087248322147,149,0.006012121026471973
PAM-T,66,0.2,Shuffle,0.8216138800142248,0.9463087248322147,149,
PAM-T,66,0.2,Oracle-Fusion,0.830840748289351,0.9463087248322147,149,
PAM-T,66,0.3,Normal,0.8140243902439024,0.8909952606635071,211,
PAM-T,66,0.3,Zero,0.8123591439289691,0.8909952606635071,211,0.0016652463149332553
PAM-T,66,0.3,Shuffle,0.8110655494187693,0.8909952606635071,211,
PAM-T,66,0.3,Oracle-Fusion,0.8155931223616567,0.8909952606635071,211,
PAM-T,66,0.4,Normal,0.8104688807687709,0.908745247148289,263,
PAM-T,66,0.4,Zero,0.7957317073170732,0.908745247148289,263,0.014737173451697672
PAM-T,66,0.4,Shuffle,0.7935947200411303,0.908745247148289,263,
PAM-T,66,0.4,Oracle-Fusion,0.8087682587971116,0.908745247148289,263,
PAM-T,66,0.5,Normal,0.76335656213705,0.8770226537216829,309,
PAM-T,66,0.5,Zero,0.7510713262579447,0.8770226537216829,309,0.01228523587910535
PAM-T,66,0.5,Shuffle,0.7377234274005793,0.8770226537216829,309,
PAM-T,66,0.5,Oracle-Fusion,0.7738542473734775,0.8770226537216829,309,
PAM-T,66,0.6,Normal,0.750276095855364,0.8181818181818182,363,
PAM-T,66,0.6,Zero,0.7529384490993444,0.8181818181818182,363,0.002662353243980342
PAM-T,66,0.6,Shuffle,0.7562370678193618,0.8181818181818182,363,
PAM-T,66,0.6,Oracle-Fusion,0.7731106706983276,0.8181818181818182,363,
PAM-T,66,0.7,Normal,0.7666654966302954,0.680628272251309,382,
PAM-T,66,0.7,Zero,0.7621157845970825,0.680628272251309,382,0.0045497120332128604
PAM-T,66,0.7,Shuffle,0.7636256608467723,0.680628272251309,382,
PAM-T,66,0.7,Oracle-Fusion,0.7727317059482189,0.680628272251309,382,
PAM-T,67,0.0,Normal,0.879482702198281,None,0,
PAM-T,67,0.0,Zero,0.879482702198281,None,0,0.0
PAM-T,67,0.0,Shuffle,0.879482702198281,None,0,
PAM-T,67,0.0,Oracle-Fusion,0.879482702198281,None,0,
PAM-T,67,0.1,Normal,0.8596865639709028,0.9452054794520548,73,
PAM-T,67,0.1,Zero,0.8596865639709028,0.9452054794520548,73,0.0
PAM-T,67,0.1,Shuffle,0.8579732106870482,0.9452054794520548,73,
PAM-T,67,0.1,Oracle-Fusion,0.8657871481460809,0.9452054794520548,73,
PAM-T,67,0.2,Normal,0.8395565000439067,0.9411764705882353,136,
PAM-T,67,0.2,Zero,0.833444366712246,0.9411764705882353,136,0.0061121333316607185
PAM-T,67,0.2,Shuffle,0.8304841546909932,0.9411764705882353,136,
PAM-T,67,0.2,Oracle-Fusion,0.8468698214690281,0.9411764705882353,136,
PAM-T,67,0.3,Normal,0.8070636094397418,0.9414634146341463,205,
PAM-T,67,0.3,Zero,0.7998027907608596,0.9414634146341463,205,0.007260818678882175
PAM-T,67,0.3,Shuffle,0.8042455953032199,0.9414634146341463,205,
