group,seed,rate,pattern,count,weighted_f1
PAM-T,66,0.0,A,0,
PAM-T,66,0.0,T,0,
PAM-T,66,0.0,V,0,
PAM-T,66,0.0,AT,0,
PAM-T,66,0.0,AV,0,
PAM-T,66,0.0,TV,0,
PAM-T,66,0.0,ATV,656,87.3022123841282
PAM-T,66,0.1,A,6,62.499999999999986
PAM-T,66,0.1,T,6,66.66666666666666
PAM-T,66,0.1,V,8,75.00000000000001
PAM-T,66,0.1,AT,50,86.32366540563262
PAM-T,66,0.1,AV,55,74.23418972332016
PAM-T,66,0.1,TV,60,88.59546293281232
PAM-T,66,0.1,ATV,471,87.01678682396253
PAM-T,66,0.2,A,21,76.19047619047619
PAM-T,66,0.2,T,23,67.9040596660734
PAM-T,66,0.2,V,30,80.0
PAM-T,66,0.2,AT,77,88.02242874201754
PAM-T,66,0.2,AV,93,61.29032258064516
PAM-T,66,0.2,TV,85,89.27367873092415
PAM-T,66,0.2,ATV,327,86.80751890314708
PAM-T,66,0.3,A,47,81.00968364159755
PAM-T,66,0.3,T,41,92.70961524204905
PAM-T,66,0.3,V,41,70.73170731707317
PAM-T,66,0.3,AT,100,81.72495755517826
PAM-T,66,0.3,AV,114,66.37797711104237
PAM-T,66,0.3,TV,77,88.21142830406855
PAM-T,66,0.3,ATV,236,85.9188586602776
PAM-T,66,0.4,A,69,72.79206894317373
PAM-T,66,0.4,T,68,77.89815817984834
PAM-T,66,0.4,V,93,72.8527810965087
PAM-T,66,0.4,AT,97,87.63676244790524
PAM-T,66,0.4,AV,90,80.11554621848741
PAM-T,66,0.4,TV,100,85.63076923076923
PAM-T,66,0.4,ATV,139,84.80725246392483
PAM-T,66,0.5,A,99,65.16594516594516
PAM-T,66,0.5,T,120,88.28054298642533
PAM-T,66,0.5,V,118,65.43321882058194
PAM-T,66,0.5,AT,76,77.89088826936255
PAM-T,66,0.5,AV,84,62.53918495297807
PAM-T,66,0.5,TV,89,91.01805251019643
PAM-T,66,0.5,ATV,70,83.12687312687312
PAM-T,66,0.6,A,129,63.125683060109296
PAM-T,66,0.6,T,136,87.52660009821575
PAM-T,66,0.6,V,155,63.562172594430656
PAM-T,66,0.6,AT,61,90.1639344262295
PAM-T,66,0.6,AV,64,57.4918324918325
PAM-T,66,0.6,TV,78,87.23019454726773
PAM-T,66,0.6,ATV,33,84.93227202904623
PAM-T,66,0.7,A,161,68.60316758861299
PAM-T,66,0.7,T,189,84.69297645815378
PAM-T,66,0.7,V,170,72.8662316609236
PAM-T,66,0.7,AT,37,89.34027194896761
PAM-T,66,0.7,AV,37,57.32909379968203
PAM-T,66,0.7,TV,46,89.14591114504447
PAM-T,66,0.7,ATV,16,80.5668016194332
PAM-T,67,0.0,A,0,
PAM-T,67,0.0,T,0,
PAM-T,67,0.0,V,0,
PAM-T,67,0.0,AT,0,
PAM-T,67,0.0,AV,0,
PAM-T,67,0.0,TV,0,
PAM-T,67,0.0,ATV,656,87.94827021982809
PAM-T,67,0.1,A,5,44.99999999999999
PAM-T,67,0.1,T,7,71.42857142857143
PAM-T,67,0.1,V,6,83.80952380952381
PAM-T,67,0.1,AT,55,85.12396694214877
PAM-T,67,0.1,AV,59,80.39791203633013
PAM-T,67,0.1,TV,58,86.1400208986416
PAM-T,67,0.1,ATV,466,87.17336588994607
PAM-T,67,0.2,A,18,66.66666666666666
PAM-T,67,0.2,T,14,78.9152024446142
PAM-T,67,0.2,V,24,60.11904761904761
PAM-T,67,0.2,AT,75,89.31428571428572
PAM-T,67,0.2,AV,92,68.51178274740687
PAM-T,67,0.2,TV,81,90.12345679012346
PAM-T,67,0.2,ATV,352,88.19262555626193
PAM-T,67,0.3,A,45,66.66666666666667
PAM-T,67,0.3,T,56,85.39682539682539
PAM-T,67,0.3,V,50,64.0
PAM-T,67,0.3,AT,95,91.57894736842105
PAM-T,67,0.3,AV,99,65.2749719416386
PAM-T,67,0.3,TV,89,87.62137851024268
PAM-T,67,0.3,ATV,222,84.96423817542347
PAM-T,67,0.4,A,75,63.92901234567903
PAM-T,67,0.4,T,88,87.51137102014295
PAM-T,67,0.4,V,90,62.40914838638738
PAM-T,67,0.4,AT,86,78.12896867729384
PAM-T,67,0.4,AV,89,66.03599603838667
PAM-T,67,0.4,TV,81,91.43284698840255
PAM-T,67,0.4,ATV,147,82.33437404812672
PAM-T,67,0.5,A,121,61.31778760723934
PAM-T,67,0.5,T,105,82.63998296785181
PAM-T,67,0.5,V,119,64.25102150952125
PAM-T,67,0.5,AT,77,88.23895205917678
PAM-T,67,0.5,AV,80,63.095238095238095
PAM-T,67,0.5,TV,78,88.39768314864742
PAM-T,67,0.5,ATV,76,86.76582761250954
PAM-T,67,0.6,A,139,66.47905205247565
PAM-T,67,0.6,T,149,82.50312327493535
PAM-T,67,0.6,V,147,62.68694345190284
PAM-T,67,0.6,AT,67,92.39999847427825
PAM-T,67,0.6,AV,64,65.77540106951872
PAM-T,67,0.6,TV,58,89.53266787658802
PAM-T,67,0.6,ATV,32,90.51079734219269
PAM-T,67,0.7,A,164,69.43963750213136
PAM-T,67,0.7,T,163,88.148562969898
PAM-T,67,0.7,V,177,67.30093833683092
PAM-T,67,0.7,AT,44,93.19965748537177
