variant,label,seed,rate,pattern,n,weighted_f1
no-jepa,baseline no-JEPA,66,0.0,ATV,656,0.8746649050245099
no-jepa,baseline no-JEPA,66,0.0,TEXT_PRESENT,656,0.8746649050245099
no-jepa,baseline no-JEPA,66,0.0,ALL,656,0.8746649050245099
no-jepa,baseline no-JEPA,66,0.1,A,6,0.8285714285714286
no-jepa,baseline no-JEPA,66,0.1,T,6,0.6666666666666666
no-jepa,baseline no-JEPA,66,0.1,V,8,0.7500000000000001
no-jepa,baseline no-JEPA,66,0.1,AT,50,0.8432597623089982
no-jepa,baseline no-JEPA,66,0.1,AV,55,0.7276352759902112
no-jepa,baseline no-JEPA,66,0.1,TV,60,0.9015873015873016
no-jepa,baseline no-JEPA,66,0.1,ATV,471,0.8801142240632687
no-jepa,baseline no-JEPA,66,0.1,NO_TEXT,69,0.7391304347826086
no-jepa,baseline no-JEPA,66,0.1,TEXT_PRESENT,587,0.8749974818036196
no-jepa,baseline no-JEPA,66,0.1,ALL,656,0.8606961736398836
no-jepa,baseline no-JEPA,66,0.2,A,21,0.756456358287022
no-jepa,baseline no-JEPA,66,0.2,T,23,0.7301003344481607
no-jepa,baseline no-JEPA,66,0.2,V,30,0.7127086007702182
no-jepa,baseline no-JEPA,66,0.2,AT,77,0.845219435736677
no-jepa,baseline no-JEPA,66,0.2,AV,93,0.5930596285434995
no-jepa,baseline no-JEPA,66,0.2,TV,85,0.9413887979616573
no-jepa,baseline no-JEPA,66,0.2,ATV,327,0.8807001996424554
no-jepa,baseline no-JEPA,66,0.2,NO_TEXT,144,0.6388888888888888
no-jepa,baseline no-JEPA,66,0.2,TEXT_PRESENT,512,0.8787626575859702
no-jepa,baseline no-JEPA,66,0.2,ALL,656,0.8260436999144509
no-jepa,baseline no-JEPA,66,0.3,A,47,0.7259267883303743
no-jepa,baseline no-JEPA,66,0.3,T,41,0.9030281607163896
no-jepa,baseline no-JEPA,66,0.3,V,41,0.6849323521698216
no-jepa,baseline no-JEPA,66,0.3,AT,100,0.8594166666666666
no-jepa,baseline no-JEPA,66,0.3,AV,114,0.6802925427713203
no-jepa,baseline no-JEPA,66,0.3,TV,77,0.8949232585596222
no-jepa,baseline no-JEPA,66,0.3,ATV,236,0.8465595062638173
no-jepa,baseline no-JEPA,66,0.3,NO_TEXT,202,0.6937315090732374
no-jepa,baseline no-JEPA,66,0.3,TEXT_PRESENT,454,0.8627091485040653
no-jepa,baseline no-JEPA,66,0.3,ALL,656,0.8113878258762106
no-jepa,baseline no-JEPA,66,0.4,A,69,0.7212864156157217
no-jepa,baseline no-JEPA,66,0.4,T,68,0.8382003028336579
no-jepa,baseline no-JEPA,66,0.4,V,93,0.6873003049830599
no-jepa,baseline no-JEPA,66,0.4,AT,97,0.8763676244790524
no-jepa,baseline no-JEPA,66,0.4,AV,90,0.7702214825246448
no-jepa,baseline no-JEPA,66,0.4,TV,100,0.8778125
no-jepa,baseline no-JEPA,66,0.4,ATV,139,0.8561151079136691
no-jepa,baseline no-JEPA,66,0.4,NO_TEXT,252,0.7263814389594941
no-jepa,baseline no-JEPA,66,0.4,TEXT_PRESENT,404,0.8635920958953671
no-jepa,baseline no-JEPA,66,0.4,ALL,656,0.810784375345543
no-jepa,baseline no-JEPA,66,0.5,A,99,0.6745638200183655
no-jepa,baseline no-JEPA,66,0.5,T,120,0.8995475113122171
no-jepa,baseline no-JEPA,66,0.5,V,118,0.6425508861543223
no-jepa,baseline no-JEPA,66,0.5,AT,76,0.8181444377990431
no-jepa,baseline no-JEPA,66,0.5,AV,84,0.6503657262277952
no-jepa,baseline no-JEPA,66,0.5,TV,89,0.9324643738010415
no-jepa,baseline no-JEPA,66,0.5,ATV,70,0.8041343669250647
no-jepa,baseline no-JEPA,66,0.5,NO_TEXT,301,0.6560294064704204
no-jepa,baseline no-JEPA,66,0.5,TEXT_PRESENT,355,0.8707437912410944
no-jepa,baseline no-JEPA,66,0.5,ALL,656,0.7735113573070099
no-jepa,baseline no-JEPA,66,0.6,A,129,0.6959458561038201
no-jepa,baseline no-JEPA,66,0.6,T,136,0.8384828029572485
no-jepa,baseline no-JEPA,66,0.6,V,155,0.6361929587736039
no-jepa,baseline no-JEPA,66,0.6,AT,61,0.9016393442622951
no-jepa,baseline no-JEPA,66,0.6,AV,64,0.5964912280701755
