variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa,baseline no-JEPA,66,0.0,0.8746649050245099,0.8712469362745099,0.875,0.7909672260284424,0.7856282329176509,79,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.1,0.8606961736398836,0.8567228373179214,0.8612804878048781,0.8258979916572571,0.7623971645792998,79,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.2,0.8260436999144509,0.8215604867573372,0.8262195121951219,0.8826573491096497,0.701238313266591,79,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.3,0.8113878258762106,0.8071832214510561,0.8109756097560976,0.9211678504943848,0.670149439355507,63,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.4,0.810784375345543,0.8059078978764018,0.8109756097560976,0.9484429359436035,0.665237151813836,79,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.5,0.7735113573070099,0.7671080406831702,0.774390243902439,1.028191328048706,0.6190121971280033,39,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.6,0.7541366879345974,0.7464440321583179,0.7560975609756098,1.048072099685669,0.584629714050945,39,per-rate-test-oracle
no-jepa,baseline no-JEPA,66,0.7,0.7549917143504451,0.7479419421150206,0.7560975609756098,1.033280849456787,0.5881264884467609,79,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.0,0.8697969823904403,0.8660179011233256,0.8704268292682927,0.7829750180244446,0.7946453336974874,51,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.1,0.8488926185751124,0.8449605740927744,0.8490853658536586,0.810836136341095,0.7622839775197751,65,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.2,0.8363056295303274,0.8317186552260669,0.836890243902439,0.8876653909683228,0.7491148166879399,37,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.3,0.8024740002329799,0.7983638341135858,0.801829268292683,0.9972931742668152,0.6726798936663586,33,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.4,0.7554871885657127,0.7505803559831572,0.7545731707317073,1.0633785724639893,0.6058609892229488,33,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.5,0.7533865557120616,0.747644376899696,0.7530487804878049,1.0603779554367065,0.5633845562824694,41,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.6,0.7547981029909067,0.746568602438971,0.7576219512195121,1.0141026973724365,0.609171570312328,51,per-rate-test-oracle
no-jepa,baseline no-JEPA,67,0.7,0.7597623996659827,0.7545259049441545,0.7591463414634146,1.045670509338379,0.5951970217834428,41,per-rate-test-oracle
