variant,label,rate,mean_weighted_f1,std_weighted_f1,positive_seed_count
no-jepa,baseline no-JEPA,0.0,0.8732341065072627,0.0020225279722849887,
no-jepa,baseline no-JEPA,0.1,0.8496087049766917,0.0068137432336294115,
no-jepa,baseline no-JEPA,0.2,0.8221291888970214,0.010633794073119245,
no-jepa,baseline no-JEPA,0.3,0.8093765432411051,0.00612743490681664,
no-jepa,baseline no-JEPA,0.4,0.7861869658964585,0.020800936751205774,
no-jepa,baseline no-JEPA,0.5,0.7652329890251306,0.011366461112029796,
no-jepa,baseline no-JEPA,0.6,0.7553513005194147,0.002564114824561155,
no-jepa,baseline no-JEPA,0.7,0.7449216794056731,0.022018751587249866,
no-jepa,baseline no-JEPA,8-rate-mean,0.8007551848085948,0.004524421299614856,5
no-jepa,baseline no-JEPA,high-missing-mean,0.7551686563167395,0.006159848317608533,5
no-jepa-pb,no-JEPA + pattern-balanced,0.0,0.8719801777759542,0.002359705061453463,
no-jepa-pb,no-JEPA + pattern-balanced,0.1,0.8495296988981837,0.007592248430077312,
no-jepa-pb,no-JEPA + pattern-balanced,0.2,0.8261636375975436,0.01012427133234123,
no-jepa-pb,no-JEPA + pattern-balanced,0.3,0.8101455348727922,0.008156638638295974,
no-jepa-pb,no-JEPA + pattern-balanced,0.4,0.7823741758317191,0.015124415615258874,
no-jepa-pb,no-JEPA + pattern-balanced,0.5,0.7668103630583903,0.015900513496747107,
no-jepa-pb,no-JEPA + pattern-balanced,0.6,0.7592985663822434,0.00851105997914057,
no-jepa-pb,no-JEPA + pattern-balanced,0.7,0.7475803973794488,0.01904130507619254,
no-jepa-pb,no-JEPA + pattern-balanced,8-rate-mean,0.8017353189745344,0.005296806877999557,5
no-jepa-pb,no-JEPA + pattern-balanced,high-missing-mean,0.7578964422733608,0.008791285630038902,5
no-jepa-groupdro,no-JEPA + GroupDRO,0.0,0.8519665535770076,0.004221306316379129,
no-jepa-groupdro,no-JEPA + GroupDRO,0.1,0.8361100552299157,0.008852065955740574,
no-jepa-groupdro,no-JEPA + GroupDRO,0.2,0.8052195045605341,0.009705809893733586,
no-jepa-groupdro,no-JEPA + GroupDRO,0.3,0.7953359317509341,0.008413990156327591,
no-jepa-groupdro,no-JEPA + GroupDRO,0.4,0.7659689128750246,0.014635853995603958,
no-jepa-groupdro,no-JEPA + GroupDRO,0.5,0.754966716197258,0.01908878457295398,
no-jepa-groupdro,no-JEPA + GroupDRO,0.6,0.7537187983616828,0.013217177977805658,
no-jepa-groupdro,no-JEPA + GroupDRO,0.7,0.7355344136852482,0.032111050498661,
no-jepa-groupdro,no-JEPA + GroupDRO,8-rate-mean,0.7873526107797006,0.003896556656174684,5
no-jepa-groupdro,no-JEPA + GroupDRO,high-missing-mean,0.7480733094147296,0.01027056358367794,5
