branch,pattern,target,metric,mean_delta,std_delta,positive_seeds,negative_seeds
regression,A,text,count,0.0,0.0,0,0
regression,A,text,raw_cosine,0.0024453043937683106,0.006275402107583712,4,1
regression,A,text,centered_cosine,-0.018662366177886726,0.07453851826429025,1,4
regression,A,text,real_minus_shuffle_cosine,-0.0004235506057739258,0.002265563337478693,1,4
regression,A,text,shuffle_minus_real_smooth_l1,-0.00026939883828163146,0.0019605582033616472,1,4
regression,A,text,shuffle_minus_real_nce,-0.014117717742919922,0.07551590856211408,1,4
regression,A,text,retrieval_top1,-0.0035261789336800574,0.011154500387787874,2,3
regression,A,text,chance,0.0,0.0,0,0
regression,A,text,effective_rank,-1.8161523818969727,2.491694329568842,1,4
regression,A,text,target_effective_rank,2.1297454833984375,4.871051804155977,4,1
regression,A,text,channel_std,0.007934844493865967,0.017057293320509936,3,2
regression,A,text,target_channel_std,-0.005434983968734741,0.012655425302222271,1,4
regression,A,text,std_ratio,0.021498085975823457,0.04544863338249053,3,2
regression,A,text,retrieval_over_chance,-0.4000000024214386,1.341640772581829,2,3
regression,V,text,count,0.0,0.0,0,0
regression,V,text,raw_cosine,0.004382598400115967,0.007375173056926599,4,1
regression,V,text,centered_cosine,-0.023369835689663887,0.04470891043893299,1,4
regression,V,text,real_minus_shuffle_cosine,-0.0007108569145202637,0.0013801167030641512,1,4
regression,V,text,shuffle_minus_real_smooth_l1,-0.0005451299250125885,0.001327884459508222,1,4
regression,V,text,shuffle_minus_real_nce,-0.023695755004882812,0.04600318400061478,1,4
regression,V,text,retrieval_top1,-0.0030132707208395003,0.012747352956515712,1,1
regression,V,text,chance,0.0,0.0,0,0
regression,V,text,effective_rank,0.12322349548339843,7.68078025924897,1,4
regression,V,text,target_effective_rank,2.598797607421875,5.184981497222645,4,1
regression,V,text,channel_std,0.003107188642024994,0.0094465751428706,3,2
regression,V,text,target_channel_std,-0.007402890920639038,0.013941692429504104,1,4
regression,V,text,std_ratio,0.009827814471956773,0.02568921465584407,2,3
regression,V,text,retrieval_over_chance,-0.39999997839331636,1.5165750032053387,1,1
regression,AV,text,count,0.0,0.0,0,0
regression,AV,text,raw_cosine,0.002720654010772705,0.0067771150500024625,4,1
regression,AV,text,centered_cosine,-0.014747579488903284,0.06471394557293914,2,3
regression,AV,text,real_minus_shuffle_cosine,-0.0009245753288269043,0.0025629462651011177,1,4
regression,AV,text,shuffle_minus_real_smooth_l1,-0.0006189212203025818,0.0019526575020051863,1,4
regression,AV,text,shuffle_minus_real_nce,-0.030817508697509766,0.08542932839401239,1,4
regression,AV,text,retrieval_top1,-0.002569391392171383,0.01019540725744596,1,2
regression,AV,text,chance,0.0,0.0,0,0
regression,AV,text,effective_rank,0.14620895385742189,6.753635723514997,1,4
regression,AV,text,target_effective_rank,1.5288551330566407,3.77411130891675,4,1
regression,AV,text,channel_std,0.0020143795758485795,0.012537029667560276,2,3
regression,AV,text,target_channel_std,-0.004806262254714966,0.012835092437079667,1,4
regression,AV,text,std_ratio,0.005330979916448622,0.03182675721296258,2,3
regression,AV,text,retrieval_over_chance,-0.19999999999999998,0.8366600376655094,1,2
regression,A,visual,count,0.0,0.0,0,0
regression,A,visual,raw_cosine,-0.012377607822418212,0.04685981694890679,1,4
regression,A,visual,centered_cosine,-0.016970491409301756,0.1642405667489883,2,3
regression,A,visual,real_minus_shuffle_cosine,-0.0001343965530395508,0.026825607734646723,2,3
regression,A,visual,shuffle_minus_real_smooth_l1,0.0008005812764167785,0.021874455737009888,2,3
regression,A,visual,shuffle_minus_real_nce,-0.004481983184814453,0.8941906655410744,2,3
regression,A,visual,retrieval_top1,0.001213345304131508,0.017109852590486033,2,2
regression,A,visual,chance,0.0,0.0,0,0
regression,A,visual,effective_rank,-0.010794591903686524,1.388032266238371,2,3
regression,A,visual,target_effective_rank,1.6205032348632813,3.9854088491436896,3,2
regression,A,visual,channel_std,0.015849924087524413,0.08077987566649043,2,3
regression,A,visual,target_channel_std,0.01464827060699463,0.05793151952540027,4,1
regression,A,visual,std_ratio,0.015653787027861694,0.20876931750431763,2,3
regression,A,visual,retrieval_over_chance,0.20000001639127732,1.923538384427832,2,2
regression,V,audio,count,0.0,0.0,0,0
regression,V,audio,raw_cosine,-0.009349894523620606,0.029260477402254688,2,3
