run,dataset,seed,rate,conversation,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro01,8,0.4133849572390318,0.22496659494936466,0.19218634814023972,1,0.2575547130296867,0.023809523809523808
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro02,48,0.32805601856671274,0.25489499350078404,0.18730315566062927,0.9583333333333334,0.5541462713563122,0.6461137646547981
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro03,264,0.3173287285237827,0.26156345240165,0.22433076798915863,0.9545454545454546,0.6554491170460419,0.7250304899921085
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro04,128,0.31597370238159783,0.2803077648859471,0.19373198598623276,0.9453125,0.6742655736929755,0.7176169657571874
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro05,104,0.2928101561175516,0.22589302217014706,0.1507072001695633,0.9807692307692307,0.7726480898295403,0.7588818948042249
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro06,96,0.3040941026216994,0.2611407572985627,0.1748872846364975,1,0.6698684213588325,0.6994438415626696
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro07,176,0.31732040613000706,0.2530482947953384,0.2138441652059555,0.9375,0.6406772449479928,0.7184195465551397
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_impro08,160,0.34656266649253664,0.3271408804343082,0.26995402574539185,0.975,0.6235624445252123,0.678205203328255
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_script01_1,88,0.3292223684997721,0.2748924918388101,0.20927314460277557,0.9545454545454546,0.6554036178061595,0.7224120319819661
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_script01_2,24,0.33545444657405216,0.26072525496905047,0.18442342430353165,1,0.5709535941414815,0.5339130434782609
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_script01_3,160,0.2758628740150016,0.23587055399548262,0.14112554490566254,0.93125,0.6203797245172807,0.6498359310910582
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,seed66:Ses05F_script02_1,24,0.1396746237296611,0.06333202756165217,0.00596416462212801,0.8333333333333334,0.7676208511305486,0.6756521739130434
