run,dataset,seed,rate,total_records,retention_records,missing_overlap,missing_damage,n,overlap_mean,damage_mean,damage_median,damage_positive_fraction,pearson,spearman,residual_pearson,residual_rank_pearson,stratum_count,strata_n_lt_10,conversation_count,conversation_equal_pearson_mean,conversation_pearson_defined,conversation_pearson_positive,conversation_equal_spearman_mean,conversation_spearman_defined,conversation_spearman_positive,between_conversation_pearson,between_conversation_spearman
iemocap4_seed66_rate0.1,IEMOCAPFour,66,0.1,3017,3008,0,0,3008,0.31881001546664384,0.28649988762744544,0.2117285653948784,0.9584441489361702,0.6335478556876785,0.7054646778801211,0.6648291725808083,0.7455451263978636,48,0,31,0.6121834784748083,31,31,0.6499281799306773,31,31,0.7637482922628452,0.5625
iemocap4_seed66_rate0.3,IEMOCAPFour,66,0.3,8535,8504,0,0,8504,0.2885739187688248,0.22684187590381566,0.14923099428415298,0.9032220131702728,0.6200851242513737,0.6806694622823056,0.6472575711497252,0.7321287702067945,72,24,31,0.6253935186884216,31,31,0.6673379414317842,31,31,0.6693563343774922,0.6967741935483871
iemocap4_seed66_rate0.5,IEMOCAPFour,66,0.5,13123,13040,0,0,13040,0.263076356479411,0.17765914503109292,0.09938803315162659,0.8492331288343559,0.5956010658149486,0.6279358863823873,0.6314599454232719,0.6901217815562566,96,24,31,0.5929424796124035,31,31,0.6161928829407444,31,31,0.7304253268592149,0.6826612903225806
iemocap4_seed66_rate0.7,IEMOCAPFour,66,0.7,16309,16176,0,0,16176,0.25402209759242744,0.14502392529554178,0.07227880507707596,0.8054525222551929,0.5563665508552825,0.5520942910738235,0.5952438683433601,0.6126865872691118,96,8,31,0.5629830237703015,31,31,0.5479152835564721,31,31,0.7062785961926178,0.8270161290322581
iemocap4_seed67_rate0.1,IEMOCAPFour,67,0.1,2650,2640,0,0,2640,0.3043352316626679,0.2705112306418772,0.20213060826063156,0.9643939393939394,0.6829914898094926,0.7152630615020775,0.6974805810395261,0.7409624599162714,48,16,31,0.6859195589579938,31,31,0.7089170499861333,31,31,0.6812061414449745,0.665725806451613
iemocap4_seed67_rate0.3,IEMOCAPFour,67,0.3,8224,8184,0,0,8184,0.2761643700916042,0.2140890721703733,0.14775102585554123,0.9038367546432062,0.6584425744201686,0.6718211656709561,0.6910319567053552,0.7372217523335343,72,24,31,0.6645893278388861,31,31,0.6676293920026143,31,31,0.6752901320866119,0.7548387096774194
iemocap4_seed67_rate0.5,IEMOCAPFour,67,0.5,12957,12896,0,0,12896,0.26200834306547127,0.17605804069191286,0.10832370817661285,0.8630583126550868,0.6329015576408218,0.6244097453379891,0.6637320201960821,0.6839888878024616,80,8,31,0.6504419152677731,31,31,0.6370461872505334,31,31,0.5230587485763396,0.47701612903225804
iemocap4_seed67_rate0.7,IEMOCAPFour,67,0.7,16495,16368,0,0,16368,0.2534314284470915,0.1448448813118779,0.0770881399512291,0.8114613880742912,0.6012582010304823,0.5635793850105574,0.6385287409997559,0.6282057328388854,96,8,31,0.6095173860033843,31,31,0.5621447254010188,31,31,0.37067435722347003,0.36733870967741933
iemocap4_seed68_rate0.1,IEMOCAPFour,68,0.1,3024,3016,0,0,3016,0.31056393477407995,0.2732303418201797,0.21753942221403122,0.9628647214854111,0.6757194954582652,0.7191373865175889,0.6716781474106673,0.7330264253528358,48,16,30,0.6955805991588961,30,30,0.7260609771122295,30,30,0.8415850846693602,0.84293659621802
iemocap4_seed68_rate0.3,IEMOCAPFour,68,0.3,8253,8216,0,0,8216,0.2773637517066101,0.2097036231778691,0.14061063528060913,0.8932570593963,0.6425806729386931,0.6604339708621128,0.6556672763069068,0.7086833155567549,72,16,31,0.6404908541189477,31,31,0.6495021123190882,31,31,0.7933859770302938,0.7185483870967742
iemocap4_seed68_rate0.5,IEMOCAPFour,68,0.5,13390,13312,0,0,13312,0.2554701694787302,0.16445595629962695,0.09460989758372307,0.8481820913461539,0.6132336355673288,0.6110937865940788,0.6348606008137089,0.6677699964854762,88,16,31,0.6196114521949551,31,31,0.61031582254195,31,31,0.44249908592660936,0.4669354838709677
iemocap4_seed68_rate0.7,IEMOCAPFour,68,0.7,16365,16248,0,0,16248,0.23941106077916482,0.13477041249567892,0.06613723188638687,0.8100073855243722,0.5824455959360642,0.5558997234210562,0.6065623308776523,0.6131406618723658,96,8,31,0.5930396287571376,31,31,0.5735641889387368,31,31,0.39151259114244924,0.37016129032258066
iemocap4_seed69_rate0.1,IEMOCAPFour,69,0.1,2930,2912,0,0,2912,0.30834862449562056,0.26097824295648825,0.1886393204331398,0.9512362637362637,0.6472598118450577,0.7086242770267038,0.6544390850076547,0.7383155340217821,56,8,31,0.6592409005542006,31,31,0.7003572707396997,31,31,0.808812051582625,0.8084677419354839
iemocap4_seed69_rate0.3,IEMOCAPFour,69,0.3,8425,8376,0,0,8376,0.2857711933720114,0.21773565962962688,0.14052210748195648,0.9013849092645654,0.6225772405231431,0.6699289198797839,0.6369080808465748,0.7182626393229657,72,24,31,0.6209406518797563,31,31,0.6610522663300444,31,31,0.6212824865007658,0.7169354838709677
iemocap4_seed69_rate0.5,IEMOCAPFour,69,0.5,13128,13048,0,0,13048,0.27012653794586583,0.17100579782032507,0.0927373617887497,0.8385193133047211,0.5840174662177524,0.5908970990568003,0.607773257047196,0.6482254514001925,96,24,31,0.5856156008066309,31,31,0.583748919029292,31,31,0.6316165946505778,0.6556451612903226
iemocap4_seed69_rate0.7,IEMOCAPFour,69,0.7,16541,16408,0,0,16408,0.25318994091285385,0.13895384409033062,0.0625789500772953,0.7924183325207216,0.5826594907563415,0.545323453369797,0.6145644968488307,0.603530336939816,96,8,31,0.5882024068374566,31,31,0.5524788357602508,31,31,0.2552183571926503,0.5673387096774194
iemocap4_seed70_rate0.1,IEMOCAPFour,70,0.1,3077,3064,0,0,3064,0.29849983263376606,0.2587437703494255,0.2062843218445778,0.9621409921671018,0.6798206177191917,0.738307179320437,0.6917745820840105,0.7657066381521914,48,0,31,0.6894216989610763,31,31,0.7298825163632652,31,31,0.7289779502620601,0.6955645161290323
iemocap4_seed70_rate0.3,IEMOCAPFour,70,0.3,7967,7936,0,0,7936,0.2753915958599229,0.21797217099728802,0.16131684929132462,0.9221270161290323,0.6597104659518099,0.6985285913687317,0.6757867862741073,0.7369858341808337,72,16,31,0.6607087226495532,31,31,0.6969427605637937,31,31,0.4970595835237077,0.5165322580645161
iemocap4_seed70_rate0.5,IEMOCAPFour,70,0.5,12846,12768,0,0,12768,0.2542529713968165,0.1704634466195534,0.10353786125779152,0.862625313283208,0.6299551424487615,0.6367729850802847,0.6580340417770613,0.6921791861843846,80,8,31,0.6368814490304069,31,31,0.6382633827405996,31,31,0.6582272530390417,0.5576612903225806
iemocap4_seed70_rate0.7,IEMOCAPFour,70,0.7,16604,16480,0,0,16480,0.24198460842525696,0.13979463806569134,0.07396197319030762,0.8140169902912622,0.6038122164223548,0.5788259594392834,0.6380234765635758,0.6342228337803014,96,0,31,0.6129494482049913,31,31,0.575737331754056,31,31,0.41856850857034783,0.5431451612903225
mosi_seed66_rate0.1,CMUMOSI,66,0.1,1664,1656,0,0,1656,0.24203514250176442,0.11150220534730487,0.053270142525434494,0.9359903381642513,0.40804761232349157,0.5867797021489911,0.2716264169436507,0.44071314815832835,48,24,31,0.49430317869689433,31,31,0.6204185590972572,31,31,0.2510047530380755,0.1254032258064516
mosi_seed66_rate0.3,CMUMOSI,66,0.3,4302,4264,0,0,4264,0.22686752633914162,0.10262890401541816,0.02983991988003254,0.8642120075046904,0.43154918701936534,0.5527259439422851,0.37266485162293145,0.532555080714429,72,24,31,0.46828914964066676,31,31,0.572463674122893,31,31,-0.10698962217492045,-0.03508064516129032
mosi_seed66_rate0.5,CMUMOSI,66,0.5,7202,7128,0,0,7128,0.21289885868347125,0.08021124057428897,0.01968468725681305,0.7905443322109988,0.3968621245915084,0.475589384654512,0.35766722040943927,0.48805050148369106,88,16,31,0.4248276833995773,31,31,0.49140569326022615,31,31,0.3856338705980435,0.3870967741935484
mosi_seed66_rate0.7,CMUMOSI,66,0.7,8752,8616,0,0,8616,0.20233640353299787,0.06645853441150663,0.012724803760647774,0.7559192200557103,0.3904474890428326,0.43844325818107277,0.35476652321836405,0.4475974899053225,96,24,31,0.41795613082492467,31,31,0.4447312542868191,31,31,-0.12950388378122887,-0.11451612903225807
mosi_seed67_rate0.1,CMUMOSI,67,0.1,1639,1624,0,0,1624,0.27088623496203734,0.10220511558263796,0.03930815868079662,0.9291871921182266,0.33855112274439614,0.5181292947603101,0.16871266437281904,0.19885427340799358,48,24,31,0.4118426984133144,31,31,0.5283222178967506,31,30,0.6268184373332245,0.5733870967741935
mosi_seed67_rate0.3,CMUMOSI,67,0.3,4673,4640,0,0,4640,0.24365489877648008,0.08182155951307604,0.02724949736148119,0.8663793103448276,0.3133784331656595,0.4821878737917026,0.19688355611841488,0.336439715405877,72,24,31,0.3384199345024426,31,31,0.4864205941758726,31,31,-0.009255850520904933,-0.050806451612903224
mosi_seed67_rate0.5,CMUMOSI,67,0.5,7044,6952,0,0,6952,0.23032162124587124,0.07124563334046212,0.019303089007735252,0.8131472957422324,0.3299182239541406,0.44521074058586785,0.2443545518058895,0.33453397424477177,72,0,31,0.35049149658614254,31,31,0.45612683248304337,31,31,0.23015359169698743,0.16612903225806452
mosi_seed67_rate0.7,CMUMOSI,67,0.7,8628,8496,0,0,8496,0.21911280437996575,0.06105768824940663,0.012836519628763199,0.7680084745762712,0.30749704535721195,0.3436244668341829,0.232135427235502,0.25179697553093017,88,8,31,0.33038232377723425,31,31,0.35699064661977103,31,31,-0.04506164030076091,0.035483870967741936
mosi_seed68_rate0.1,CMUMOSI,68,0.1,1577,1560,0,0,1560,0.29923757758134834,0.11447347621672238,0.053805895149707794,0.933974358974359,0.4208570644860326,0.5589786377485173,0.21539328046076323,0.3620164817670189,48,16,31,0.495475727775471,31,31,0.5795618242919708,31,31,0.12498670623585535,0.054838709677419356
mosi_seed68_rate0.3,CMUMOSI,68,0.3,4549,4512,0,0,4512,0.27324562918776973,0.0978705681988834,0.03411978669464588,0.856604609929078,0.39373898694795373,0.519433003248015,0.2694831559648464,0.4475546287136505,64,16,31,0.4412877349467214,31,31,0.5268685970255452,31,31,0.39212879127738154,0.1778225806451613
mosi_seed68_rate0.5,CMUMOSI,68,0.5,7022,6944,0,0,6944,0.2552664434527367,0.08912633398688861,0.022774074226617813,0.8052995391705069,0.40015960782121096,0.4707029872282735,0.3216529443457078,0.45359567235993103,80,8,31,0.4119568649606899,31,31,0.47753845636052694,31,31,0.41117246398184376,0.33991935483870966
mosi_seed68_rate0.7,CMUMOSI,68,0.7,8724,8608,0,0,8608,0.24158595599804064,0.06873564002548559,0.011418112553656101,0.7596421933085502,0.38634599822550525,0.4108119155007385,0.35700892211951135,0.41923494718506676,96,24,31,0.405828337013753,31,31,0.4268226988415984,31,31,0.2589586243180353,0.2778225806451613
mosi_seed69_rate0.1,CMUMOSI,69,0.1,1556,1544,0,0,1544,0.30486299085232954,0.12558236032835368,0.06478951871395111,0.9294041450777202,0.4187687643199051,0.5023701886367156,0.3822410590055659,0.5410140167007259,48,24,30,0.5097913979119243,30,30,0.5483350155247915,30,30,0.023060875085431937,0.1003337041156841
mosi_seed69_rate0.3,CMUMOSI,69,0.3,4433,4400,0,0,4400,0.27861881568847985,0.0982937687432224,0.04030248522758484,0.8425,0.39697043053870323,0.48905473498905894,0.3838687156631894,0.5425526745954824,72,24,31,0.453846174180812,31,31,0.5086105184294515,31,31,0.07055721704471378,-0.018951612903225806
mosi_seed69_rate0.5,CMUMOSI,69,0.5,7472,7400,0,0,7400,0.2563717368617654,0.08873951322889911,0.028981524519622326,0.7947297297297298,0.4638248351014493,0.4832752567707903,0.4512082057482614,0.5214967747844477,72,0,31,0.4762437947479838,31,31,0.4880135084450346,31,31,0.356085885863673,0.30806451612903224
mosi_seed69_rate0.7,CMUMOSI,69,0.7,8733,8616,0,0,8616,0.24725397714223893,0.0870396840387606,0.022731363773345947,0.7632311977715878,0.4583387094949198,0.45142859723953116,0.4578291771227576,0.4995988668599741,96,16,31,0.4733061681292023,31,31,0.4584788302506509,31,31,0.33094170080658475,0.2399193548387097
mosi_seed70_rate0.1,CMUMOSI,70,0.1,1627,1616,0,0,1616,0.36027095828661787,0.19435318278628264,0.10687561333179474,0.9455445544554455,0.28827502261218374,0.35892079509334646,0.2797418142828765,0.41543189269772857,48,16,31,0.3829974637922717,31,30,0.4162728041372543,31,30,0.08288380019032762,0.0008064516129032258
mosi_seed70_rate0.3,CMUMOSI,70,0.3,4635,4608,0,0,4608,0.33224233604717784,0.15425926654461364,0.07366608083248138,0.8743489583333334,0.33520471718851874,0.4271172199989778,0.36870518957625315,0.5107405619593476,72,24,31,0.3576269972291292,31,31,0.4412253138526515,31,31,-0.08195431481781311,-0.06612903225806452
mosi_seed70_rate0.5,CMUMOSI,70,0.5,7237,7160,0,0,7160,0.3169016796870511,0.11360829595395744,0.040189122781157494,0.8164804469273743,0.3433659975163071,0.4291167442735583,0.3831718762008679,0.5230274366197302,80,8,31,0.36381423529283274,31,31,0.44455401540262673,31,31,0.1185840141364851,0.012903225806451613
mosi_seed70_rate0.7,CMUMOSI,70,0.7,8871,8744,0,0,8744,0.3084983149421344,0.11037164336219106,0.03836863487958908,0.7925434583714547,0.38255838353913757,0.4298022888501229,0.4153421299875508,0.49951265855762383,96,24,31,0.399743233812301,31,31,0.43510281860885375,31,31,0.04508983183859277,0.13870967741935483
