dataset,metric,defined_runs,positive_runs,negative_runs,median,minimum,maximum
ALL,pearson,40,40,0,0.5100956929783659,0.28827502261218374,0.6829914898094926
ALL,spearman,40,40,0,0.5543128336816707,0.3436244668341829,0.738307179320437
ALL,residual_pearson,40,40,0,0.5265365227330588,0.16871266437281904,0.6974805810395261
ALL,residual_rank_pearson,40,40,0,0.5730415057676492,0.19885427340799358,0.7657066381521914
ALL,conversation_equal_pearson_mean,40,40,0,0.536387210841113,0.33038232377723425,0.6955805991588961
ALL,conversation_equal_spearman_mean,40,40,0,0.5673041997619559,0.35699064661977103,0.7298825163632652
ALL,between_conversation_pearson,40,35,5,0.39182069120991536,-0.12950388378122887,0.8415850846693602
ALL,between_conversation_spearman,40,35,5,0.37862903225806455,-0.11451612903225807,0.84293659621802
CMUMOSI,pearson,20,20,0,0.3920932379953932,0.28827502261218374,0.4638248351014493
CMUMOSI,spearman,20,20,0,0.47314618594139274,0.3436244668341829,0.5867797021489911
CMUMOSI,residual_pearson,20,20,0,0.3558877226689377,0.16871266437281904,0.4578291771227576
CMUMOSI,residual_rank_pearson,20,20,0,0.4505965811326268,0.19885427340799358,0.5425526745954824
CMUMOSI,conversation_equal_pearson_mean,20,20,0,0.4149564978928073,0.33038232377723425,0.5097913979119243
CMUMOSI,conversation_equal_spearman_mean,20,20,0,0.48197952526819976,0.35699064661977103,0.6204185590972572
CMUMOSI,between_conversation_pearson,20,15,5,0.12178536018617023,-0.12950388378122887,0.6268184373332245
CMUMOSI,between_conversation_spearman,20,15,5,0.11286846496106785,-0.11451612903225807,0.5733870967741935
IEMOCAPFour,pearson,20,20,0,0.6262661914859523,0.5563665508552825,0.6829914898094926
IEMOCAPFour,spearman,20,20,0,0.6486034779711987,0.545323453369797,0.738307179320437
IEMOCAPFour,residual_pearson,20,20,0,0.6508483280786899,0.5952438683433601,0.6974805810395261
IEMOCAPFour,residual_rank_pearson,20,20,0,0.7004312508705697,0.603530336939816,0.7657066381521914
IEMOCAPFour,conversation_equal_pearson_mean,20,20,0,0.6231670852840889,0.5629830237703015,0.6955805991588961
IEMOCAPFour,conversation_equal_spearman_mean,20,20,0,0.6438827475298439,0.5479152835564721,0.7298825163632652
IEMOCAPFour,between_conversation_pearson,20,20,0,0.6637917937082669,0.2552183571926503,0.8415850846693602
IEMOCAPFour,between_conversation_spearman,20,20,0,0.6606854838709677,0.36733870967741933,0.84293659621802
