dataset,missing_rate,target_modality,distance_bucket,head_count,err_pre_mean,err_decay_mean,err_post_mean,decay_damage_mean,write_damage_mean,cos_pre_mean,cos_decay_mean,cos_post_mean,norm_ratio_pre_mean,norm_ratio_decay_mean,norm_ratio_post_mean,decay_damage_median,write_damage_median
IEMOCAPFour,0.7,audio,1,2336,0.0016757778560170427,0.020686981162177525,0.2663927291494424,0.019011203320027162,0.24570574793942299,0.9999990055771315,0.9999990072101355,0.9387400598585771,0.9990859918602525,0.979359595921554,0.9740202221253963,0.019067582674324512,0.172966830432415
IEMOCAPFour,0.7,audio,2-3,2032,0.30023060705032434,0.302572095035172,0.3868929363996172,0.002341487984847659,0.0843208411407811,0.9263556223201352,0.9263556244064445,0.8951503564447795,0.9612423637955207,0.94226401316838,0.9414150970951309,0.0026908814907073975,0.030371278524398804
IEMOCAPFour,0.7,audio,4-7,824,0.4887406153116122,0.48843519367928645,0.5441778757907811,-0.000305421632325765,0.05574268215670458,0.8412412495207656,0.8412412514693095,0.8068230576153157,0.9232028790035294,0.9049783576171375,0.8989005570923819,0.0006186068058013916,0.01650787889957428
IEMOCAPFour,0.7,audio,8+,56,0.6042068688465017,0.6027249598077365,0.6450055212314639,-0.0014819090387650899,0.04228056142372744,0.7883848887202995,0.7883848982996174,0.7565221275602069,0.8949529166732516,0.877269617148808,0.9096979349851608,0.0002941042184829712,0.018390163779258728
IEMOCAPFour,0.7,text,1,2448,0.002277244882106911,0.021310974477814645,0.23093974558534588,0.01903372961766044,0.20962877102459482,0.9999986313088657,0.9999986320880114,0.9518336877204003,0.9984660941888305,0.9787519250819886,0.9436608152524903,0.01911123748868704,0.14179367572069168
IEMOCAPFour,0.7,text,2-3,2128,0.270091992124558,0.27462485923057184,0.3506183462975463,0.00453286710601384,0.07599348717551202,0.9358307143443096,0.9358307136803922,0.9087252385622849,0.9349507323249167,0.9164894508351957,0.9067416073740425,0.005058601498603821,0.028005149215459824
IEMOCAPFour,0.7,text,4-7,856,0.4401625583609827,0.4424365846631683,0.48301639420929077,0.002274026302185571,0.040579809702793575,0.8675935766877276,0.8675935765158246,0.846882876352555,0.872663138765041,0.8554327891460646,0.8548681442495262,0.003300696611404419,0.009829998016357422
IEMOCAPFour,0.7,text,8+,104,0.5565607514805518,0.5579069434450223,0.5545488769331803,0.0013461919644704233,-0.0033580665118419207,0.795640603495905,0.7956405983378108,0.7946807535795065,0.8072440243111207,0.7912970360081929,0.7863137630315927,0.0013772547245025635,-0.002386808395385742
IEMOCAPFour,0.7,visual,1,2328,0.0015470209864829906,0.020686524074454232,0.2302691992840336,0.019139503086421036,0.20958267533919642,0.9999992078061366,0.9999992077293265,0.9529596324337973,0.9990766623227048,0.9793504246628981,0.9666288877706143,0.019170952029526234,0.14213815331459045
IEMOCAPFour,0.7,visual,2-3,2032,0.25997996153850766,0.26365392441645,0.3427847201833282,0.0036739628779423224,0.07913079591445976,0.9451112174245668,0.9451112168085739,0.9171595770579682,0.9523036096714378,0.9334971703236966,0.9321695121049177,0.003909539431333542,0.030310600996017456
IEMOCAPFour,0.7,visual,4-7,984,0.4030619635004399,0.40509263859925476,0.4406866185457968,0.002030675098814858,0.035593979923826895,0.890940640886443,0.8909406423023561,0.8769631629915742,0.9038592471885003,0.8860103768425259,0.8898961664881648,0.002729654312133789,0.009885728359222412
IEMOCAPFour,0.7,visual,8+,120,0.56523714226981,0.5660849153995514,0.5922701838115851,0.0008477731297413508,0.026185268412033717,0.8156630367040634,0.8156630389392376,0.7918808894852797,0.8180362438162168,0.8018916020790736,0.8065835483372211,0.0018224716186523438,0.001278907060623169
